filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
63x-Brain-1845060849232773218	JRC_MB021B_Brain_20121001_31_H2_63x	female organism|adult brain|P{R95A10-GAL4.DBD} ∩ P{R24E06-p65.AD} expression pattern	JRC2018Unisex_c	MB021B|GMR_MB021B|JRC_MB021B	FlyLightSplit:MB021B|FlyLightSplitSlideCode:20121001_31_H2|jrc_slide_code_api:20121001_31_H2|neuronbridge:MB021B	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20121001_31_H2', age: 'Day 6-10'	expression pattern fragment
63x-Brain-1845060849442488418	JRC_MB021B_Brain_20121001_31_H3_63x	female organism|adult brain|P{R95A10-GAL4.DBD} ∩ P{R24E06-p65.AD} expression pattern	JRC2018Unisex_c	MB021B|GMR_MB021B|JRC_MB021B	FlyLightSplit:MB021B|FlyLightSplitSlideCode:20121001_31_H3|jrc_slide_code_api:20121001_31_H3|neuronbridge:MB021B	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20121001_31_H3', age: 'Day 6-10'	expression pattern fragment
63x-Brain-1845060876948734050	JRC_MB109B_Brain_20121019_32_E1_63x	female organism|adult brain|P{R23C12-GAL4.DBD} ∩ P{R76F05-p65.AD} expression pattern	JRC2018Unisex_c	MB109B|GMR_MB109B|JRC_MB109B	FlyLightSplit:MB109B|FlyLightSplitSlideCode:20121019_32_E1|jrc_slide_code_api:20121019_32_E1|neuronbridge:MB109B	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 63x/1.40 Oil', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20121019_32_E1', age: 'Day 6-10'	expression pattern fragment
63x-Brain-1858873134816428130	JRC_MB021B_Brain_20121123_34_C1_63x	female organism|adult brain|P{R95A10-GAL4.DBD} ∩ P{R24E06-p65.AD} expression pattern	JRC2018Unisex_c	MB021B|GMR_MB021B|JRC_MB021B	FlyLightSplit:MB021B|FlyLightSplitSlideCode:20121123_34_C1|jrc_slide_code_api:20121123_34_C1|neuronbridge:MB021B	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121123_34_C1', age: 'Day 6-10'	expression pattern fragment
63x-Brain-1858873135781118050	JRC_MB022B_Brain_20121123_34_D1_63x	female organism|adult brain|P{Tdc2-GAL4.DBD} ∩ P{R24E06-p65.AD} expression pattern	JRC2018Unisex_c	MB022B|GMR_MB022B|JRC_MB022B	FlyLightSplit:MB022B|FlyLightSplitSlideCode:20121123_34_D1|jrc_slide_code_api:20121123_34_D1|neuronbridge:MB022B	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121123_34_D1', age: 'Day 6-10'	expression pattern fragment
63x-Brain-1846510859124211810	JRC_MB022B_Brain_20121208_31_A1_63x	female organism|adult brain|P{Tdc2-GAL4.DBD} ∩ P{R24E06-p65.AD} expression pattern	JRC2018Unisex_c	MB022B|GMR_MB022B|JRC_MB022B	FlyLightSplit:MB022B|FlyLightSplitSlideCode:20121208_31_A1|jrc_slide_code_api:20121208_31_A1|neuronbridge:MB022B	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121208_31_A1', age: 'Day 6-10'	expression pattern fragment
63x-Brain-1846510859598168162	JRC_MB022B_Brain_20121208_31_A2_63x	female organism|adult brain|P{Tdc2-GAL4.DBD} ∩ P{R24E06-p65.AD} expression pattern	JRC2018Unisex_c	MB022B|GMR_MB022B|JRC_MB022B	FlyLightSplit:MB022B|FlyLightSplitSlideCode:20121208_31_A2|jrc_slide_code_api:20121208_31_A2|neuronbridge:MB022B	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121208_31_A2', age: 'Day 6-10'	expression pattern fragment
63x-Brain-1846510859828854882	JRC_MB022B_Brain_20121208_31_A3_63x	female organism|adult brain|P{Tdc2-GAL4.DBD} ∩ P{R24E06-p65.AD} expression pattern	JRC2018Unisex_c	MB022B|GMR_MB022B|JRC_MB022B	FlyLightSplit:MB022B|FlyLightSplitSlideCode:20121208_31_A3|jrc_slide_code_api:20121208_31_A3|neuronbridge:MB022B	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121208_31_A3', age: 'Day 6-10'	expression pattern fragment
63x-Brain-1846510860034375778	JRC_MB022B_Brain_20121208_31_A4_63x	female organism|adult brain|P{Tdc2-GAL4.DBD} ∩ P{R24E06-p65.AD} expression pattern	JRC2018Unisex_c	MB022B|GMR_MB022B|JRC_MB022B	FlyLightSplit:MB022B|FlyLightSplitSlideCode:20121208_31_A4|jrc_slide_code_api:20121208_31_A4|neuronbridge:MB022B	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121208_31_A4', age: 'Day 6-10'	expression pattern fragment
63x-Brain-1846510860156010594	JRC_MB022B_Brain_20121208_31_A5_63x	female organism|adult brain|P{Tdc2-GAL4.DBD} ∩ P{R24E06-p65.AD} expression pattern	JRC2018Unisex_c	MB022B|GMR_MB022B|JRC_MB022B	FlyLightSplit:MB022B|FlyLightSplitSlideCode:20121208_31_A5|jrc_slide_code_api:20121208_31_A5|neuronbridge:MB022B	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121208_31_A5', age: 'Day 6-10'	expression pattern fragment
