filename	label	is_a	part_of	dbxrefs	comment
720575941547511432	BANC_626:720575941547511432	adult neuron	female organism	BANC626:720575941547511432	BANC annotations: Flow - intrinsic, Super Class - optic_lobe_intrinsic, Class - medulla_intrinsic, Primary Cell Type - Mi9, Alternative Cell Type(s) - Mi9, Community labels - CNS neuron,soma in brain.
720575941547512500	BANC_626:720575941547512500	adult neuron	female organism	BANC626:720575941547512500	BANC annotations: Flow - afferent, Super Class - sensory, Nerve - right_antennal_nerve.
720575941547512756	BANC_626:720575941547512756	adult neuron	female organism	BANC626:720575941547512756	BANC annotations: Flow - afferent, Super Class - sensory.
720575941547512865	BANC_626:720575941547512865	adult neuron	female organism	BANC626:720575941547512865	BANC annotations: Flow - intrinsic, Super Class - optic_lobe_intrinsic, Class - y_neuron, Primary Cell Type - Y3, Alternative Cell Type(s) - Y3, Community labels - CNS neuron,soma in brain.
720575941547514145	BANC_626:720575941547514145	adult neuron	female organism	BANC626:720575941547514145	BANC annotations: Flow - intrinsic, Super Class - optic_lobe_intrinsic, Class - transverse_neuron, Primary Cell Type - T5d, Alternative Cell Type(s) - T5d, Community labels - CNS neuron,T5 neuron,soma in brain.
720575941547519880	BANC_626:720575941547519880	adult neuron	female organism	BANC626:720575941547519880	BANC annotations: Flow - intrinsic, Super Class - central_brain_intrinsic, Primary Cell Type - AVLP203, Alternative Cell Type(s) - AVLP203, Community labels - soma in brain.
720575941547525512	BANC_626:720575941547525512	adult neuron	female organism	BANC626:720575941547525512	BANC annotations: Flow - intrinsic, Super Class - optic_lobe_intrinsic, Class - serpentine_medulla, Primary Cell Type - Sm32, Alternative Cell Type(s) - Sm32, Community labels - CNS neuron,soma in brain.
720575941547527860	BANC_626:720575941547527860	adult neuron	female organism	BANC626:720575941547527860	BANC annotations: Flow - intrinsic, Super Class - visual_projection, Class - lobula_columnar, Primary Cell Type - LC18, Alternative Cell Type(s) - LC18, Community labels - CNS neuron,soma in brain.
720575941547537697	BANC_626:720575941547537697	adult neuron	female organism	BANC626:720575941547537697	BANC annotations: Flow - intrinsic, Super Class - optic_lobe_intrinsic, Class - distal_medulla, Primary Cell Type - Dm15, Alternative Cell Type(s) - Dm15, Community labels - CNS neuron,soma in brain.
720575941547542132	BANC_626:720575941547542132	adult neuron	female organism	BANC626:720575941547542132	BANC annotations: Flow - afferent, Super Class - sensory, Class - bristle_neuron, Sub Class - middle_leg_bristle_neuron, Primary Cell Type - SNta35, Alternative Cell Type(s) - SNta35, Nerve - right_mesothoracic_leg_nerve.
720575941547542817	BANC_626:720575941547542817	adult neuron	female organism	BANC626:720575941547542817	BANC annotations: Flow - intrinsic, Super Class - optic_lobe_intrinsic, Class - transverse_neuron, Primary Cell Type - T4c, Alternative Cell Type(s) - T4c, Community labels - CNS neuron,T4 neuron,soma in brain.
720575941547542920	BANC_626:720575941547542920	adult neuron	female organism	BANC626:720575941547542920	BANC annotations: Flow - intrinsic, Super Class - optic_lobe_intrinsic, Class - medulla_intrinsic, Primary Cell Type - Mi4, Alternative Cell Type(s) - Mi4, Community labels - CNS neuron,soma in brain.
720575941547543073	BANC_626:720575941547543073	adult neuron	female organism	BANC626:720575941547543073	BANC annotations: Flow - intrinsic, Super Class - visual_projection, Class - lobula_columnar, Primary Cell Type - LC10e, Alternative Cell Type(s) - LC10e, Community labels - soma in brain.
720575941547544609	BANC_626:720575941547544609	adult neuron	female organism	BANC626:720575941547544609	BANC annotations: Flow - intrinsic, Super Class - optic_lobe_intrinsic, Class - y_neuron, Primary Cell Type - Y11, Alternative Cell Type(s) - Y11, Community labels - CNS neuron,soma in brain.
720575941547552545	BANC_626:720575941547552545	adult neuron	female organism	BANC626:720575941547552545	BANC annotations: Flow - intrinsic, Super Class - optic_lobe_intrinsic, Class - transverse_neuron, Primary Cell Type - T5b, Alternative Cell Type(s) - T5b, Community labels - CNS neuron,T5 neuron,soma in brain.
720575941547561588	BANC_626:720575941547561588	adult neuron	female organism	BANC626:720575941547561588	BANC annotations: Flow - intrinsic, Super Class - central_brain_intrinsic, Class - central_complex_intrinsic_neuron, Primary Cell Type - EPG, Alternative Cell Type(s) - EPG, Community labels - soma in brain.
720575941547568264	BANC_626:720575941547568264	adult neuron	female organism	BANC626:720575941547568264	BANC annotations: Flow - intrinsic, Super Class - optic_lobe_intrinsic, Class - medulla_intrinsic, Primary Cell Type - Mi15, Alternative Cell Type(s) - Mi15, Community labels - CNS neuron,soma in brain.
720575941547568820	BANC_626:720575941547568820	adult neuron	female organism	BANC626:720575941547568820	BANC annotations: Flow - intrinsic, Super Class - visual_projection, Class - lobula_tangential, Primary Cell Type - LT53, Alternative Cell Type(s) - LT53,PLP098, Community labels - LT53,PLP098,soma in brain.
720575941547569185	BANC_626:720575941547569185	adult neuron	female organism	BANC626:720575941547569185	BANC annotations: Flow - intrinsic, Super Class - optic_lobe_intrinsic, Class - transverse_neuron, Primary Cell Type - T5a, Alternative Cell Type(s) - T5a, Community labels - CNS neuron,T5 neuron,soma in brain.
720575941547570977	BANC_626:720575941547570977	adult neuron	female organism	BANC626:720575941547570977	BANC annotations: Flow - intrinsic, Super Class - visual_projection, Class - lobula_columnar, Primary Cell Type - LC12, Alternative Cell Type(s) - LC12, Community labels - CNS neuron,soma in brain.
720575941547571517	BANC_626:720575941547571517	adult neuron	female organism	BANC626:720575941547571517	BANC annotations: Flow - intrinsic, Super Class - visual_projection, Class - lobula_columnar, Primary Cell Type - LC13, Alternative Cell Type(s) - LC13, Community labels - soma in brain.
720575941547574049	BANC_626:720575941547574049	adult neuron	female organism	BANC626:720575941547574049	BANC annotations: Flow - intrinsic, Super Class - optic_lobe_intrinsic, Class - transverse_neuron, Primary Cell Type - T5c, Alternative Cell Type(s) - T5c, Community labels - soma in brain.
720575941547575432	BANC_626:720575941547575432	adult neuron	female organism	BANC626:720575941547575432	BANC annotations: Flow - intrinsic, Super Class - optic_lobe_intrinsic, Class - transmedullary, Primary Cell Type - Tm16, Alternative Cell Type(s) - Tm16, Community labels - CNS neuron,soma in brain.
720575941547577889	BANC_626:720575941547577889	adult neuron	female organism	BANC626:720575941547577889	BANC annotations: Flow - intrinsic, Super Class - optic_lobe_intrinsic, Class - translobula_plate, Primary Cell Type - Tlp4, Alternative Cell Type(s) - Tlp4, Community labels - soma in brain.
