filename	is_a	part_of	dbxrefs	label
77646	neuron	adult nervous system	male-cns_v0_9:77646	TmY20_L (MaleCNS:77646)
61616	neuron	adult nervous system	male-cns_v0_9:61616	TmY20_R (MaleCNS:61616)
85332	neuron	adult nervous system	male-cns_v0_9:85332	TmY20_R (MaleCNS:85332)
14515	neuron	adult nervous system	male-cns_v0_9:14515	TmY20_L (MaleCNS:14515)
51625	neuron	adult nervous system	male-cns_v0_9:51625	TmY20_L (MaleCNS:51625)
82014	neuron	adult nervous system	male-cns_v0_9:82014	TmY20_R (MaleCNS:82014)
57389	neuron	adult nervous system	male-cns_v0_9:57389	TmY20_R (MaleCNS:57389)
118326	neuron	adult nervous system	male-cns_v0_9:118326	TmY20_R (MaleCNS:118326)
60620	neuron	adult nervous system	male-cns_v0_9:60620	TmY20_R (MaleCNS:60620)
92365	neuron	adult nervous system	male-cns_v0_9:92365	TmY20_L (MaleCNS:92365)
517691	neuron	adult nervous system	male-cns_v0_9:517691	TmY20_L (MaleCNS:517691)
61138	neuron	adult nervous system	male-cns_v0_9:61138	TmY20_R (MaleCNS:61138)
74540	neuron	adult nervous system	male-cns_v0_9:74540	TmY20_R (MaleCNS:74540)
84443	neuron	adult nervous system	male-cns_v0_9:84443	TmY20_R (MaleCNS:84443)
126560	neuron	adult nervous system	male-cns_v0_9:126560	TmY20_L (MaleCNS:126560)
27260	neuron	adult nervous system	male-cns_v0_9:27260	TmY20_L (MaleCNS:27260)
87649	neuron	adult nervous system	male-cns_v0_9:87649	TmY20_R (MaleCNS:87649)
546660	neuron	adult nervous system	male-cns_v0_9:546660	TmY20_L (MaleCNS:546660)
65050	neuron	adult nervous system	male-cns_v0_9:65050	TmY20_R (MaleCNS:65050)
529184	neuron	adult nervous system	male-cns_v0_9:529184	TmY20_L (MaleCNS:529184)
99680	neuron	adult nervous system	male-cns_v0_9:99680	TmY20_L (MaleCNS:99680)
99833	neuron	adult nervous system	male-cns_v0_9:99833	TmY20_R (MaleCNS:99833)
66482	neuron	adult nervous system	male-cns_v0_9:66482	TmY20_L (MaleCNS:66482)
111539	neuron	adult nervous system	male-cns_v0_9:111539	TmY20_L (MaleCNS:111539)
49977	neuron	adult nervous system	male-cns_v0_9:49977	TmY20_R (MaleCNS:49977)
