filename	synonyms	is_a	part_of	label	Template
AB(L)	AB(L)	asymmetrical body	male organism|adult brain|left side of organism	AB(L) on JRC2018Unisex	JRC2018Unisex_c
AB(R)	AB(R)	asymmetrical body	male organism|adult brain|right side of organism	AB(R) on JRC2018Unisex	JRC2018Unisex_c
ADMN(L)	ADMN(L)	adult anterior dorsal mesothoracic nerve	male organism|adult ventral nerve cord|left side of organism	ADMN(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
ADMN(R)	ADMN(R)	adult anterior dorsal mesothoracic nerve	male organism|adult ventral nerve cord|right side of organism	ADMN(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
AL(L)	AL(L)	adult antennal lobe	male organism|adult brain|left side of organism	AL(L) on JRC2018Unisex	JRC2018Unisex_c
AL(R)	AL(R)	adult antennal lobe	male organism|adult brain|right side of organism	AL(R) on JRC2018Unisex	JRC2018Unisex_c
AL-D(L)	AL-D(L)	antennal lobe glomerulus D	male organism|adult brain|left side of organism	AL-D(L) on JRC2018Unisex	JRC2018Unisex_c
AL-D(R)	AL-D(R)	antennal lobe glomerulus D	male organism|adult brain|right side of organism	AL-D(R) on JRC2018Unisex	JRC2018Unisex_c
AL-DA1(L)	AL-DA1(L)	antennal lobe glomerulus DA1	male organism|adult brain|left side of organism	AL-DA1(L) on JRC2018Unisex	JRC2018Unisex_c
AL-DA1(R)	AL-DA1(R)	antennal lobe glomerulus DA1	male organism|adult brain|right side of organism	AL-DA1(R) on JRC2018Unisex	JRC2018Unisex_c
AL-DA2(L)	AL-DA2(L)	antennal lobe glomerulus DA2	male organism|adult brain|left side of organism	AL-DA2(L) on JRC2018Unisex	JRC2018Unisex_c
AL-DA2(R)	AL-DA2(R)	antennal lobe glomerulus DA2	male organism|adult brain|right side of organism	AL-DA2(R) on JRC2018Unisex	JRC2018Unisex_c
AL-DA3(L)	AL-DA3(L)	antennal lobe glomerulus DA3	male organism|adult brain|left side of organism	AL-DA3(L) on JRC2018Unisex	JRC2018Unisex_c
AL-DA3(R)	AL-DA3(R)	antennal lobe glomerulus DA3	male organism|adult brain|right side of organism	AL-DA3(R) on JRC2018Unisex	JRC2018Unisex_c
AL-DA4l(L)	AL-DA4l(L)	antennal lobe glomerulus DA4l	male organism|adult brain|left side of organism	AL-DA4l(L) on JRC2018Unisex	JRC2018Unisex_c
AL-DA4l(R)	AL-DA4l(R)	antennal lobe glomerulus DA4l	male organism|adult brain|right side of organism	AL-DA4l(R) on JRC2018Unisex	JRC2018Unisex_c
AL-DA4m(L)	AL-DA4m(L)	antennal lobe glomerulus DA4m	male organism|adult brain|left side of organism	AL-DA4m(L) on JRC2018Unisex	JRC2018Unisex_c
AL-DA4m(R)	AL-DA4m(R)	antennal lobe glomerulus DA4m	male organism|adult brain|right side of organism	AL-DA4m(R) on JRC2018Unisex	JRC2018Unisex_c
AL-DC1(L)	AL-DC1(L)	antennal lobe glomerulus DC1	male organism|adult brain|left side of organism	AL-DC1(L) on JRC2018Unisex	JRC2018Unisex_c
AL-DC1(R)	AL-DC1(R)	antennal lobe glomerulus DC1	male organism|adult brain|right side of organism	AL-DC1(R) on JRC2018Unisex	JRC2018Unisex_c
AL-DC2(L)	AL-DC2(L)	antennal lobe glomerulus DC2	male organism|adult brain|left side of organism	AL-DC2(L) on JRC2018Unisex	JRC2018Unisex_c
AL-DC2(R)	AL-DC2(R)	antennal lobe glomerulus DC2	male organism|adult brain|right side of organism	AL-DC2(R) on JRC2018Unisex	JRC2018Unisex_c
AL-DC3(L)	AL-DC3(L)	antennal lobe glomerulus DC3	male organism|adult brain|left side of organism	AL-DC3(L) on JRC2018Unisex	JRC2018Unisex_c
AL-DC3(R)	AL-DC3(R)	antennal lobe glomerulus DC3	male organism|adult brain|right side of organism	AL-DC3(R) on JRC2018Unisex	JRC2018Unisex_c
AL-DC4(L)	AL-DC4(L)	antennal lobe glomerulus DC4	male organism|adult brain|left side of organism	AL-DC4(L) on JRC2018Unisex	JRC2018Unisex_c
AL-DC4(R)	AL-DC4(R)	antennal lobe glomerulus DC4	male organism|adult brain|right side of organism	AL-DC4(R) on JRC2018Unisex	JRC2018Unisex_c
AL-DL1(L)	AL-DL1(L)	antennal lobe glomerulus DL1	male organism|adult brain|left side of organism	AL-DL1(L) on JRC2018Unisex	JRC2018Unisex_c
AL-DL1(R)	AL-DL1(R)	antennal lobe glomerulus DL1	male organism|adult brain|right side of organism	AL-DL1(R) on JRC2018Unisex	JRC2018Unisex_c
AL-DL2d(L)	AL-DL2d(L)	antennal lobe glomerulus DL2d	male organism|adult brain|left side of organism	AL-DL2d(L) on JRC2018Unisex	JRC2018Unisex_c
AL-DL2d(R)	AL-DL2d(R)	antennal lobe glomerulus DL2d	male organism|adult brain|right side of organism	AL-DL2d(R) on JRC2018Unisex	JRC2018Unisex_c
AL-DL2v(L)	AL-DL2v(L)	antennal lobe glomerulus DL2v	male organism|adult brain|left side of organism	AL-DL2v(L) on JRC2018Unisex	JRC2018Unisex_c
AL-DL2v(R)	AL-DL2v(R)	antennal lobe glomerulus DL2v	male organism|adult brain|right side of organism	AL-DL2v(R) on JRC2018Unisex	JRC2018Unisex_c
AL-DL3(L)	AL-DL3(L)	antennal lobe glomerulus DL3	male organism|adult brain|left side of organism	AL-DL3(L) on JRC2018Unisex	JRC2018Unisex_c
AL-DL3(R)	AL-DL3(R)	antennal lobe glomerulus DL3	male organism|adult brain|right side of organism	AL-DL3(R) on JRC2018Unisex	JRC2018Unisex_c
