filename	is_a	part_of	label	comment	dbxrefs
90637	adult neuron	male organism	C2_R (JRC_OpticLobe:90637)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:90637
100591	adult neuron	male organism	C2_R (JRC_OpticLobe:100591)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:100591
87592	adult neuron	male organism	C2_R (JRC_OpticLobe:87592)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:87592
135834	adult neuron	male organism	C2_R (JRC_OpticLobe:135834)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:135834
117013	adult neuron	male organism	C2_R (JRC_OpticLobe:117013)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:117013
77921	adult neuron	male organism	C2_R (JRC_OpticLobe:77921)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:77921
79780	adult neuron	male organism	C2_R (JRC_OpticLobe:79780)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:79780
97234	adult neuron	male organism	C2_R (JRC_OpticLobe:97234)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:97234
101974	adult neuron	male organism	C2_R (JRC_OpticLobe:101974)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:101974
110337	adult neuron	male organism	C2_R (JRC_OpticLobe:110337)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:110337
87074	adult neuron	male organism	C2_R (JRC_OpticLobe:87074)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:87074
98591	adult neuron	male organism	C2_R (JRC_OpticLobe:98591)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:98591
98971	adult neuron	male organism	C2_R (JRC_OpticLobe:98971)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:98971
105314	adult neuron	male organism	C2_R (JRC_OpticLobe:105314)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:105314
93731	adult neuron	male organism	C2_R (JRC_OpticLobe:93731)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:93731
137439	adult neuron	male organism	C2_R (JRC_OpticLobe:137439)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:137439
127201	adult neuron	male organism	C2_R (JRC_OpticLobe:127201)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:127201
128524	adult neuron	male organism	C2_R (JRC_OpticLobe:128524)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:128524
111952	adult neuron	male organism	C2_R (JRC_OpticLobe:111952)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:111952
500008	adult neuron	male organism	C2_R (JRC_OpticLobe:500008)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:500008
85639	adult neuron	male organism	C2_R (JRC_OpticLobe:85639)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:85639
92028	adult neuron	male organism	C2_R (JRC_OpticLobe:92028)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:92028
94835	adult neuron	male organism	C2_R (JRC_OpticLobe:94835)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:94835
137869	adult neuron	male organism	C2_R (JRC_OpticLobe:137869)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:137869
118885	adult neuron	male organism	C2_R (JRC_OpticLobe:118885)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:118885
100134	adult neuron	male organism	C2_R (JRC_OpticLobe:100134)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:100134
95938	adult neuron	male organism	C2_R (JRC_OpticLobe:95938)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:95938
92131	adult neuron	male organism	C2_R (JRC_OpticLobe:92131)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:92131
107458	adult neuron	male organism	C2_R (JRC_OpticLobe:107458)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:107458
127624	adult neuron	male organism	C2_R (JRC_OpticLobe:127624)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:127624
80319	adult neuron	male organism	C2_R (JRC_OpticLobe:80319)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:80319
83695	adult neuron	male organism	C2_R (JRC_OpticLobe:83695)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:83695
116437	adult neuron	male organism	C2_R (JRC_OpticLobe:116437)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:116437
120712	adult neuron	male organism	C2_R (JRC_OpticLobe:120712)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:120712
137248	adult neuron	male organism	C2_R (JRC_OpticLobe:137248)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:137248
98200	adult neuron	male organism	C2_R (JRC_OpticLobe:98200)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:98200
81234	adult neuron	male organism	C2_R (JRC_OpticLobe:81234)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:81234
103559	adult neuron	male organism	C2_R (JRC_OpticLobe:103559)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:103559
106501	adult neuron	male organism	C2_R (JRC_OpticLobe:106501)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:106501
104938	adult neuron	male organism	C2_R (JRC_OpticLobe:104938)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:104938
65300	adult neuron	male organism	C2_R (JRC_OpticLobe:65300)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:65300
89236	adult neuron	male organism	C2_R (JRC_OpticLobe:89236)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:89236
92703	adult neuron	male organism	C2_R (JRC_OpticLobe:92703)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:92703
85058	adult neuron	male organism	C2_R (JRC_OpticLobe:85058)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:85058
67493	adult neuron	male organism	C2_R (JRC_OpticLobe:67493)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:67493
83815	adult neuron	male organism	C2_R (JRC_OpticLobe:83815)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:83815
91147	adult neuron	male organism	C2_R (JRC_OpticLobe:91147)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:91147
84702	adult neuron	male organism	C2_R (JRC_OpticLobe:84702)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:84702
78890	adult neuron	male organism	C2_R (JRC_OpticLobe:78890)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:78890
114849	adult neuron	male organism	C2_R (JRC_OpticLobe:114849)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:114849
90946	adult neuron	male organism	C2_R (JRC_OpticLobe:90946)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:90946
140394	adult neuron	male organism	C2_R (JRC_OpticLobe:140394)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:140394
154827	adult neuron	male organism	C2_R (JRC_OpticLobe:154827)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:154827
95784	adult neuron	male organism	C2_R (JRC_OpticLobe:95784)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:95784
110105	adult neuron	male organism	C2_R (JRC_OpticLobe:110105)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:110105
85589	adult neuron	male organism	C2_R (JRC_OpticLobe:85589)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:85589
87653	adult neuron	male organism	C2_R (JRC_OpticLobe:87653)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:87653
82314	adult neuron	male organism	C2_R (JRC_OpticLobe:82314)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:82314
161060	adult neuron	male organism	C2_R (JRC_OpticLobe:161060)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:161060
108423	adult neuron	male organism	C2_R (JRC_OpticLobe:108423)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:108423
91171	adult neuron	male organism	C2_R (JRC_OpticLobe:91171)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:91171
118816	adult neuron	male organism	C2_R (JRC_OpticLobe:118816)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:118816
108584	adult neuron	male organism	C2_R (JRC_OpticLobe:108584)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:108584
79917	adult neuron	male organism	C2_R (JRC_OpticLobe:79917)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:79917
99419	adult neuron	male organism	C2_R (JRC_OpticLobe:99419)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:99419
