filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
20x-Brain-2642820748216893538	JRC_SS49115_Brain_20190208_27_C2_20x	female organism|adult brain|P{VT049245-GAL4.DBD} ∩ P{VT002856-p65.AD} expression pattern	JRC2018Unisex_c	SS49115|JRC_SS49115	FlyLightSplit:SS49115|FlyLightSplitSlideCode:20190208_27_C2|jrc_slide_code_api:20190208_27_C2|neuronbridge:SS49115	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190208_27_C2', age: 'Adult'	expression pattern fragment
63x-Brain-2269286565878431842	JRC_SS21914_Brain_20160401_21_H3_63x	female organism|adult brain|P{R52H01-GAL4.DBD} ∩ P{R52G04-p65.AD} expression pattern	JRC2018Unisex_c	SS21914|JRC_SS21914	FlyLightSplit:SS21914|FlyLightSplitSlideCode:20160401_21_H3|jrc_slide_code_api:20160401_21_H3|neuronbridge:SS21914	tile(s): 'right_dorsal, right_optic_lobe, ventral (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160401_21_H3', age: 'Adult'	expression pattern fragment
63x-Brain-2270259134492311626	JRC_SS21914_Brain_20160401_21_H7_63x	female organism|adult brain|P{R52H01-GAL4.DBD} ∩ P{R52G04-p65.AD} expression pattern	JRC2018Unisex_c	SS21914|JRC_SS21914	FlyLightSplit:SS21914|FlyLightSplitSlideCode:20160401_21_H7|jrc_slide_code_api:20160401_21_H7|neuronbridge:SS21914	tile(s): 'right_dorsal, right_optic_lobe, ventral (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160401_21_H7', age: 'Adult'	expression pattern fragment
63x-Brain-2435511844853514338	JRC_SS27885_Brain_20170727_19_G1_63x	female organism|adult brain|P{R65G08-GAL4.DBD} ∩ P{R12D09-p65.AD} expression pattern	JRC2018Unisex_c	SS27885|JRC_SS27885	FlyLightSplit:SS27885|FlyLightSplitSlideCode:20170727_19_G1|jrc_slide_code_api:20170727_19_G1|neuronbridge:SS27885	tile(s): 'left_central, right_central (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170727_19_G1', age: 'Adult'	expression pattern fragment
63x-Brain-2435288881847861346	JRC_SS27885_Brain_20170727_19_G2_63x	female organism|adult brain|P{R65G08-GAL4.DBD} ∩ P{R12D09-p65.AD} expression pattern	JRC2018Unisex_c	SS27885|JRC_SS27885	FlyLightSplit:SS27885|FlyLightSplitSlideCode:20170727_19_G2|jrc_slide_code_api:20170727_19_G2|neuronbridge:SS27885	tile(s): 'left_central, right_central (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170727_19_G2', age: 'Adult'	expression pattern fragment
63x-Brain-2435288881902387298	JRC_SS27885_Brain_20170727_19_G3_63x	female organism|adult brain|P{R65G08-GAL4.DBD} ∩ P{R12D09-p65.AD} expression pattern	JRC2018Unisex_c	SS27885|JRC_SS27885	FlyLightSplit:SS27885|FlyLightSplitSlideCode:20170727_19_G3|jrc_slide_code_api:20170727_19_G3|neuronbridge:SS27885	tile(s): 'left_central, right_central (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170727_19_G3', age: 'Adult'	expression pattern fragment
63x-Brain-2435288881961107554	JRC_SS27885_Brain_20170727_19_G4_63x	female organism|adult brain|P{R65G08-GAL4.DBD} ∩ P{R12D09-p65.AD} expression pattern	JRC2018Unisex_c	SS27885|JRC_SS27885	FlyLightSplit:SS27885|FlyLightSplitSlideCode:20170727_19_G4|jrc_slide_code_api:20170727_19_G4|neuronbridge:SS27885	tile(s): 'left_central, right_central (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170727_19_G4', age: 'Adult'	expression pattern fragment
63x-Brain-2435288882024022114	JRC_SS27885_Brain_20170727_19_G5_63x	female organism|adult brain|P{R65G08-GAL4.DBD} ∩ P{R12D09-p65.AD} expression pattern	JRC2018Unisex_c	SS27885|JRC_SS27885	FlyLightSplit:SS27885|FlyLightSplitSlideCode:20170727_19_G5|jrc_slide_code_api:20170727_19_G5|neuronbridge:SS27885	tile(s): 'left_central, right_central (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170727_19_G5', age: 'Adult'	expression pattern fragment
63x-Brain-2435288882082742370	JRC_SS27885_Brain_20170727_19_G6_63x	female organism|adult brain|P{R65G08-GAL4.DBD} ∩ P{R12D09-p65.AD} expression pattern	JRC2018Unisex_c	SS27885|JRC_SS27885	FlyLightSplit:SS27885|FlyLightSplitSlideCode:20170727_19_G6|jrc_slide_code_api:20170727_19_G6|neuronbridge:SS27885	tile(s): 'left_central, right_central (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170727_19_G6', age: 'Adult'	expression pattern fragment
63x-Brain-2435288882145656930	JRC_SS27885_Brain_20170727_19_G7_63x	female organism|adult brain|P{R65G08-GAL4.DBD} ∩ P{R12D09-p65.AD} expression pattern	JRC2018Unisex_c	SS27885|JRC_SS27885	FlyLightSplit:SS27885|FlyLightSplitSlideCode:20170727_19_G7|jrc_slide_code_api:20170727_19_G7|neuronbridge:SS27885	tile(s): 'left_central, right_central (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170727_19_G7', age: 'Adult'	expression pattern fragment
