filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
20x-Brain-2849052253761831010	JRC_SS52433_Brain_20200828_20_F3_20x	female organism|adult brain|P{VT029814-GAL4.DBD} ∩ P{R52F12-p65.AD} expression pattern	JRC2018Unisex_c	SS52433|JRC_SS52433	FlyLightRaw:SS52433|FlyLightRawSlideCode:20200828_20_F3|jrc_slide_code_api:20200828_20_F3	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20200828_20_F3', age: 'Adult'	expression pattern fragment
20x-Brain-2849052255158534242	JRC_SS52433_Brain_20200828_20_F5_20x	female organism|adult brain|P{VT029814-GAL4.DBD} ∩ P{R52F12-p65.AD} expression pattern	JRC2018Unisex_c	SS52433|JRC_SS52433	FlyLightRaw:SS52433|FlyLightRawSlideCode:20200828_20_F5|jrc_slide_code_api:20200828_20_F5	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20200828_20_F5', age: 'Adult'	expression pattern fragment
20x-Brain-2849052256496517218	JRC_SS52433_Brain_20200828_20_F7_20x	female organism|adult brain|P{VT029814-GAL4.DBD} ∩ P{R52F12-p65.AD} expression pattern	JRC2018Unisex_c	SS52433|JRC_SS52433	FlyLightRaw:SS52433|FlyLightRawSlideCode:20200828_20_F7|jrc_slide_code_api:20200828_20_F7	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20200828_20_F7', age: 'Adult'	expression pattern fragment
20x-Brain-2863972718187905122	JRC_SS65459_Brain_20201030_19_B1_20x	female organism|adult brain|P{R26F01-GAL4.DBD} ∩ P{VT031392-p65.AD} expression pattern	JRC2018Unisex_c	SS65459|JRC_SS65459	FlyLightRaw:SS65459|FlyLightRawSlideCode:20201030_19_B1|jrc_slide_code_api:20201030_19_B1	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20201030_19_B1', age: 'Adult'	expression pattern fragment
20x-Brain-2863972718741553250	JRC_SS65459_Brain_20201030_19_B2_20x	female organism|adult brain|P{R26F01-GAL4.DBD} ∩ P{VT031392-p65.AD} expression pattern	JRC2018Unisex_c	SS65459|JRC_SS65459	FlyLightRaw:SS65459|FlyLightRawSlideCode:20201030_19_B2|jrc_slide_code_api:20201030_19_B2	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20201030_19_B2', age: 'Adult'	expression pattern fragment
20x-Brain-2863972719265841250	JRC_SS65459_Brain_20201030_19_B3_20x	female organism|adult brain|P{R26F01-GAL4.DBD} ∩ P{VT031392-p65.AD} expression pattern	JRC2018Unisex_c	SS65459|JRC_SS65459	FlyLightRaw:SS65459|FlyLightRawSlideCode:20201030_19_B3|jrc_slide_code_api:20201030_19_B3	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20201030_19_B3', age: 'Adult'	expression pattern fragment
20x-Brain-2863972719794323554	JRC_SS65459_Brain_20201030_19_B4_20x	female organism|adult brain|P{R26F01-GAL4.DBD} ∩ P{VT031392-p65.AD} expression pattern	JRC2018Unisex_c	SS65459|JRC_SS65459	FlyLightRaw:SS65459|FlyLightRawSlideCode:20201030_19_B4|jrc_slide_code_api:20201030_19_B4	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20201030_19_B4', age: 'Adult'	expression pattern fragment
20x-Brain-2863972721002283106	JRC_SS65459_Brain_20201030_19_B6_20x	female organism|adult brain|P{R26F01-GAL4.DBD} ∩ P{VT031392-p65.AD} expression pattern	JRC2018Unisex_c	SS65459|JRC_SS65459	FlyLightRaw:SS65459|FlyLightRawSlideCode:20201030_19_B6|jrc_slide_code_api:20201030_19_B6	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20201030_19_B6', age: 'Adult'	expression pattern fragment
20x-Brain-2513784667941896290	JRC_SS49844_Brain_20180309_25_A2_20x	male organism|adult brain|P{R21E02-GAL4.DBD} ∩ P{R48A03-p65.AD} expression pattern	JRC2018Unisex_c	SS49844|JRC_SS49844	FlyLightRaw:SS49844|FlyLightRawSlideCode:20180309_25_A2|jrc_slide_code_api:20180309_25_A2	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20180309_25_A2', age: 'Adult'	expression pattern fragment
20x-Brain-2513784668126445666	JRC_SS49844_Brain_20180309_25_A3_20x	male organism|adult brain|P{R21E02-GAL4.DBD} ∩ P{R48A03-p65.AD} expression pattern	JRC2018Unisex_c	SS49844|JRC_SS49844	FlyLightRaw:SS49844|FlyLightRawSlideCode:20180309_25_A3|jrc_slide_code_api:20180309_25_A3	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20180309_25_A3', age: 'Adult'	expression pattern fragment
