filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
63x-Brain-1943164460193546247	JRC_SS00116_Brain_20130503_31_E1_63x	female organism|adult brain|P{R12G01-GAL4.DBD} ∩ P{R24A02-p65.AD} expression pattern	JRC2018Unisex_c	SS00116|GMR_SS00116|JRC_SS00116	FlyLightRaw:SS00116|FlyLightRawSlideCode:20130503_31_E1|jrc_slide_code_api:20130503_31_E1	tile(s): 'left_dorsal, right_dorsal (central brain dorsal region only, the optic lobes and ventral brain are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130503_31_E1', age: 'Day 1-5'	expression pattern fragment
63x-Brain-1943164461460226055	JRC_SS00116_Brain_20130503_31_E2_63x	female organism|adult brain|P{R12G01-GAL4.DBD} ∩ P{R24A02-p65.AD} expression pattern	JRC2018Unisex_c	SS00116|GMR_SS00116|JRC_SS00116	FlyLightRaw:SS00116|FlyLightRawSlideCode:20130503_31_E2|jrc_slide_code_api:20130503_31_E2	tile(s): 'left_dorsal, right_dorsal (central brain dorsal region only, the optic lobes and ventral brain are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130503_31_E2', age: 'Day 1-5'	expression pattern fragment
20x-Brain-1943133040515481607	JRC_SS00116_Brain_20130529_19_E1_20x	female organism|adult brain|P{R12G01-GAL4.DBD} ∩ P{R24A02-p65.AD} expression pattern	JRC2018Unisex_c	SS00116|GMR_SS00116|JRC_SS00116	FlyLightRaw:SS00116|FlyLightRawSlideCode:20130529_19_E1|jrc_slide_code_api:20130529_19_E1	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130529_19_E1', age: 'Day 6-10'	expression pattern fragment
20x-Brain-1943133041345953799	JRC_SS00116_Brain_20130529_19_E2_20x	female organism|adult brain|P{R12G01-GAL4.DBD} ∩ P{R24A02-p65.AD} expression pattern	JRC2018Unisex_c	SS00116|GMR_SS00116|JRC_SS00116	FlyLightRaw:SS00116|FlyLightRawSlideCode:20130529_19_E2|jrc_slide_code_api:20130529_19_E2	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130529_19_E2', age: 'Day 6-10'	expression pattern fragment
20x-Brain-1943133042348392455	JRC_SS00116_Brain_20130529_19_E3_20x	female organism|adult brain|P{R12G01-GAL4.DBD} ∩ P{R24A02-p65.AD} expression pattern	JRC2018Unisex_c	SS00116|GMR_SS00116|JRC_SS00116	FlyLightRaw:SS00116|FlyLightRawSlideCode:20130529_19_E3|jrc_slide_code_api:20130529_19_E3	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130529_19_E3', age: 'Day 6-10'	expression pattern fragment
20x-Brain-1943133043313082375	JRC_SS00116_Brain_20130529_19_E4_20x	female organism|adult brain|P{R12G01-GAL4.DBD} ∩ P{R24A02-p65.AD} expression pattern	JRC2018Unisex_c	SS00116|GMR_SS00116|JRC_SS00116	FlyLightRaw:SS00116|FlyLightRawSlideCode:20130529_19_E4|jrc_slide_code_api:20130529_19_E4	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130529_19_E4', age: 'Day 6-10'	expression pattern fragment
20x-Brain-1943133044244217863	JRC_SS00116_Brain_20130529_19_E5_20x	female organism|adult brain|P{R12G01-GAL4.DBD} ∩ P{R24A02-p65.AD} expression pattern	JRC2018Unisex_c	SS00116|GMR_SS00116|JRC_SS00116	FlyLightRaw:SS00116|FlyLightRawSlideCode:20130529_19_E5|jrc_slide_code_api:20130529_19_E5	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130529_19_E5', age: 'Day 6-10'	expression pattern fragment
20x-Brain-1943133045066301447	JRC_SS00116_Brain_20130529_19_E6_20x	female organism|adult brain|P{R12G01-GAL4.DBD} ∩ P{R24A02-p65.AD} expression pattern	JRC2018Unisex_c	SS00116|GMR_SS00116|JRC_SS00116	FlyLightRaw:SS00116|FlyLightRawSlideCode:20130529_19_E6|jrc_slide_code_api:20130529_19_E6	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130529_19_E6', age: 'Day 6-10'	expression pattern fragment
20x-Brain-1943133046014214151	JRC_SS00116_Brain_20130529_19_E7_20x	female organism|adult brain|P{R12G01-GAL4.DBD} ∩ P{R24A02-p65.AD} expression pattern	JRC2018Unisex_c	SS00116|GMR_SS00116|JRC_SS00116	FlyLightRaw:SS00116|FlyLightRawSlideCode:20130529_19_E7|jrc_slide_code_api:20130529_19_E7	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130529_19_E7', age: 'Day 6-10'	expression pattern fragment
20x-Brain-1920233952296042594	JRC_SS00323_Brain_20130730_19_C3_20x	female organism|adult brain|P{R24F06-GAL4.DBD} ∩ P{R55F02-p65.AD} expression pattern	JRC2018Unisex_c	SS00323|GMR_SS00323|JRC_SS00323	FlyLightRaw:SS00323|FlyLightRawSlideCode:20130730_19_C3|jrc_slide_code_api:20130730_19_C3	tile(s): 'brain', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130730_19_C3', age: 'Day 1-5'	expression pattern fragment
20x-Brain-1920233955982835810	JRC_SS00323_Brain_20130730_19_C5_20x	female organism|adult brain|P{R24F06-GAL4.DBD} ∩ P{R55F02-p65.AD} expression pattern	JRC2018Unisex_c	SS00323|GMR_SS00323|JRC_SS00323	FlyLightRaw:SS00323|FlyLightRawSlideCode:20130730_19_C5|jrc_slide_code_api:20130730_19_C5	tile(s): 'brain', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130730_19_C5', age: 'Day 1-5'	expression pattern fragment
20x-Brain-1920233958633635938	JRC_SS00323_Brain_20130730_19_C7_20x	female organism|adult brain|P{R24F06-GAL4.DBD} ∩ P{R55F02-p65.AD} expression pattern	JRC2018Unisex_c	SS00323|GMR_SS00323|JRC_SS00323	FlyLightRaw:SS00323|FlyLightRawSlideCode:20130730_19_C7|jrc_slide_code_api:20130730_19_C7	tile(s): 'brain', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130730_19_C7', age: 'Day 1-5'	expression pattern fragment
20x-Brain-1920233966267269218	JRC_SS00323_Brain_20130730_19_D5_20x	female organism|adult brain|P{R24F06-GAL4.DBD} ∩ P{R55F02-p65.AD} expression pattern	JRC2018Unisex_c	SS00323|GMR_SS00323|JRC_SS00323	FlyLightRaw:SS00323|FlyLightRawSlideCode:20130730_19_D5|jrc_slide_code_api:20130730_19_D5	tile(s): 'brain', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130730_19_D5', age: 'Day 1-5'	expression pattern fragment
20x-Brain-1920234049255768162	JRC_SS00657_Brain_20130802_19_A3_20x	female organism|adult brain|P{R55B04-GAL4.DBD} ∩ P{R23E12-p65.AD} expression pattern	JRC2018Unisex_c	SS00657|GMR_SS00657|JRC_SS00657	FlyLightRaw:SS00657|FlyLightRawSlideCode:20130802_19_A3|jrc_slide_code_api:20130802_19_A3	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130802_19_A3', age: 'Day 1-5'	expression pattern fragment
20x-Brain-1920234054712557666	JRC_SS00657_Brain_20130802_19_A8_20x	female organism|adult brain|P{R55B04-GAL4.DBD} ∩ P{R23E12-p65.AD} expression pattern	JRC2018Unisex_c	SS00657|GMR_SS00657|JRC_SS00657	FlyLightRaw:SS00657|FlyLightRawSlideCode:20130802_19_A8|jrc_slide_code_api:20130802_19_A8	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130802_19_A8', age: 'Day 1-5'	expression pattern fragment
20x-Brain-1920234111058837602	JRC_SS00657_Brain_20130805_19_B2_20x	female organism|adult brain|P{R55B04-GAL4.DBD} ∩ P{R23E12-p65.AD} expression pattern	JRC2018Unisex_c	SS00657|GMR_SS00657|JRC_SS00657	FlyLightRaw:SS00657|FlyLightRawSlideCode:20130805_19_B2|jrc_slide_code_api:20130805_19_B2	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130805_19_B2', age: 'Adult'	expression pattern fragment
20x-Brain-1920234114493972578	JRC_SS00657_Brain_20130805_19_B3_20x	female organism|adult brain|P{R55B04-GAL4.DBD} ∩ P{R23E12-p65.AD} expression pattern	JRC2018Unisex_c	SS00657|GMR_SS00657|JRC_SS00657	FlyLightRaw:SS00657|FlyLightRawSlideCode:20130805_19_B3|jrc_slide_code_api:20130805_19_B3	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130805_19_B3', age: 'Adult'	expression pattern fragment
20x-Brain-1920234117740363874	JRC_SS00657_Brain_20130805_19_B4_20x	female organism|adult brain|P{R55B04-GAL4.DBD} ∩ P{R23E12-p65.AD} expression pattern	JRC2018Unisex_c	SS00657|GMR_SS00657|JRC_SS00657	FlyLightRaw:SS00657|FlyLightRawSlideCode:20130805_19_B4|jrc_slide_code_api:20130805_19_B4	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130805_19_B4', age: 'Adult'	expression pattern fragment
