filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
20x-Brain-1943132359637336071	JRC_SS00131_Brain_20130419_19_E1_20x	female organism|adult brain|P{R60D05-GAL4.DBD} ∩ P{R27F02-p65.AD} expression pattern	JRC2018Unisex_c	SS00131|GMR_SS00131|JRC_SS00131	FlyLightRaw:SS00131|FlyLightRawSlideCode:20130419_19_E1|jrc_slide_code_api:20130419_19_E1	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130419_19_E1', age: 'Day 6-10'	expression pattern fragment
20x-Brain-1943132360581054471	JRC_SS00131_Brain_20130419_19_E2_20x	female organism|adult brain|P{R60D05-GAL4.DBD} ∩ P{R27F02-p65.AD} expression pattern	JRC2018Unisex_c	SS00131|GMR_SS00131|JRC_SS00131	FlyLightRaw:SS00131|FlyLightRawSlideCode:20130419_19_E2|jrc_slide_code_api:20130419_19_E2	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130419_19_E2', age: 'Day 6-10'	expression pattern fragment
20x-Brain-1943132361503801351	JRC_SS00131_Brain_20130419_19_E3_20x	female organism|adult brain|P{R60D05-GAL4.DBD} ∩ P{R27F02-p65.AD} expression pattern	JRC2018Unisex_c	SS00131|GMR_SS00131|JRC_SS00131	FlyLightRaw:SS00131|FlyLightRawSlideCode:20130419_19_E3|jrc_slide_code_api:20130419_19_E3	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130419_19_E3', age: 'Day 6-10'	expression pattern fragment
20x-Brain-1943132362405576711	JRC_SS00131_Brain_20130419_19_E4_20x	female organism|adult brain|P{R60D05-GAL4.DBD} ∩ P{R27F02-p65.AD} expression pattern	JRC2018Unisex_c	SS00131|GMR_SS00131|JRC_SS00131	FlyLightRaw:SS00131|FlyLightRawSlideCode:20130419_19_E4|jrc_slide_code_api:20130419_19_E4	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130419_19_E4', age: 'Day 6-10'	expression pattern fragment
20x-Brain-1943132363500290055	JRC_SS00131_Brain_20130419_19_E5_20x	female organism|adult brain|P{R60D05-GAL4.DBD} ∩ P{R27F02-p65.AD} expression pattern	JRC2018Unisex_c	SS00131|GMR_SS00131|JRC_SS00131	FlyLightRaw:SS00131|FlyLightRawSlideCode:20130419_19_E5|jrc_slide_code_api:20130419_19_E5	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130419_19_E5', age: 'Day 6-10'	expression pattern fragment
20x-Brain-1943132364414648327	JRC_SS00131_Brain_20130419_19_E6_20x	female organism|adult brain|P{R60D05-GAL4.DBD} ∩ P{R27F02-p65.AD} expression pattern	JRC2018Unisex_c	SS00131|GMR_SS00131|JRC_SS00131	FlyLightRaw:SS00131|FlyLightRawSlideCode:20130419_19_E6|jrc_slide_code_api:20130419_19_E6	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130419_19_E6', age: 'Day 6-10'	expression pattern fragment
20x-Brain-1943132365358366727	JRC_SS00131_Brain_20130419_19_F1_20x	female organism|adult brain|P{R60D05-GAL4.DBD} ∩ P{R27F02-p65.AD} expression pattern	JRC2018Unisex_c	SS00131|GMR_SS00131|JRC_SS00131	FlyLightRaw:SS00131|FlyLightRawSlideCode:20130419_19_F1|jrc_slide_code_api:20130419_19_F1	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130419_19_F1', age: 'Day 6-10'	expression pattern fragment
20x-Brain-1943132366247559175	JRC_SS00131_Brain_20130419_19_F2_20x	female organism|adult brain|P{R60D05-GAL4.DBD} ∩ P{R27F02-p65.AD} expression pattern	JRC2018Unisex_c	SS00131|GMR_SS00131|JRC_SS00131	FlyLightRaw:SS00131|FlyLightRawSlideCode:20130419_19_F2|jrc_slide_code_api:20130419_19_F2	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130419_19_F2', age: 'Day 6-10'	expression pattern fragment
20x-Brain-2232250351979855970	JRC_SS00131_Brain_20151223_23_B1_20x	female organism|adult brain|P{R60D05-GAL4.DBD} ∩ P{R27F02-p65.AD} expression pattern	JRC2018Unisex_c	SS00131|GMR_SS00131|JRC_SS00131	FlyLightRaw:SS00131|FlyLightRawSlideCode:20151223_23_B1|jrc_slide_code_api:20151223_23_B1	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20151223_23_B1', age: 'Adult'	expression pattern fragment
20x-Brain-2232250367834325090	JRC_SS00131_Brain_20151223_23_B2_20x	female organism|adult brain|P{R60D05-GAL4.DBD} ∩ P{R27F02-p65.AD} expression pattern	JRC2018Unisex_c	SS00131|GMR_SS00131|JRC_SS00131	FlyLightRaw:SS00131|FlyLightRawSlideCode:20151223_23_B2|jrc_slide_code_api:20151223_23_B2	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20151223_23_B2', age: 'Adult'	expression pattern fragment
