filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
63x-Brain-1845425464026333282	JRC_MB328B_Brain_20121120_32_E3_63x	female organism|adult brain|P{R32F01-GAL4.DBD} ∩ P{R82C10-p65.AD} expression pattern	JRC2018Unisex_c	MB328B|GMR_MB328B|JRC_MB328B	FlyLightSplit:MB328B|FlyLightSplitSlideCode:20121120_32_E3|jrc_slide_code_api:20121120_32_E3|neuronbridge:MB328B	"tile(s): 'left_dorsal, right_dorsal (central brain dorsal region only, the optic lobes and ventral brain are not included in this image)', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121120_32_E3', age: 'Day 6-10'"	expression pattern fragment
63x-Brain-1841433290502832226	JRC_MB196C_Brain_20121127_33_A3_63x	female organism|adult brain|P{R36B06-GAL4.DBD} ∩ PBac{R58E02-p65.AD} expression pattern	JRC2018Unisex_c	MB196C|GMR_MB196C|JRC_MB196C	FlyLightSplit:MB196C|FlyLightSplitSlideCode:20121127_33_A3|jrc_slide_code_api:20121127_33_A3|neuronbridge:MB196C	"tile(s): 'left_dorsal, right_dorsal (central brain dorsal region only, the optic lobes and ventral brain are not included in this image)', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121127_33_A3', age: 'Day 6-10'"	expression pattern fragment
63x-Brain-1841433290616078434	JRC_MB196C_Brain_20121127_33_A4_63x	female organism|adult brain|P{R36B06-GAL4.DBD} ∩ PBac{R58E02-p65.AD} expression pattern	JRC2018Unisex_c	MB196C|GMR_MB196C|JRC_MB196C	FlyLightSplit:MB196C|FlyLightSplitSlideCode:20121127_33_A4|jrc_slide_code_api:20121127_33_A4|neuronbridge:MB196C	"tile(s): 'left_dorsal, right_dorsal (central brain dorsal region only, the optic lobes and ventral brain are not included in this image)', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121127_33_A4', age: 'Day 6-10'"	expression pattern fragment
63x-Brain-1841433290762879074	JRC_MB196C_Brain_20121127_33_A5_63x	female organism|adult brain|P{R36B06-GAL4.DBD} ∩ PBac{R58E02-p65.AD} expression pattern	JRC2018Unisex_c	MB196C|GMR_MB196C|JRC_MB196C	FlyLightSplit:MB196C|FlyLightSplitSlideCode:20121127_33_A5|jrc_slide_code_api:20121127_33_A5|neuronbridge:MB196C	"tile(s): 'left_dorsal, right_dorsal (central brain dorsal region only, the optic lobes and ventral brain are not included in this image)', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121127_33_A5', age: 'Day 6-10'"	expression pattern fragment
20x-Brain-1878193521895145561	JRC_MB546B_Brain_20121107_19_C1_20x	female organism|adult brain|P{R82D04-GAL4.DBD} ∩ P{R65G01-p65.AD} expression pattern	JRC2018Unisex_c	MB546B|GMR_MB546B|JRC_MB546B	FlyLightSplit:MB546B|FlyLightSplitSlideCode:20121107_19_C1|jrc_slide_code_api:20121107_19_C1|neuronbridge:MB546B	"tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20121107_19_C1', age: 'Adult'"	expression pattern fragment
20x-Brain-1878193522171969625	JRC_MB546B_Brain_20121107_19_C2_20x	female organism|adult brain|P{R82D04-GAL4.DBD} ∩ P{R65G01-p65.AD} expression pattern	JRC2018Unisex_c	MB546B|GMR_MB546B|JRC_MB546B	FlyLightSplit:MB546B|FlyLightSplitSlideCode:20121107_19_C2|jrc_slide_code_api:20121107_19_C2|neuronbridge:MB546B	"tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20121107_19_C2', age: 'Adult'"	expression pattern fragment
20x-Brain-1878193523774193753	JRC_MB546B_Brain_20121107_19_C3_20x	female organism|adult brain|P{R82D04-GAL4.DBD} ∩ P{R65G01-p65.AD} expression pattern	JRC2018Unisex_c	MB546B|GMR_MB546B|JRC_MB546B	FlyLightSplit:MB546B|FlyLightSplitSlideCode:20121107_19_C3|jrc_slide_code_api:20121107_19_C3|neuronbridge:MB546B	"tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20121107_19_C3', age: 'Adult'"	expression pattern fragment
20x-Brain-1878193524080377945	JRC_MB546B_Brain_20121107_19_C4_20x	female organism|adult brain|P{R82D04-GAL4.DBD} ∩ P{R65G01-p65.AD} expression pattern	JRC2018Unisex_c	MB546B|GMR_MB546B|JRC_MB546B	FlyLightSplit:MB546B|FlyLightSplitSlideCode:20121107_19_C4|jrc_slide_code_api:20121107_19_C4|neuronbridge:MB546B	"tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20121107_19_C4', age: 'Adult'"	expression pattern fragment
20x-Brain-1878193524394950745	JRC_MB546B_Brain_20121107_19_D1_20x	female organism|adult brain|P{R82D04-GAL4.DBD} ∩ P{R65G01-p65.AD} expression pattern	JRC2018Unisex_c	MB546B|GMR_MB546B|JRC_MB546B	FlyLightSplit:MB546B|FlyLightSplitSlideCode:20121107_19_D1|jrc_slide_code_api:20121107_19_D1|neuronbridge:MB546B	"tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20121107_19_D1', age: 'Adult'"	expression pattern fragment
20x-Brain-1878193526827647065	JRC_MB546B_Brain_20121107_19_D2_20x	female organism|adult brain|P{R82D04-GAL4.DBD} ∩ P{R65G01-p65.AD} expression pattern	JRC2018Unisex_c	MB546B|GMR_MB546B|JRC_MB546B	FlyLightSplit:MB546B|FlyLightSplitSlideCode:20121107_19_D2|jrc_slide_code_api:20121107_19_D2|neuronbridge:MB546B	"tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20121107_19_D2', age: 'Adult'"	expression pattern fragment
