filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
63x-Brain-2594716758996680802	JRC_SS29633_Brain_20181010_32_E1_63x	male organism|adult brain|P{R76E11-GAL4.DBD} ∩ P{R33F06-p65.AD} expression pattern	JRC2018Unisex_c	SS29633|JRC_SS29633	FlyLightRaw:SS29633|FlyLightRawSlideCode:20181010_32_E1|jrc_slide_code_api:20181010_32_E1	tile(s): 'right_dorsal, ventral, left_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC', mounting protocol: 'DPX PBS Mounting', slide_code: '20181010_32_E1', age: 'Day 6-10'	expression pattern fragment
63x-Brain-2594716759072178274	JRC_SS29633_Brain_20181010_32_E2_63x	male organism|adult brain|P{R76E11-GAL4.DBD} ∩ P{R33F06-p65.AD} expression pattern	JRC2018Unisex_c	SS29633|JRC_SS29633	FlyLightRaw:SS29633|FlyLightRawSlideCode:20181010_32_E2|jrc_slide_code_api:20181010_32_E2	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181010_32_E2', age: 'Day 6-10'	expression pattern fragment
63x-Brain-2594716759143481442	JRC_SS29633_Brain_20181010_32_E3_63x	male organism|adult brain|P{R76E11-GAL4.DBD} ∩ P{R33F06-p65.AD} expression pattern	JRC2018Unisex_c	SS29633|JRC_SS29633	FlyLightRaw:SS29633|FlyLightRawSlideCode:20181010_32_E3|jrc_slide_code_api:20181010_32_E3	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181010_32_E3', age: 'Day 6-10'	expression pattern fragment
63x-Brain-2594716759214784610	JRC_SS29633_Brain_20181010_32_E4_63x	male organism|adult brain|P{R76E11-GAL4.DBD} ∩ P{R33F06-p65.AD} expression pattern	JRC2018Unisex_c	SS29633|JRC_SS29633	FlyLightRaw:SS29633|FlyLightRawSlideCode:20181010_32_E4|jrc_slide_code_api:20181010_32_E4	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181010_32_E4', age: 'Day 6-10'	expression pattern fragment
20x-Brain-2296476824655364133	JRC_SS25470_Brain_20160708_30_B1_20x	female organism|adult brain|P{VT048352-GAL4.DBD} ∩ P{VT063643-p65.AD} expression pattern	JRC2018Unisex_c	SS25470|JRC_SS25470	FlyLightRaw:SS25470|FlyLightRawSlideCode:20160708_30_B1|jrc_slide_code_api:20160708_30_B1	tile(s): 'brain', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160708_30_B1', age: 'Adult'	expression pattern fragment
20x-Brain-2296476824760221733	JRC_SS25470_Brain_20160708_30_B2_20x	female organism|adult brain|P{VT048352-GAL4.DBD} ∩ P{VT063643-p65.AD} expression pattern	JRC2018Unisex_c	SS25470|JRC_SS25470	FlyLightRaw:SS25470|FlyLightRawSlideCode:20160708_30_B2|jrc_slide_code_api:20160708_30_B2	tile(s): 'brain', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160708_30_B2', age: 'Adult'	expression pattern fragment
20x-Brain-2296476824865079333	JRC_SS25470_Brain_20160708_30_B3_20x	female organism|adult brain|P{VT048352-GAL4.DBD} ∩ P{VT063643-p65.AD} expression pattern	JRC2018Unisex_c	SS25470|JRC_SS25470	FlyLightRaw:SS25470|FlyLightRawSlideCode:20160708_30_B3|jrc_slide_code_api:20160708_30_B3	tile(s): 'brain', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160708_30_B3', age: 'Adult'	expression pattern fragment
20x-Brain-2296476824969936933	JRC_SS25470_Brain_20160708_30_B4_20x	female organism|adult brain|P{VT048352-GAL4.DBD} ∩ P{VT063643-p65.AD} expression pattern	JRC2018Unisex_c	SS25470|JRC_SS25470	FlyLightRaw:SS25470|FlyLightRawSlideCode:20160708_30_B4|jrc_slide_code_api:20160708_30_B4	tile(s): 'brain', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160708_30_B4', age: 'Adult'	expression pattern fragment
20x-Brain-2561692083186303074	JRC_SS29633_Brain_20180713_20_D3_20x	female organism|adult brain|P{R76E11-GAL4.DBD} ∩ P{R33F06-p65.AD} expression pattern	JRC2018Unisex_c	SS29633|JRC_SS29633	FlyLightRaw:SS29633|FlyLightRawSlideCode:20180713_20_D3|jrc_slide_code_api:20180713_20_D3	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180713_20_D3', age: 'Adult'	expression pattern fragment
20x-Brain-2561692083320520802	JRC_SS29633_Brain_20180713_20_D4_20x	female organism|adult brain|P{R76E11-GAL4.DBD} ∩ P{R33F06-p65.AD} expression pattern	JRC2018Unisex_c	SS29633|JRC_SS29633	FlyLightRaw:SS29633|FlyLightRawSlideCode:20180713_20_D4|jrc_slide_code_api:20180713_20_D4	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180713_20_D4', age: 'Adult'	expression pattern fragment
