filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
63x-Brain-2067805481144942690	JRC_SS00825_Brain_20140905_31_D1_63x	female organism|adult brain|P{VT043137-GAL4.DBD} ∩ P{R32A04-p65.AD} expression pattern	JRC2018Unisex_c	SS00825|GMR_SS00825|JRC_SS00825	FlyLightSplit:SS00825|FlyLightSplitSlideCode:20140905_31_D1|jrc_slide_code_api:20140905_31_D1|neuronbridge:SS00825	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140905_31_D1', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2069642829977616482	JRC_SS00825_Brain_20140909_34_A1_63x	female organism|adult brain|P{VT043137-GAL4.DBD} ∩ P{R32A04-p65.AD} expression pattern	JRC2018Unisex_c	SS00825|GMR_SS00825|JRC_SS00825	FlyLightSplit:SS00825|FlyLightSplitSlideCode:20140909_34_A1|jrc_slide_code_api:20140909_34_A1|neuronbridge:SS00825	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140909_34_A1', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2069643098253688930	JRC_SS02099_Brain_20140916_32_A1_63x	female organism|adult brain|P{VT046334-GAL4.DBD} ∩ P{R76B02-p65.AD} expression pattern	JRC2018Unisex_c	SS02099|GMR_SS02099|JRC_SS02099	FlyLightSplit:SS02099|FlyLightSplitSlideCode:20140916_32_A1|jrc_slide_code_api:20140916_32_A1|neuronbridge:SS02099	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140916_32_A1', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2078675004559458402	JRC_SS00824_Brain_20141111_31_A3_63x	female organism|adult brain|P{VT065322-GAL4.DBD} ∩ P{R32A04-p65.AD} expression pattern	JRC2018Unisex_c	SS00824|GMR_SS00824|JRC_SS00824	FlyLightSplit:SS00824|FlyLightSplitSlideCode:20141111_31_A3|jrc_slide_code_api:20141111_31_A3|neuronbridge:SS00824	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141111_31_A3', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2105949565520707682	JRC_SS02036_Brain_20141231_32_J1_63x	female organism|adult brain|P{R67E03-GAL4.DBD} ∩ P{VT058557-p65.AD} expression pattern	JRC2018Unisex_c	SS02036|GMR_SS02036|JRC_SS02036	FlyLightSplit:SS02036|FlyLightSplitSlideCode:20141231_32_J1|jrc_slide_code_api:20141231_32_J1|neuronbridge:SS02036	tile(s): 'left_dorsal, ventral, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141231_32_J1', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2176506538963763298	JRC_SS03690_Brain_20150804_31_D4_63x	female organism|adult brain|P{R72G03-GAL4.DBD} ∩ P{R22D12-p65.AD} expression pattern	JRC2018Unisex_c	SS03690|JRC_SS03690	FlyLightSplit:SS03690|FlyLightSplitSlideCode:20150804_31_D4|jrc_slide_code_api:20150804_31_D4|neuronbridge:SS03690	tile(s): 'left_dorsal, right_dorsal, ventral (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150804_31_D4', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2184354077834477666	JRC_SS03641_Brain_20150819_31_J2_63x	female organism|adult brain|P{R25D01-GAL4.DBD} ∩ P{VT064569-p65.AD} expression pattern	JRC2018Unisex_c	SS03641|JRC_SS03641	FlyLightSplit:SS03641|FlyLightSplitSlideCode:20150819_31_J2|jrc_slide_code_api:20150819_31_J2|neuronbridge:SS03641	tile(s): 'left_dorsal, right_dorsal, ventral (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150819_31_J2', age: 'Day 1-5'	expression pattern fragment
20x-Brain-2210334860671713378	JRC_SS00825_Brain_20140905_20_B1_20x	female organism|adult brain|P{VT043137-GAL4.DBD} ∩ P{R32A04-p65.AD} expression pattern	JRC2018Unisex_c	SS00825|GMR_SS00825|JRC_SS00825	FlyLightSplit:SS00825|FlyLightSplitSlideCode:20140905_20_B1|jrc_slide_code_api:20140905_20_B1|neuronbridge:SS00825	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140905_20_B1', age: 'Adult'	expression pattern fragment
20x-Brain-2210336757008826466	JRC_SS00824_Brain_20140908_20_C8_20x	female organism|adult brain|P{VT065322-GAL4.DBD} ∩ P{R32A04-p65.AD} expression pattern	JRC2018Unisex_c	SS00824|GMR_SS00824|JRC_SS00824	FlyLightSplit:SS00824|FlyLightSplitSlideCode:20140908_20_C8|jrc_slide_code_api:20140908_20_C8|neuronbridge:SS00824	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140908_20_C8', age: 'Adult'	expression pattern fragment
20x-Brain-2210348281278496866	JRC_SS02036_Brain_20140912_20_E3_20x	female organism|adult brain|P{R67E03-GAL4.DBD} ∩ P{VT058557-p65.AD} expression pattern	JRC2018Unisex_c	SS02036|GMR_SS02036|JRC_SS02036	FlyLightSplit:SS02036|FlyLightSplitSlideCode:20140912_20_E3|jrc_slide_code_api:20140912_20_E3|neuronbridge:SS02036	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140912_20_E3', age: 'Adult'	expression pattern fragment
