filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
63x-Brain-2574297697653620834	JRC_SS43274_Brain_20180815_31_B1_63x	female organism|adult brain|P{VT002064-GAL4.DBD} ∩ P{VT025602-p65.AD} expression pattern	JRC2018Unisex_c	SS43274|JRC_SS43274	FlyLightRaw:SS43274|FlyLightRawSlideCode:20180815_31_B1|jrc_slide_code_api:20180815_31_B1	tile(s): 'right_dorsal, ventral, left_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180815_31_B1', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2574297697850753122	JRC_SS43274_Brain_20180815_31_B3_63x	female organism|adult brain|P{VT002064-GAL4.DBD} ∩ P{VT025602-p65.AD} expression pattern	JRC2018Unisex_c	SS43274|JRC_SS43274	FlyLightRaw:SS43274|FlyLightRawSlideCode:20180815_31_B3|jrc_slide_code_api:20180815_31_B3	tile(s): 'right_dorsal, ventral, left_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180815_31_B3', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2574297697951416418	JRC_SS43274_Brain_20180815_31_B4_63x	female organism|adult brain|P{VT002064-GAL4.DBD} ∩ P{VT025602-p65.AD} expression pattern	JRC2018Unisex_c	SS43274|JRC_SS43274	FlyLightRaw:SS43274|FlyLightRawSlideCode:20180815_31_B4|jrc_slide_code_api:20180815_31_B4	tile(s): 'right_dorsal, ventral, left_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180815_31_B4', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2630104748073680994	JRC_SS43274_Brain_20190104_32_A1_63x	female organism|adult brain|P{VT002064-GAL4.DBD} ∩ P{VT025602-p65.AD} expression pattern	JRC2018Unisex_c	SS43274|JRC_SS43274	FlyLightRaw:SS43274|FlyLightRawSlideCode:20190104_32_A1|jrc_slide_code_api:20190104_32_A1	tile(s): 'left_dorsal, ventral, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC', mounting protocol: 'DPX PBS Mounting', slide_code: '20190104_32_A1', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2630104748275007586	JRC_SS43274_Brain_20190104_32_A2_63x	female organism|adult brain|P{VT002064-GAL4.DBD} ∩ P{VT025602-p65.AD} expression pattern	JRC2018Unisex_c	SS43274|JRC_SS43274	FlyLightRaw:SS43274|FlyLightRawSlideCode:20190104_32_A2|jrc_slide_code_api:20190104_32_A2	tile(s): 'left_dorsal, ventral, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC', mounting protocol: 'DPX PBS Mounting', slide_code: '20190104_32_A2', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2630104748430196834	JRC_SS43274_Brain_20190104_32_A3_63x	female organism|adult brain|P{VT002064-GAL4.DBD} ∩ P{VT025602-p65.AD} expression pattern	JRC2018Unisex_c	SS43274|JRC_SS43274	FlyLightRaw:SS43274|FlyLightRawSlideCode:20190104_32_A3|jrc_slide_code_api:20190104_32_A3	tile(s): 'left_dorsal, ventral, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC', mounting protocol: 'DPX PBS Mounting', slide_code: '20190104_32_A3', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2666013191149977698	JRC_SS59331_Brain_20190423_31_C2_63x	female organism|adult brain|P{VT002063-GAL4.DBD} ∩ P{R35C10-p65.AD} expression pattern	JRC2018Unisex_c	SS59331|JRC_SS59331	FlyLightRaw:SS59331|FlyLightRawSlideCode:20190423_31_C2|jrc_slide_code_api:20190423_31_C2	tile(s): 'left_dorsal, right_dorsal, ventral (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190423_31_C2', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2666013191263223906	JRC_SS59331_Brain_20190423_31_C3_63x	female organism|adult brain|P{VT002063-GAL4.DBD} ∩ P{R35C10-p65.AD} expression pattern	JRC2018Unisex_c	SS59331|JRC_SS59331	FlyLightRaw:SS59331|FlyLightRawSlideCode:20190423_31_C3|jrc_slide_code_api:20190423_31_C3	tile(s): 'left_dorsal, right_dorsal, ventral (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190423_31_C3', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2676529641392439394	JRC_SS57598_Brain_20190521_31_C2_63x	female organism|adult brain|P{R26F09-GAL4.DBD} ∩ P{R71A09-p65.AD} expression pattern	JRC2018Unisex_c	SS57598|JRC_SS57598	FlyLightRaw:SS57598|FlyLightRawSlideCode:20190521_31_C2|jrc_slide_code_api:20190521_31_C2	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190521_31_C2', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2676529641526657122	JRC_SS57598_Brain_20190521_31_C3_63x	female organism|adult brain|P{R26F09-GAL4.DBD} ∩ P{R71A09-p65.AD} expression pattern	JRC2018Unisex_c	SS57598|JRC_SS57598	FlyLightRaw:SS57598|FlyLightRawSlideCode:20190521_31_C3|jrc_slide_code_api:20190521_31_C3	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190521_31_C3', age: 'Day 1-5'	expression pattern fragment
