filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
20x-Brain-2390720877646839906	JRC_SS31328_Brain_20170331_18_B1_20x	female organism|adult brain|P{VT037804-GAL4.DBD} ∩ P{VT050223-p65.AD} expression pattern	JRC2018Unisex_c	SS31328|JRC_SS31328	FlyLightSplit:SS31328|FlyLightSplitSlideCode:20170331_18_B1|jrc_slide_code_api:20170331_18_B1|neuronbridge:SS31328	tile(s): 'brain', effector genotype: 'w, R57C10- Flp2::PEST in su(Hw)attP8;; pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFPHA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRTmyr::smGFP- V5-THS-10XUAS-FRT>STOP > FRTmyr::smGFP- FLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170331_18_B1', age: 'Adult'	expression pattern fragment
20x-Brain-2390720877785251938	JRC_SS31328_Brain_20170331_18_B2_20x	female organism|adult brain|P{VT037804-GAL4.DBD} ∩ P{VT050223-p65.AD} expression pattern	JRC2018Unisex_c	SS31328|JRC_SS31328	FlyLightSplit:SS31328|FlyLightSplitSlideCode:20170331_18_B2|jrc_slide_code_api:20170331_18_B2|neuronbridge:SS31328	tile(s): 'brain', effector genotype: 'w, R57C10- Flp2::PEST in su(Hw)attP8;; pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFPHA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRTmyr::smGFP- V5-THS-10XUAS-FRT>STOP > FRTmyr::smGFP- FLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170331_18_B2', age: 'Adult'	expression pattern fragment
20x-Brain-2390720877923663970	JRC_SS31328_Brain_20170331_18_B3_20x	female organism|adult brain|P{VT037804-GAL4.DBD} ∩ P{VT050223-p65.AD} expression pattern	JRC2018Unisex_c	SS31328|JRC_SS31328	FlyLightSplit:SS31328|FlyLightSplitSlideCode:20170331_18_B3|jrc_slide_code_api:20170331_18_B3|neuronbridge:SS31328	tile(s): 'brain', effector genotype: 'w, R57C10- Flp2::PEST in su(Hw)attP8;; pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFPHA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRTmyr::smGFP- V5-THS-10XUAS-FRT>STOP > FRTmyr::smGFP- FLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170331_18_B3', age: 'Adult'	expression pattern fragment
20x-Brain-2390720878057881698	JRC_SS31328_Brain_20170331_18_B4_20x	female organism|adult brain|P{VT037804-GAL4.DBD} ∩ P{VT050223-p65.AD} expression pattern	JRC2018Unisex_c	SS31328|JRC_SS31328	FlyLightSplit:SS31328|FlyLightSplitSlideCode:20170331_18_B4|jrc_slide_code_api:20170331_18_B4|neuronbridge:SS31328	tile(s): 'brain', effector genotype: 'w, R57C10- Flp2::PEST in su(Hw)attP8;; pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFPHA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRTmyr::smGFP- V5-THS-10XUAS-FRT>STOP > FRTmyr::smGFP- FLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170331_18_B4', age: 'Adult'	expression pattern fragment
20x-Brain-2390720878196293730	JRC_SS31328_Brain_20170331_18_B5_20x	female organism|adult brain|P{VT037804-GAL4.DBD} ∩ P{VT050223-p65.AD} expression pattern	JRC2018Unisex_c	SS31328|JRC_SS31328	FlyLightSplit:SS31328|FlyLightSplitSlideCode:20170331_18_B5|jrc_slide_code_api:20170331_18_B5|neuronbridge:SS31328	tile(s): 'brain', effector genotype: 'w, R57C10- Flp2::PEST in su(Hw)attP8;; pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFPHA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRTmyr::smGFP- V5-THS-10XUAS-FRT>STOP > FRTmyr::smGFP- FLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170331_18_B5', age: 'Adult'	expression pattern fragment
20x-Brain-2488184798871289954	JRC_SS10614_Brain_20171221_19_D3_20x	female organism|adult brain|P{VT032900-GAL4.DBD} ∩ P{VT029309-p65.AD} expression pattern	JRC2018Unisex_c	SS10614|JRC_SS10614	FlyLightRaw:SS10614|FlyLightRawSlideCode:20171221_19_D3|jrc_slide_code_api:20171221_19_D3	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20171221_19_D3', age: 'Adult'	expression pattern fragment
20x-Brain-2488184798967758946	JRC_SS10614_Brain_20171221_19_D4_20x	female organism|adult brain|P{VT032900-GAL4.DBD} ∩ P{VT029309-p65.AD} expression pattern	JRC2018Unisex_c	SS10614|JRC_SS10614	FlyLightRaw:SS10614|FlyLightRawSlideCode:20171221_19_D4|jrc_slide_code_api:20171221_19_D4	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20171221_19_D4', age: 'Adult'	expression pattern fragment
20x-Brain-2488184799068422242	JRC_SS10614_Brain_20171221_19_D5_20x	female organism|adult brain|P{VT032900-GAL4.DBD} ∩ P{VT029309-p65.AD} expression pattern	JRC2018Unisex_c	SS10614|JRC_SS10614	FlyLightRaw:SS10614|FlyLightRawSlideCode:20171221_19_D5|jrc_slide_code_api:20171221_19_D5	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20171221_19_D5', age: 'Adult'	expression pattern fragment
20x-Brain-2488184799164891234	JRC_SS10614_Brain_20171221_19_D6_20x	female organism|adult brain|P{VT032900-GAL4.DBD} ∩ P{VT029309-p65.AD} expression pattern	JRC2018Unisex_c	SS10614|JRC_SS10614	FlyLightRaw:SS10614|FlyLightRawSlideCode:20171221_19_D6|jrc_slide_code_api:20171221_19_D6	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20171221_19_D6', age: 'Adult'	expression pattern fragment
20x-Brain-2488184799261360226	JRC_SS10614_Brain_20171221_19_D7_20x	female organism|adult brain|P{VT032900-GAL4.DBD} ∩ P{VT029309-p65.AD} expression pattern	JRC2018Unisex_c	SS10614|JRC_SS10614	FlyLightRaw:SS10614|FlyLightRawSlideCode:20171221_19_D7|jrc_slide_code_api:20171221_19_D7	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20171221_19_D7', age: 'Adult'	expression pattern fragment
