filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
20x-Brain-1978638135730372706	JRC_SS00771_Brain_20131213_19_E5_20x	female organism|adult brain|P{R61H02-GAL4.DBD} ∩ P{R11D03-p65.AD} expression pattern	JRC2018Unisex_c	SS00771|GMR_SS00771|JRC_SS00771	FlyLightRaw:SS00771|FlyLightRawSlideCode:20131213_19_E5|jrc_slide_code_api:20131213_19_E5	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131213_19_E5', age: 'Adult'	expression pattern fragment
20x-Brain-1978638139568160866	JRC_SS00800_Brain_20131213_19_F3_20x	female organism|adult brain|P{R17C11-GAL4.DBD} ∩ P{R52H01-p65.AD} expression pattern	JRC2018Unisex_c	SS00800|GMR_SS00800|JRC_SS00800	FlyLightRaw:SS00800|FlyLightRawSlideCode:20131213_19_F3|jrc_slide_code_api:20131213_19_F3	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131213_19_F3', age: 'Adult'	expression pattern fragment
20x-Brain-1966387330268790882	JRC_SS00783_Brain_20131211_19_A1_20x	female organism|adult brain|P{R48D11-GAL4.DBD} ∩ P{R25B02-p65.AD} expression pattern	JRC2018Unisex_c	SS00783|GMR_SS00783|JRC_SS00783	FlyLightRaw:SS00783|FlyLightRawSlideCode:20131211_19_A1|jrc_slide_code_api:20131211_19_A1	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131211_19_A1', age: 'Adult'	expression pattern fragment
20x-Brain-1966387338753867874	JRC_SS00783_Brain_20131211_19_A4_20x	female organism|adult brain|P{R48D11-GAL4.DBD} ∩ P{R25B02-p65.AD} expression pattern	JRC2018Unisex_c	SS00783|GMR_SS00783|JRC_SS00783	FlyLightRaw:SS00783|FlyLightRawSlideCode:20131211_19_A4|jrc_slide_code_api:20131211_19_A4	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131211_19_A4', age: 'Adult'	expression pattern fragment
20x-Brain-1966387354671251554	JRC_SS00778_Brain_20131211_19_B1_20x	female organism|adult brain|P{R25B02-GAL4.DBD} ∩ P{R20C11-p65.AD} expression pattern	JRC2018Unisex_c	SS00778|GMR_SS00778|JRC_SS00778	FlyLightRaw:SS00778|FlyLightRawSlideCode:20131211_19_B1|jrc_slide_code_api:20131211_19_B1	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131211_19_B1', age: 'Adult'	expression pattern fragment
20x-Brain-1966387417703252066	JRC_SS00778_Brain_20131211_19_B8_20x	female organism|adult brain|P{R25B02-GAL4.DBD} ∩ P{R20C11-p65.AD} expression pattern	JRC2018Unisex_c	SS00778|GMR_SS00778|JRC_SS00778	FlyLightRaw:SS00778|FlyLightRawSlideCode:20131211_19_B8|jrc_slide_code_api:20131211_19_B8	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131211_19_B8', age: 'Adult'	expression pattern fragment
20x-Brain-1966387448430723170	JRC_SS00696_Brain_20131211_19_C4_20x	female organism|adult brain|P{R14B07-GAL4.DBD} ∩ P{R64B03-p65.AD} expression pattern	JRC2018Unisex_c	SS00696|GMR_SS00696|JRC_SS00696	FlyLightRaw:SS00696|FlyLightRawSlideCode:20131211_19_C4|jrc_slide_code_api:20131211_19_C4	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131211_19_C4', age: 'Adult'	expression pattern fragment
20x-Brain-1966387466151657570	JRC_SS00696_Brain_20131211_19_C5_20x	female organism|adult brain|P{R14B07-GAL4.DBD} ∩ P{R64B03-p65.AD} expression pattern	JRC2018Unisex_c	SS00696|GMR_SS00696|JRC_SS00696	FlyLightRaw:SS00696|FlyLightRawSlideCode:20131211_19_C5|jrc_slide_code_api:20131211_19_C5	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131211_19_C5', age: 'Adult'	expression pattern fragment
20x-Brain-1966387475676921954	JRC_SS00688_Brain_20131211_19_D2_20x	female organism|adult brain|P{R29G11-GAL4.DBD} ∩ P{R26H02-p65.AD} expression pattern	JRC2018Unisex_c	SS00688|GMR_SS00688|JRC_SS00688	FlyLightRaw:SS00688|FlyLightRawSlideCode:20131211_19_D2|jrc_slide_code_api:20131211_19_D2	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131211_19_D2', age: 'Adult'	expression pattern fragment
20x-Brain-1958772461159841890	JRC_SS00688_Brain_20131211_19_D3_20x	female organism|adult brain|P{R29G11-GAL4.DBD} ∩ P{R26H02-p65.AD} expression pattern	JRC2018Unisex_c	SS00688|GMR_SS00688|JRC_SS00688	FlyLightRaw:SS00688|FlyLightRawSlideCode:20131211_19_D3|jrc_slide_code_api:20131211_19_D3	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131211_19_D3', age: 'Adult'	expression pattern fragment
20x-Brain-1966387492177313890	JRC_SS00688_Brain_20131211_19_D6_20x	female organism|adult brain|P{R29G11-GAL4.DBD} ∩ P{R26H02-p65.AD} expression pattern	JRC2018Unisex_c	SS00688|GMR_SS00688|JRC_SS00688	FlyLightRaw:SS00688|FlyLightRawSlideCode:20131211_19_D6|jrc_slide_code_api:20131211_19_D6	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131211_19_D6', age: 'Adult'	expression pattern fragment
20x-Brain-1966388717434175586	JRC_SS00771_Brain_20131220_19_B4_20x	female organism|adult brain|P{R61H02-GAL4.DBD} ∩ P{R11D03-p65.AD} expression pattern	JRC2018Unisex_c	SS00771|GMR_SS00771|JRC_SS00771	FlyLightRaw:SS00771|FlyLightRawSlideCode:20131220_19_B4|jrc_slide_code_api:20131220_19_B4	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131220_19_B4', age: 'Adult'	expression pattern fragment
20x-Brain-1973267177951723618	JRC_SS00698_Brain_20140124_19_C1_20x	female organism|adult brain|P{R19C10-GAL4.DBD} ∩ P{R11D03-p65.AD} expression pattern	JRC2018Unisex_c	SS00698|GMR_SS00698|JRC_SS00698	FlyLightRaw:SS00698|FlyLightRawSlideCode:20140124_19_C1|jrc_slide_code_api:20140124_19_C1	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140124_19_C1', age: 'Adult'	expression pattern fragment
20x-Brain-1973267187833503842	JRC_SS00698_Brain_20140124_19_C4_20x	female organism|adult brain|P{R19C10-GAL4.DBD} ∩ P{R11D03-p65.AD} expression pattern	JRC2018Unisex_c	SS00698|GMR_SS00698|JRC_SS00698	FlyLightRaw:SS00698|FlyLightRawSlideCode:20140124_19_C4|jrc_slide_code_api:20140124_19_C4	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140124_19_C4', age: 'Adult'	expression pattern fragment
20x-Brain-1973267190744350818	JRC_SS00698_Brain_20140124_19_C6_20x	female organism|adult brain|P{R19C10-GAL4.DBD} ∩ P{R11D03-p65.AD} expression pattern	JRC2018Unisex_c	SS00698|GMR_SS00698|JRC_SS00698	FlyLightRaw:SS00698|FlyLightRawSlideCode:20140124_19_C6|jrc_slide_code_api:20140124_19_C6	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140124_19_C6', age: 'Adult'	expression pattern fragment
20x-Brain-1971526536972468322	JRC_SS00692_Brain_20140129_19_B3_20x	female organism|adult brain|P{R37E10-GAL4.DBD} ∩ P{R64B07-p65.AD} expression pattern	JRC2018Unisex_c	SS00692|GMR_SS00692|JRC_SS00692	FlyLightRaw:SS00692|FlyLightRawSlideCode:20140129_19_B3|jrc_slide_code_api:20140129_19_B3	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140129_19_B3', age: 'Adult'	expression pattern fragment
20x-Brain-1974369506914467938	JRC_SS00695_Brain_20140129_19_E2_20x	female organism|adult brain|P{R75H07-GAL4.DBD} ∩ P{R59A05-p65.AD} expression pattern	JRC2018Unisex_c	SS00695|GMR_SS00695|JRC_SS00695	FlyLightRaw:SS00695|FlyLightRawSlideCode:20140129_19_E2|jrc_slide_code_api:20140129_19_E2	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140129_19_E2', age: 'Adult'	expression pattern fragment
