subject_id	subject_name	DataSet	relation	object	Curator
VFB_001001n7	DPMl12 ant s 5 Right (L1EM:14546554)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001iw	DPMm2 ppFB ant dor s 2 Left  (L1EM:12498192)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001ly	CM4 s GC 5 Left (L1EM:14266415)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001ya	CPa s 2 Left (L1EM:17729822)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001po	DALcl12 d s 3 Right (L1EM:14797204)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001k4	DPMl12 pos s 5 Right (L1EM:13217639)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001ou	CM13 lat s 4 Right (L1EM:14547391)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001g4	DPMm1 upp comm s 4 Left (L1EM:9950816)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001gg	CM4 s short pos 2 Left (L1EM:10017669)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001hz	DPMpm1 s 2 Right (L1EM:11509767)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001kt	DPMm1 s 2 (L1EM:13454509)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001rx	BAmas12 ven s 5 Right (L1EM:16318947)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001uv	BAlc post s 6 Right (L1EM:17545744)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001v7	DPLd s 7 Right (L1EM:17557183)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001i2	DPMpm1 ppFB 2 - Right (L1EM:12205963)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001nb	DPMpm1 s 1 Right (L1EM:14546624)	Andrade2019	part_of	larval nervous system	cp390
VFB_001015gp	BLAv12 pos s (L1EM:21462953)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001fr	CM4 s MEFcom 3 Left  (L1EM:9844278)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001p9	CM4 s dor pos com 1 Right (L1EM:14644884)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001lt	CM13 med s 6 Left (L1EM:14266304)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001q4	CPb s 2 Right (L1EM:14914127)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001vf	DPLc post lat ant s 3 Right (L1EM:17562074)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001p1	CPd s 2 Right (L1EM:14547437)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001p8	CM4 s GC 3 Right (L1EM:14632529)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001we	BAlp post s 2 Left  (L1EM:17728682)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001z6	TR Balv s 3 Left (L1EM:17733478)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001ku	DPMm1 desc s lat 1 Right (L1EM:13556524)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001tc	BLP12 a s 5 Right (L1EM:17371295)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001sx	BLP12 a s 2 Right (L1EM:17352429)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001eu	CPd s 3 Left (L1EM:7005152)	Andrade2019	part_of	larval nervous system	cp390
