subject_external_db	subject_external_id	subject_name	relation	object
catmaid_l1em	17728627	BAlc post s 1 Left	is_a	BAlc lineage neuron
catmaid_l1em	17545905	BAlc post s 1 Right	is_a	BAlc lineage neuron
catmaid_l1em	17728622	BAlc post s 2 Left	is_a	BAlc lineage neuron
catmaid_l1em	17545782	BAlc post s 2 Right	is_a	BAlc lineage neuron
catmaid_l1em	17728637	BAlc post s 3 Left	is_a	BAlc lineage neuron
catmaid_l1em	17545806	BAlc post s 3 Right	is_a	BAlc lineage neuron
catmaid_l1em	17728642	BAlc post s 4 Left	is_a	BAlc lineage neuron
catmaid_l1em	17545795	BAlc post s 4 Right	is_a	BAlc lineage neuron
catmaid_l1em	12477165	BAlc post s 5 Left	is_a	BAlc lineage neuron
catmaid_l1em	17545766	BAlc post s 5 Right	is_a	BAlc lineage neuron
catmaid_l1em	16461910	BAlc post s 6 Left	is_a	BAlc lineage neuron
catmaid_l1em	17545744	BAlc post s 6 Right	is_a	BAlc lineage neuron
catmaid_l1em	17545868	BAlc post s 7 Right (sp)	is_a	BAlc lineage neuron
catmaid_l1em	17545755	BAlc post s 8 Right	is_a	BAlc lineage neuron
catmaid_l1em	17545878	BAlc post s NB 1 Right 	is_a	BAlc lineage neuron
catmaid_l1em	17728776	BAlp4 s 1 Left  	is_a	BAlp4 lineage neuron
catmaid_l1em	15674294	BAlp4 s 1 Right	is_a	BAlp4 lineage neuron
catmaid_l1em	8426335	BAlp4 s 2 Left 	is_a	BAlp4 lineage neuron
catmaid_l1em	19359257	BAlv s 1 Left	is_a	BAlv lineage neuron
catmaid_l1em	17634397	BAlv s 1 Right	is_a	BAlv lineage neuron
catmaid_l1em	19359287	BAlv s 2 Left	is_a	BAlv lineage neuron
catmaid_l1em	17634407	BAlv s 2 Right	is_a	BAlv lineage neuron
catmaid_l1em	15541956	BAmd1 d s 1 Left	is_a	BAmd1 lineage neuron
catmaid_l1em	7372611	BAmd1 d s 1 Right	is_a	BAmd1 lineage neuron
catmaid_l1em	15139341	BAmd1 d s 2 Left	is_a	BAmd1 lineage neuron
catmaid_l1em	7371869	BAmd1 d s 2 Right	is_a	BAmd1 lineage neuron
catmaid_l1em	15078639	BAmd1 d s 3 Left	is_a	BAmd1 lineage neuron
catmaid_l1em	7373095	BAmd1 d s 3 Right	is_a	BAmd1 lineage neuron
catmaid_l1em	14267175	BAmd1 d s 4 Left	is_a	BAmd1 lineage neuron
catmaid_l1em	17472365	BAmd1 v s 1 Left	is_a	BAmd1 lineage neuron
catmaid_l1em	14849956	BAmd1 v s 1 Right	is_a	BAmd1 lineage neuron
catmaid_l1em	15078682	BAmd1 v s 2 Left	is_a	BAmd1 lineage neuron
catmaid_l1em	14851773	BAmd1 v s 2 Right	is_a	BAmd1 lineage neuron
catmaid_l1em	19404939	BAmd1 v s 3 Left	is_a	BAmd1 lineage neuron
catmaid_l1em	14848137	BAmd1 v s 3 Right	is_a	BAmd1 lineage neuron
catmaid_l1em	15078687	BAmd1 v s 4 Left	is_a	BAmd1 lineage neuron
catmaid_l1em	19395562	BAmd2 d s 1 Left	is_a	BAmd2 lineage neuron
catmaid_l1em	13756873	BAmd2 d s 1 Right	is_a	BAmd2 lineage neuron
catmaid_l1em	19395698	BAmd2 s left	is_a	BAmd2 lineage neuron
catmaid_l1em	14267170	BAmd2 v s 1 Left	is_a	BAmd2 lineage neuron
catmaid_l1em	13836912	BAmd2 v s 1 Right 	is_a	BAmd2 lineage neuron
catmaid_l1em	19393740	BAmd2 v s 2 Left	is_a	BAmd2 lineage neuron
catmaid_l1em	13759971	BAmd2 v s 2 Right	is_a	BAmd2 lineage neuron
catmaid_l1em	12927136	BAmd2 v s 3 Left	is_a	BAmd2 lineage neuron
catmaid_l1em	13838330	BAmd2 v s 3 Right	is_a	BAmd2 lineage neuron
catmaid_l1em	19393736	BAmd2 v s 4 Left	is_a	BAmd2 lineage neuron
catmaid_l1em	13760269	BAmd2 v s 4 Right	is_a	BAmd2 lineage neuron
catmaid_l1em	19393756	BAmd2 v s 5 Left	is_a	BAmd2 lineage neuron
catmaid_l1em	13758977	BAmd2 v s 5 Right	is_a	BAmd2 lineage neuron
catmaid_l1em	19395704	BAmd2 v s 6 Left	is_a	BAmd2 lineage neuron
catmaid_l1em	13760579	BAmd2 v s 6 Right	is_a	BAmd2 lineage neuron
catmaid_l1em	19393720	BAmd2 v s 7 Left	is_a	BAmd2 lineage neuron
catmaid_l1em	13841014	BAmd2 v s 7 Right	is_a	BAmd2 lineage neuron
catmaid_l1em	19393744	BAmd2 v s 8 Left	is_a	BAmd2 lineage neuron
catmaid_l1em	13840191	BAmd2 v s 8 Right	is_a	BAmd2 lineage neuron
catmaid_l1em	19806024	BLAl s 1 Left	is_a	BLAl1 lineage neuron
catmaid_l1em	8805521	BLAl s 1 Right	is_a	BLAl1 lineage neuron
catmaid_l1em	19806028	BLAl s 2 Left	is_a	BLAl1 lineage neuron
catmaid_l1em	12615701	BLAl s 2 Right	is_a	BLAl1 lineage neuron
catmaid_l1em	19701236	BLAl s 3 Left	is_a	BLAl1 lineage neuron
catmaid_l1em	12618333	BLAl s 3 Right	is_a	BLAl1 lineage neuron
catmaid_l1em	19538646	BLAl s 4 Left	is_a	BLAl1 lineage neuron
catmaid_l1em	17583465	BLAl s 4 Right	is_a	BLAl1 lineage neuron
catmaid_l1em	19352379	BLAl s 5 Left	is_a	BLAl1 lineage neuron
