subject_external_id	object	relation	subject_external_db	pub	comment	subject_name
720575941352181296	BAlc Notch ON hemilineage neuron	is_a	BANC626	doi:0.1101/2025.07.31.667571	BANC_626 260417	BANC_626:720575941352181296
720575941352199472	DALcm1 Notch ON hemilineage neuron	is_a	BANC626	doi:0.1101/2025.07.31.667571	BANC_626 260417	BANC_626:720575941352199472
720575941352258864	DPLpv anterior hemilineage neuron	is_a	BANC626	doi:0.1101/2025.07.31.667571	BANC_626 260417	BANC_626:720575941352258864
720575941352465968	DPLp2 anterior hemilineage neuron	is_a	BANC626	doi:0.1101/2025.07.31.667571	BANC_626 260417	BANC_626:720575941352465968
720575941352863792	BLD1 posterior hemilineage neuron	is_a	BANC626	doi:0.1101/2025.07.31.667571	BANC_626 260417	BANC_626:720575941352863792
720575941352877616	BAlc Notch ON hemilineage neuron	is_a	BANC626	doi:0.1101/2025.07.31.667571	BANC_626 260417	BANC_626:720575941352877616
720575941353031472	BLD3 anterior hemilineage neuron	is_a	BANC626	doi:0.1101/2025.07.31.667571	BANC_626 260417	BANC_626:720575941353031472
720575941353092656	BLAvm medial hemilineage neuron	is_a	BANC626	doi:0.1101/2025.07.31.667571	BANC_626 260417	BANC_626:720575941353092656
720575941353113136	BLVp2 anterior hemilineage neuron	is_a	BANC626	doi:0.1101/2025.07.31.667571	BANC_626 260417	BANC_626:720575941353113136
720575941353129264	BLD1 posterior hemilineage neuron	is_a	BANC626	doi:0.1101/2025.07.31.667571	BANC_626 260417	BANC_626:720575941353129264
720575941353147440	DALcl1 Notch OFF hemilineage neuron	is_a	BANC626	doi:0.1101/2025.07.31.667571	BANC_626 260417	BANC_626:720575941353147440
720575941353169456	BLAv1 posterior hemilineage neuron	is_a	BANC626	doi:0.1101/2025.07.31.667571	BANC_626 260417	BANC_626:720575941353169456
720575941353177904	BLD3 dorsal hemilineage neuron	is_a	BANC626	doi:0.1101/2025.07.31.667571	BANC_626 260417	BANC_626:720575941353177904
720575941353261360	BLVp1 anterior hemilineage neuron	is_a	BANC626	doi:0.1101/2025.07.31.667571	BANC_626 260417	BANC_626:720575941353261360
720575941353314608	BLAl1 medial hemilineage neuron	is_a	BANC626	doi:0.1101/2025.07.31.667571	BANC_626 260417	BANC_626:720575941353314608
720575941353320496	BLP1 posterior hemilineage neuron	is_a	BANC626	doi:0.1101/2025.07.31.667571	BANC_626 260417	BANC_626:720575941353320496
720575941353402160	BLVp1 anterior hemilineage neuron	is_a	BANC626	doi:0.1101/2025.07.31.667571	BANC_626 260417	BANC_626:720575941353402160
720575941390723076	DPLpv posterior hemilineage neuron	is_a	BANC626	doi:0.1101/2025.07.31.667571	BANC_626 260417	BANC_626:720575941390723076
