subject_external_id	subject_name	subject_external_db	relation	object	pub
720575941612452326	BANC_888:720575941612452326	BANC888	is_a	adult CB1150 neuron	
720575941612452838	BANC_888:720575941612452838	BANC888	is_a	femoral chordotonal hook neuron	
720575941612454364	BANC_888:720575941612454364	BANC888	is_a	adult SNch13 neuron	
720575941612454633	BANC_888:720575941612454633	BANC888	is_a	distal medullary amacrine neuron Dm15	
720575941612455676	BANC_888:720575941612455676	BANC888	is_a	femoral chordotonal hook neuron	
720575941612455754	BANC_888:720575941612455754	BANC888	is_a	adult olfactory receptor neuron Or49a/85f	
720575941612456156	BANC_888:720575941612456156	BANC888	is_a	mechanosensory neuron of interommatidial bristle	
720575941612456522	BANC_888:720575941612456522	BANC888	is_a	adult olfactory receptor neuron Or88a	
720575941612456668	BANC_888:720575941612456668	BANC888	is_a	sensory neuron	
720575941612457449	BANC_888:720575941612457449	BANC888	is_a	lobula columnar neuron LC12	
720575941612459110	BANC_888:720575941612459110	BANC888	is_a	lobula columnar neuron LC10b	
720575941612459484	BANC_888:720575941612459484	BANC888	is_a	bristle sensory neuron	
720575941612459850	BANC_888:720575941612459850	BANC888	is_a	medulla intrinsic neuron Mi15	
720575941612460205	BANC_888:720575941612460205	BANC888	is_a	T5a neuron	
720575941612461289	BANC_888:720575941612461289	BANC888	is_a	T4d neuron	
720575941612462332	BANC_888:720575941612462332	BANC888	is_a	femoral chordotonal hook neuron	
720575941612462666	BANC_888:720575941612462666	BANC888	is_a	sensory neuron	
720575941612462922	BANC_888:720575941612462922	BANC888	is_a	adult medulla visual projection neuron MeVP6	FlyBase:FBrf0262545
720575941612464361	BANC_888:720575941612464361	BANC888	is_a	adult optic lobe intrinsic neuron	
720575941612468710	BANC_888:720575941612468710	BANC888	is_a	adult AN12B019 neuron	
720575941612469734	BANC_888:720575941612469734	BANC888	is_a	photoreceptor cell R7	
720575941612471626	BANC_888:720575941612471626	BANC888	is_a	adult optic lobe intrinsic neuron	
720575941612471654	BANC_888:720575941612471654	BANC888	is_a	distal medullary amacrine neuron Dm3b	FlyBase:FBrf0262545
720575941612471910	BANC_888:720575941612471910	BANC888	is_a	adult prosternal chordotonal organ neuron	
720575941612473674	BANC_888:720575941612473674	BANC888	is_a	lamina monopolar neuron L1	
720575941612474086	BANC_888:720575941612474086	BANC888	is_a	adult IN01B041 neuron	
720575941612475622	BANC_888:720575941612475622	BANC888	is_a	lamina monopolar neuron L3	
720575941612477514	BANC_888:720575941612477514	BANC888	is_a	adult optic lobe intrinsic neuron	
720575941612478282	BANC_888:720575941612478282	BANC888	is_a	adult optic lobe intrinsic neuron	
720575941612478428	BANC_888:720575941612478428	BANC888	is_a	mechanosensory neuron of interommatidial bristle	
720575941612479251	BANC_888:720575941612479251	BANC888	is_a	T5a neuron	
720575941612480489	BANC_888:720575941612480489	BANC888	is_a	adult AN10B015 neuron	
720575941612480988	BANC_888:720575941612480988	BANC888	is_a	adult olfactory receptor neuron Or67d	
720575941612483036	BANC_888:720575941612483036	BANC888	is_a	adult SNta24 neuron	
720575941612485084	BANC_888:720575941612485084	BANC888	is_a	mechanosensory neuron of interommatidial bristle	
720575941612485340	BANC_888:720575941612485340	BANC888	is_a	mechanosensory neuron of interommatidial bristle	
720575941612485350	BANC_888:720575941612485350	BANC888	is_a	adult superior medial protocerebrum neuron 328	
720575941612485353	BANC_888:720575941612485353	BANC888	is_a	T2 neuron	
720575941612486163	BANC_888:720575941612486163	BANC888	is_a	adult optic lobe intrinsic neuron	
720575941612486620	BANC_888:720575941612486620	BANC888	is_a	adult SNta27 neuron	
720575941612486889	BANC_888:720575941612486889	BANC888	is_a	T2 neuron	
720575941612488109	BANC_888:720575941612488109	BANC888	is_a	medulla intrinsic neuron Mi9	
720575941612488169	BANC_888:720575941612488169	BANC888	is_a	descending neuron of the posterior brain	
720575941612488422	BANC_888:720575941612488422	BANC888	is_a	adult optic lobe intrinsic neuron	
720575941612489133	BANC_888:720575941612489133	BANC888	is_a	lobula-lobula plate columnar neuron LLPC1	
720575941612489369	BANC_888:720575941612489369	BANC888	is_a	adult IN13A042 neuron	
720575941612491338	BANC_888:720575941612491338	BANC888	is_a	adult optic lobe intrinsic neuron	
