subject_id	object	pub	relation	comment	subject_name
VFB_001067ld	neuroblast SLPpm4	doi:10.1038/s41586-026-10735-w	develops_from	Bates2026 260820	BANC_888:720575941452780457
VFB_001068w6	neuroblast CM3	doi:10.1038/s41586-026-10735-w	develops_from	Bates2026 260820	BANC_888:720575941459415878
VFB_00107zbw	neuroblast SLPpm4	doi:10.1038/s41586-026-10735-w	develops_from	Bates2026 260820	BANC_888:720575941515710051
VFB_001084ol	neuroblast SLPpm4	doi:10.1038/s41586-026-10735-w	develops_from	Bates2026 260820	BANC_888:720575941534199781
VFB_00108s74	neuroblast SLPpm4	doi:10.1038/s41586-026-10735-w	develops_from	Bates2026 260820	BANC_888:720575941625345532
VFB_00108zoh	neuroblast CM3	doi:10.1038/s41586-026-10735-w	develops_from	Bates2026 260820	BANC_888:720575941681953981
VFB_00107agd	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941353771056
VFB_00106eux	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941394131094
VFB_00107azc	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941394658198
VFB_00107b1f	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941395020694
VFB_00106exb	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941400285475
VFB_00106f3t	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941402302320
VFB_00106f4d	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941402749552
VFB_00107b86	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941402809123
VFB_00106fa8	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941404874352
VFB_00107bf8	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941404875120
VFB_00106fcj	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941405981487
VFB_00106fk8	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941407788206
VFB_00106gfi	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941412955759
VFB_00106gpq	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941414469777
VFB_00106gpu	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941414482833
VFB_00106gtz	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941415025812
VFB_00106gw3	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941415629596
VFB_00106gw4	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941415647004
VFB_00106gxk	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941415969052
VFB_00106h98	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941427901012
VFB_00106ha4	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941428164233
VFB_00106hsf	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941430391544
VFB_00106aem	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941431181449
VFB_00106afe	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941431211951
VFB_00107e0w	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941432162808
VFB_00106awq	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941432825815
VFB_00107ekt	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941433155543
VFB_00107ev3	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941434207246
VFB_00107eve	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941434238222
VFB_00106b4c	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941434301472
VFB_00106beg	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941435912224
VFB_00106bf0	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941435997984
VFB_00107f45	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941436255374
VFB_00106bwb	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941437933074
VFB_00106cjm	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941439562559
VFB_00107ftw	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941439626028
VFB_00107gbs	primary neuron	doi:10.1038/s41586-026-10735-w	is_a	Bates2026 260820	BANC_888:720575941440467775
