subject_id	object	relation	pub	subject_name	comment
VFB_jrmc1ops	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VA2_R (MaleCNS:192555)	male-cns:v0.9 251117
VFB_jrmc1omr	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VA1v_unknown (MaleCNS:193128)	male-cns:v0.9 251117
VFB_jrmc1oti	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VA6_L (MaleCNS:193139)	male-cns:v0.9 251117
VFB_jrmc1nuh	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_DC3_L (MaleCNS:193356)	male-cns:v0.9 251117
VFB_jrmc1p5e	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VL2a_R (MaleCNS:193476)	male-cns:v0.9 251117
VFB_jrmc1oms	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VA1v_R (MaleCNS:193727)	male-cns:v0.9 251117
VFB_jrmc1o7n	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_DM2_R (MaleCNS:194695)	male-cns:v0.9 251117
VFB_jrmc1opt	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VA2_L (MaleCNS:194874)	male-cns:v0.9 251117
VFB_jrmc1pft	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VM5d_L (MaleCNS:195369)	male-cns:v0.9 251117
VFB_jrmc1otj	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VA6_R (MaleCNS:195498)	male-cns:v0.9 251117
VFB_jrmc1p5f	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VL2a_L (MaleCNS:195524)	male-cns:v0.9 251117
VFB_jrmc1phe	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VM5v_L (MaleCNS:195652)	male-cns:v0.9 251117
VFB_jrmc1p8f	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VM1_R (MaleCNS:196143)	male-cns:v0.9 251117
VFB_jrmc1phf	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VM5v_L (MaleCNS:196208)	male-cns:v0.9 251117
VFB_jrmc1nui	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_DC3_R (MaleCNS:196513)	male-cns:v0.9 251117
VFB_jrmc1pfu	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VM5d_R (MaleCNS:196691)	male-cns:v0.9 251117
VFB_jrmc1ox6	adult maxillary-labial nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VC2_L (MaleCNS:196833)	male-cns:v0.9 251117
VFB_jrmc1oy6	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VC3_R (MaleCNS:197147)	male-cns:v0.9 251117
VFB_jrmc1nw9	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_DL1_R (MaleCNS:197156)	male-cns:v0.9 251117
VFB_jrmc1oy7	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VC3_L (MaleCNS:197647)	male-cns:v0.9 251117
VFB_jrmc1nld	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_DA1_L (MaleCNS:197993)	male-cns:v0.9 251117
VFB_jrmc1opu	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VA2_L (MaleCNS:198139)	male-cns:v0.9 251117
VFB_jrmc1nwa	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_DL1_L (MaleCNS:198460)	male-cns:v0.9 251117
VFB_jrmc1omt	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VA1v_L (MaleCNS:198518)	male-cns:v0.9 251117
VFB_jrmc1omu	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VA1v_R (MaleCNS:199016)	male-cns:v0.9 251117
VFB_jrmc1o06	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_DL3_unknown (MaleCNS:199315)	male-cns:v0.9 251117
VFB_jrmc1opv	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VA2_L (MaleCNS:199488)	male-cns:v0.9 251117
VFB_jrmc1pfv	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VM5d_R (MaleCNS:199601)	male-cns:v0.9 251117
VFB_jrmc1oih	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VA1d_R (MaleCNS:199691)	male-cns:v0.9 251117
VFB_jrmc1nwb	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_DL1_L (MaleCNS:200223)	male-cns:v0.9 251117
VFB_jrmc1nle	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_DA1_L (MaleCNS:200896)	male-cns:v0.9 251117
VFB_jrmc1p5g	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VL2a_L (MaleCNS:201164)	male-cns:v0.9 251117
VFB_jrmc1or4	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VA3_unknown (MaleCNS:201419)	male-cns:v0.9 251117
VFB_jrmc1pbr	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VM3_R (MaleCNS:201687)	male-cns:v0.9 251117
VFB_jrmc1otk	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VA6_R (MaleCNS:201843)	male-cns:v0.9 251117
VFB_jrmc1pbs	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VM3_R (MaleCNS:201931)	male-cns:v0.9 251117
VFB_jrmc1o7o	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_DM2_L (MaleCNS:201965)	male-cns:v0.9 251117
VFB_jrmc1o5y	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_DM1_R (MaleCNS:202140)	male-cns:v0.9 251117
VFB_jrmc1opw	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VA2_R (MaleCNS:202321)	male-cns:v0.9 251117
VFB_jrmc1ns1	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_DA4m_R (MaleCNS:202455)	male-cns:v0.9 251117
VFB_jrmc1o5z	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_DM1_R (MaleCNS:202705)	male-cns:v0.9 251117
VFB_jrmc1pbt	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VM3_R (MaleCNS:202964)	male-cns:v0.9 251117
VFB_jrmc1omv	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VA1v_R (MaleCNS:203654)	male-cns:v0.9 251117
VFB_jrmc1o45	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_DL5_R (MaleCNS:204029)	male-cns:v0.9 251117
VFB_jrmc1o7p	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_DM2_R (MaleCNS:204061)	male-cns:v0.9 251117
VFB_jrmc1o60	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_DM1_R (MaleCNS:204248)	male-cns:v0.9 251117
VFB_jrmc1o7q	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_DM2_R (MaleCNS:204282)	male-cns:v0.9 251117
VFB_jrmc1pbu	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VM3_R (MaleCNS:204451)	male-cns:v0.9 251117
VFB_jrmc1oar	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_DM4_R (MaleCNS:204564)	male-cns:v0.9 251117
VFB_jrmc1oz7	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VC4_R (MaleCNS:204745)	male-cns:v0.9 251117
VFB_jrmc1nr5	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_DA4l_R (MaleCNS:205159)	male-cns:v0.9 251117
VFB_jrmc1p05	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VC5_L (MaleCNS:205223)	male-cns:v0.9 251117
VFB_jrmc1p8g	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VM1_R (MaleCNS:205314)	male-cns:v0.9 251117
VFB_jrmc1oas	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_DM4_L (MaleCNS:205597)	male-cns:v0.9 251117
VFB_jrmc1otl	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VA6_unknown (MaleCNS:205799)	male-cns:v0.9 251117
VFB_jrmc1opx	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VA2_L (MaleCNS:205907)	male-cns:v0.9 251117
VFB_jrmc1nvn	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_DC4_R (MaleCNS:206316)	male-cns:v0.9 251117
VFB_jrmc1pfw	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VM5d_R (MaleCNS:207245)	male-cns:v0.9 251117
VFB_jrmc1phg	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VM5v_L (MaleCNS:207537)	male-cns:v0.9 251117
VFB_jrmc1osr	adult antennal nerve	fasciculates_with	doi:10.1101/2025.10.09.680999	ORN_VA5_unknown (MaleCNS:207587)	male-cns:v0.9 251117
