subject_external_id	subject_name	subject_external_db	relation	object	pub
1000116295	R8y_L (MaleCNS:1000116295)	male-cns_v0_9	is_a	photoreceptor cell R8 of yellow ommatidium	FlyBase:FBrf0262545
100636	R7d_L (MaleCNS:100636)	male-cns_v0_9	is_a	dorsal margin photoreceptor cell R7	FlyBase:FBrf0262545
100711	Cm18_R (MaleCNS:100711)	male-cns_v0_9	is_a	adult central medulla intrinsic neuron Cm18	
100772	R7y_R (MaleCNS:100772)	male-cns_v0_9	is_a	photoreceptor cell R7 of yellow ommatidium	FlyBase:FBrf0262545
100886	R7p_R (MaleCNS:100886)	male-cns_v0_9	is_a	photoreceptor cell R7 of pale ommatidium	FlyBase:FBrf0262545
10114	Cm34_R (MaleCNS:10114)	male-cns_v0_9	is_a	adult central medulla intrinsic neuron Cm34	
101272	R7d_R (MaleCNS:101272)	male-cns_v0_9	is_a	dorsal margin photoreceptor cell R7	FlyBase:FBrf0262545
101414	R7y_R (MaleCNS:101414)	male-cns_v0_9	is_a	photoreceptor cell R7 of yellow ommatidium	FlyBase:FBrf0262545
102376094	R8y_L (MaleCNS:102376094)	male-cns_v0_9	is_a	photoreceptor cell R8 of yellow ommatidium	FlyBase:FBrf0262545
102441204	R8p_L (MaleCNS:102441204)	male-cns_v0_9	is_a	photoreceptor cell R8 of pale ommatidium	FlyBase:FBrf0262545
102544354	R8y_L (MaleCNS:102544354)	male-cns_v0_9	is_a	photoreceptor cell R8 of yellow ommatidium	FlyBase:FBrf0262545
102573	R7p_L (MaleCNS:102573)	male-cns_v0_9	is_a	photoreceptor cell R7 of pale ommatidium	FlyBase:FBrf0262545
102627895	R8p_L (MaleCNS:102627895)	male-cns_v0_9	is_a	photoreceptor cell R8 of pale ommatidium	FlyBase:FBrf0262545
102772245	R7y_L (MaleCNS:102772245)	male-cns_v0_9	is_a	photoreceptor cell R7 of yellow ommatidium	FlyBase:FBrf0262545
102892315	R7y_L (MaleCNS:102892315)	male-cns_v0_9	is_a	photoreceptor cell R7 of yellow ommatidium	FlyBase:FBrf0262545
10302	Li38_L (MaleCNS:10302)	male-cns_v0_9	is_a	adult lobula intrinsic neuron Li38	FlyBase:FBrf0262545
103357	R8d_R (MaleCNS:103357)	male-cns_v0_9	is_a	dorsal margin photoreceptor cell R8	FlyBase:FBrf0262545
103505	R7y_L (MaleCNS:103505)	male-cns_v0_9	is_a	photoreceptor cell R7 of yellow ommatidium	FlyBase:FBrf0262545
10351	Li33_R (MaleCNS:10351)	male-cns_v0_9	is_a	adult lobula intrinsic neuron Li33	FlyBase:FBrf0262545
10352	Li32_R (MaleCNS:10352)	male-cns_v0_9	is_a	adult lobula intrinsic neuron Li32	FlyBase:FBrf0262545
1035284341	R8p_L (MaleCNS:1035284341)	male-cns_v0_9	is_a	photoreceptor cell R8 of pale ommatidium	FlyBase:FBrf0262545
103892	R8y_R (MaleCNS:103892)	male-cns_v0_9	is_a	photoreceptor cell R8 of yellow ommatidium	FlyBase:FBrf0262545
104489	R7y_L (MaleCNS:104489)	male-cns_v0_9	is_a	photoreceptor cell R7 of yellow ommatidium	FlyBase:FBrf0262545
10466	Li31_L (MaleCNS:10466)	male-cns_v0_9	is_a	adult lobula intrinsic neuron Li31	FlyBase:FBrf0262545
104861	R8y_R (MaleCNS:104861)	male-cns_v0_9	is_a	photoreceptor cell R8 of yellow ommatidium	FlyBase:FBrf0262545
10518	Cm31b_R (MaleCNS:10518)	male-cns_v0_9	is_a	adult central medulla intrinsic neuron Cm31b	FlyBase:FBrf0262545
105391	R7d_R (MaleCNS:105391)	male-cns_v0_9	is_a	dorsal margin photoreceptor cell R7	FlyBase:FBrf0262545
105398229	R8p_L (MaleCNS:105398229)	male-cns_v0_9	is_a	photoreceptor cell R8 of pale ommatidium	FlyBase:FBrf0262545
105730	Cm18_L (MaleCNS:105730)	male-cns_v0_9	is_a	adult central medulla intrinsic neuron Cm18	
106383624	R8y_L (MaleCNS:106383624)	male-cns_v0_9	is_a	photoreceptor cell R8 of yellow ommatidium	FlyBase:FBrf0262545
106686	R8y_R (MaleCNS:106686)	male-cns_v0_9	is_a	photoreceptor cell R8 of yellow ommatidium	FlyBase:FBrf0262545
106955	Cm18_R (MaleCNS:106955)	male-cns_v0_9	is_a	adult central medulla intrinsic neuron Cm18	
107061	R7d_R (MaleCNS:107061)	male-cns_v0_9	is_a	dorsal margin photoreceptor cell R7	FlyBase:FBrf0262545
107093	Cm18_R (MaleCNS:107093)	male-cns_v0_9	is_a	adult central medulla intrinsic neuron Cm18	
107473	R7y_R (MaleCNS:107473)	male-cns_v0_9	is_a	photoreceptor cell R7 of yellow ommatidium	FlyBase:FBrf0262545
107589294	R8p_L (MaleCNS:107589294)	male-cns_v0_9	is_a	photoreceptor cell R8 of pale ommatidium	FlyBase:FBrf0262545
108053	R8d_R (MaleCNS:108053)	male-cns_v0_9	is_a	dorsal margin photoreceptor cell R8	FlyBase:FBrf0262545
10843	Cm31a_R (MaleCNS:10843)	male-cns_v0_9	is_a	adult central medulla intrinsic neuron Cm31a	FlyBase:FBrf0262545
108464	Cm18_R (MaleCNS:108464)	male-cns_v0_9	is_a	adult central medulla intrinsic neuron Cm18	
108471184	R8y_L (MaleCNS:108471184)	male-cns_v0_9	is_a	photoreceptor cell R8 of yellow ommatidium	FlyBase:FBrf0262545
10860	Cm31a_R (MaleCNS:10860)	male-cns_v0_9	is_a	adult central medulla intrinsic neuron Cm31a	FlyBase:FBrf0262545
108630	R8d_R (MaleCNS:108630)	male-cns_v0_9	is_a	dorsal margin photoreceptor cell R8	FlyBase:FBrf0262545
109362	R7d_R (MaleCNS:109362)	male-cns_v0_9	is_a	dorsal margin photoreceptor cell R7	FlyBase:FBrf0262545
