subject_id	object	relation	pub	subject_name	comment
VFB_jrmc233r	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LLPC3_R (MaleCNS:50738)	male-cns:v1.0 260624
VFB_jrmc278m	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LC17_R (MaleCNS:33353)	male-cns:v1.0 260624
VFB_jrmc27qv	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LC21_R (MaleCNS:48307)	male-cns:v1.0 260624
VFB_jrmc23tk	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LPLC2_L (MaleCNS:23247)	male-cns:v1.0 260624
VFB_jrmc1v4o	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	MeVP2_L (MaleCNS:153249)	male-cns:v1.0 260624
VFB_jrmc095c	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	TmY14_L (MaleCNS:18737)	male-cns:v1.0 260624
VFB_jrmc27kl	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LC18_R (MaleCNS:55671)	male-cns:v1.0 260624
VFB_jrmc25r1	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LC10b_L (MaleCNS:151357)	male-cns:v1.0 260624
VFB_jrmc206t	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LoVP89_R (MaleCNS:19827)	male-cns:v1.0 260624
VFB_jrmc1ure	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	MeTu4f_L (MaleCNS:544152)	male-cns:v1.0 260624
VFB_jrmc25um	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LC10c-1_L (MaleCNS:96069)	male-cns:v1.0 260624
VFB_jrmc28pt	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LC9_R (MaleCNS:33995)	male-cns:v1.0 260624
VFB_jrmc1u7l	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	MeTu2a_L (MaleCNS:79514)	male-cns:v1.0 260624
VFB_jrmc285g	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LC28_R (MaleCNS:37645)	male-cns:v1.0 260624
VFB_jrmc0299	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	aMe10_R (MaleCNS:30853)	male-cns:v1.0 260624
VFB_jrmc234o	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LLPC3_L (MaleCNS:72510)	male-cns:v1.0 260624
VFB_jrmc1u60	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	MeTu1_R (MaleCNS:59121)	male-cns:v1.0 260624
VFB_jrmc267y	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LC10e_L (MaleCNS:151677)	male-cns:v1.0 260624
VFB_jrmc22s8	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LLPC1_L (MaleCNS:82140)	male-cns:v1.0 260624
VFB_jrmc23hk	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LPC1_R (MaleCNS:43766)	male-cns:v1.0 260624
VFB_jrmc25q5	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LC10a_R (MaleCNS:23377)	male-cns:v1.0 260624
VFB_jrmc25k7	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LC10a_R (MaleCNS:33177)	male-cns:v1.0 260624
VFB_jrmc280s	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LC25_R (MaleCNS:46107)	male-cns:v1.0 260624
VFB_jrmc1ukx	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	MeTu4b_L (MaleCNS:89564)	male-cns:v1.0 260624
VFB_jrmc22p5	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LLPC1_L (MaleCNS:169101)	male-cns:v1.0 260624
VFB_jrmc1zxy	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LoVP24_L (MaleCNS:203007)	male-cns:v1.0 260624
VFB_jrmc25uz	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LC10c-1_R (MaleCNS:79251)	male-cns:v1.0 260624
VFB_jrmc203d	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LoVP61_R (MaleCNS:27554)	male-cns:v1.0 260624
VFB_jrmc28po	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LC9_R (MaleCNS:35744)	male-cns:v1.0 260624
VFB_jrmc26pk	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LC12_L (MaleCNS:580149)	male-cns:v1.0 260624
VFB_jrmc1u2r	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	MeTu1_R (MaleCNS:56062)	male-cns:v1.0 260624
