subject_external_id	subject_name	subject_external_db	relation	object	pub
124183	Mi9_L (MaleCNS:124183)	male-cns_v1_0	is_a	medulla intrinsic neuron Mi9	FlyBase:FBrf0262545
124185	WED044_L (MaleCNS:124185)	male-cns_v1_0	is_a	adult wedge neuron 044	
124186	T4c_L (MaleCNS:124186)	male-cns_v1_0	is_a	T4c neuron	FlyBase:FBrf0262545
124187	R1-R6_L (MaleCNS:124187)	male-cns_v1_0	is_a	outer photoreceptor cell	
124189	SApp09,SApp22_L (MaleCNS:124189)	male-cns_v1_0	is_a	adult ascending neuron	
124189	SApp09,SApp22_L (MaleCNS:124189)	male-cns_v1_0	is_a	sensory neuron of campaniform sensillum	
12419	CL140_R (MaleCNS:12419)	male-cns_v1_0	is_a	adult clamp neuron 140	
124192	T3_L (MaleCNS:124192)	male-cns_v1_0	is_a	T3 neuron	FlyBase:FBrf0262545
124193	Dm2_R (MaleCNS:124193)	male-cns_v1_0	is_a	distal medullary amacrine neuron Dm2	FlyBase:FBrf0262545
124194	Tm12_R (MaleCNS:124194)	male-cns_v1_0	is_a	transmedullary neuron Tm12	FlyBase:FBrf0262545
124195	TmY18_R (MaleCNS:124195)	male-cns_v1_0	is_a	transmedullary Y neuron TmY18	FlyBase:FBrf0262545
124197	Tm5a_R (MaleCNS:124197)	male-cns_v1_0	is_a	transmedullary neuron Tm5a	FlyBase:FBrf0262545
124198	T3_L (MaleCNS:124198)	male-cns_v1_0	is_a	T3 neuron	FlyBase:FBrf0262545
124199	Dm2_R (MaleCNS:124199)	male-cns_v1_0	is_a	distal medullary amacrine neuron Dm2	FlyBase:FBrf0262545
12420	CB2153_L (MaleCNS:12420)	male-cns_v1_0	is_a	adult CB2153 neuron	
124200	Dm3a_R (MaleCNS:124200)	male-cns_v1_0	is_a	distal medullary amacrine neuron Dm3a	FlyBase:FBrf0262545
124203	Tm12_R (MaleCNS:124203)	male-cns_v1_0	is_a	transmedullary neuron Tm12	FlyBase:FBrf0262545
124206	T3_R (MaleCNS:124206)	male-cns_v1_0	is_a	T3 neuron	FlyBase:FBrf0262545
124207	SMP215_R (MaleCNS:124207)	male-cns_v1_0	is_a	adult superior medial protocerebrum neuron 215	
124208	L3_L (MaleCNS:124208)	male-cns_v1_0	is_a	lamina monopolar neuron L3	FlyBase:FBrf0262545
124209	R1-R6_R (MaleCNS:124209)	male-cns_v1_0	is_a	outer photoreceptor cell	
12421	DNpe055(PS167)_L (MaleCNS:12421)	male-cns_v1_0	is_a	adult descending neuron of the posterior brain DNpe055	
124210	T3_R (MaleCNS:124210)	male-cns_v1_0	is_a	T3 neuron	FlyBase:FBrf0262545
124211	KCab-m_R (MaleCNS:124211)	male-cns_v1_0	is_a	alpha/beta Kenyon cell	
124212	Cm2_R (MaleCNS:124212)	male-cns_v1_0	is_a	adult central medulla intrinsic neuron Cm2	FlyBase:FBrf0262545
124215	L5_R (MaleCNS:124215)	male-cns_v1_0	is_a	lamina monopolar neuron L5	FlyBase:FBrf0262545
124216	Tm9_R (MaleCNS:124216)	male-cns_v1_0	is_a	transmedullary neuron Tm9	FlyBase:FBrf0262545
124217	Mi15_L (MaleCNS:124217)	male-cns_v1_0	is_a	medulla intrinsic neuron Mi15	FlyBase:FBrf0262545
124218	Lawf1_L (MaleCNS:124218)	male-cns_v1_0	is_a	lamina wide-field 1 neuron	FlyBase:FBrf0262545
124219	T4b_R (MaleCNS:124219)	male-cns_v1_0	is_a	T4b neuron	FlyBase:FBrf0262545
12422	DNge100_L (MaleCNS:12422)	male-cns_v1_0	is_a	descending neuron of the gnathal ganglion DNge100	
124220	T2_L (MaleCNS:124220)	male-cns_v1_0	is_a	T2 neuron	FlyBase:FBrf0262545
124222	AN06A026_L (MaleCNS:124222)	male-cns_v1_0	is_a	adult AN06A026 neuron	
124224	Dm3a_L (MaleCNS:124224)	male-cns_v1_0	is_a	distal medullary amacrine neuron Dm3a	FlyBase:FBrf0262545
124226	Dm3a_R (MaleCNS:124226)	male-cns_v1_0	is_a	distal medullary amacrine neuron Dm3a	FlyBase:FBrf0262545
124227	CB3498_R (MaleCNS:124227)	male-cns_v1_0	is_a	adult CB3498 neuron	
124228	T3_L (MaleCNS:124228)	male-cns_v1_0	is_a	T3 neuron	FlyBase:FBrf0262545
124229	TmY18_R (MaleCNS:124229)	male-cns_v1_0	is_a	transmedullary Y neuron TmY18	FlyBase:FBrf0262545
12423	AVLP536_R (MaleCNS:12423)	male-cns_v1_0	is_a	adult anterior ventrolateral protocerebrum neuron 536	FlyBase:FBrf0262545
124230	T5d_R (MaleCNS:124230)	male-cns_v1_0	is_a	T5d neuron	FlyBase:FBrf0262545
124231	T3_L (MaleCNS:124231)	male-cns_v1_0	is_a	T3 neuron	FlyBase:FBrf0262545
124232	T5b_R (MaleCNS:124232)	male-cns_v1_0	is_a	T5b neuron	FlyBase:FBrf0262545
124233	Tm5b_L (MaleCNS:124233)	male-cns_v1_0	is_a	transmedullary neuron Tm5b	FlyBase:FBrf0262545
124235	T4d_R (MaleCNS:124235)	male-cns_v1_0	is_a	T4d neuron	FlyBase:FBrf0262545
124237	T3_R (MaleCNS:124237)	male-cns_v1_0	is_a	T3 neuron	FlyBase:FBrf0262545
124238	T4c_R (MaleCNS:124238)	male-cns_v1_0	is_a	T4c neuron	FlyBase:FBrf0262545
124239	TmY18_L (MaleCNS:124239)	male-cns_v1_0	is_a	transmedullary Y neuron TmY18	FlyBase:FBrf0262545
12424	LC10a_L (MaleCNS:12424)	male-cns_v1_0	is_a	lobula columnar neuron LC10a	FlyBase:FBrf0262545
124240	T5a_L (MaleCNS:124240)	male-cns_v1_0	is_a	T5a neuron	FlyBase:FBrf0262545
124241	T4d_R (MaleCNS:124241)	male-cns_v1_0	is_a	T4d neuron	FlyBase:FBrf0262545
124242	KCg-m_R (MaleCNS:124242)	male-cns_v1_0	is_a	gamma main Kenyon cell	
124243	MeLo5_R (MaleCNS:124243)	male-cns_v1_0	is_a	adult medulla-lobula neuron MeLo5	FlyBase:FBrf0262545
124244	T4c_R (MaleCNS:124244)	male-cns_v1_0	is_a	T4c neuron	FlyBase:FBrf0262545
124245	Tm6_R (MaleCNS:124245)	male-cns_v1_0	is_a	transmedullary neuron Tm6	FlyBase:FBrf0262545
124247	Tm29_R (MaleCNS:124247)	male-cns_v1_0	is_a	transmedullary neuron Tm29	FlyBase:FBrf0262545
124249	T3_L (MaleCNS:124249)	male-cns_v1_0	is_a	T3 neuron	FlyBase:FBrf0262545
12425	vLN25_L (MaleCNS:12425)	male-cns_v1_0	is_a	adult antennal lobe local neuron vLN25	
124250	T5b_R (MaleCNS:124250)	male-cns_v1_0	is_a	T5b neuron	FlyBase:FBrf0262545
124252	T4b_L (MaleCNS:124252)	male-cns_v1_0	is_a	T4b neuron	FlyBase:FBrf0262545
124253	T4a_L (MaleCNS:124253)	male-cns_v1_0	is_a	T4a neuron	FlyBase:FBrf0262545
124254	T5c_R (MaleCNS:124254)	male-cns_v1_0	is_a	T5c neuron	FlyBase:FBrf0262545
124256	Tm3_L (MaleCNS:124256)	male-cns_v1_0	is_a	transmedullary neuron Tm3	FlyBase:FBrf0262545
124257	Dm3b_L (MaleCNS:124257)	male-cns_v1_0	is_a	distal medullary amacrine neuron Dm3b	FlyBase:FBrf0262545
124258	Tm5a_L (MaleCNS:124258)	male-cns_v1_0	is_a	transmedullary neuron Tm5a	FlyBase:FBrf0262545
124259	Dm2_L (MaleCNS:124259)	male-cns_v1_0	is_a	distal medullary amacrine neuron Dm2	FlyBase:FBrf0262545
12426	GNG385_R (MaleCNS:12426)	male-cns_v1_0	is_a	adult CB2700 neuron	
124260	Tm9_L (MaleCNS:124260)	male-cns_v1_0	is_a	transmedullary neuron Tm9	FlyBase:FBrf0262545
124262	C2_R (MaleCNS:124262)	male-cns_v1_0	is_a	centrifugal neuron C2	FlyBase:FBrf0262545
124264	CB1178_L (MaleCNS:124264)	male-cns_v1_0	is_a	adult CB1178 neuron	
124269	SLP375_L (MaleCNS:124269)	male-cns_v1_0	is_a	adult superior lateral protocerebrum neuron 375	
12427	PVLP069_L (MaleCNS:12427)	male-cns_v1_0	is_a	adult posterior ventrolateral protocerebrum neuron 069	
124270	Dm8a_L (MaleCNS:124270)	male-cns_v1_0	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
124271	Dm3c_R (MaleCNS:124271)	male-cns_v1_0	is_a	distal medullary amacrine neuron Dm3c	FlyBase:FBrf0262545
124272	CL120_L (MaleCNS:124272)	male-cns_v1_0	is_a	adult clamp neuron 120	
124275	T5a_R (MaleCNS:124275)	male-cns_v1_0	is_a	T5a neuron	FlyBase:FBrf0262545
124276	TmY4_R (MaleCNS:124276)	male-cns_v1_0	is_a	transmedullary Y neuron TmY4	FlyBase:FBrf0262545
124279	T5b_L (MaleCNS:124279)	male-cns_v1_0	is_a	T5b neuron	FlyBase:FBrf0262545
12428	MeVP9_R (MaleCNS:12428)	male-cns_v1_0	is_a	adult medulla tangential neuron e01b	
124280	T5a_L (MaleCNS:124280)	male-cns_v1_0	is_a	T5a neuron	FlyBase:FBrf0262545
124282	Tm20_R (MaleCNS:124282)	male-cns_v1_0	is_a	transmedullary neuron Tm20	FlyBase:FBrf0262545
1242820407	None (MaleCNS:1242820407)	male-cns_v1_0	is_a	adult SNta29 neuron	
124283	T4d_L (MaleCNS:124283)	male-cns_v1_0	is_a	T4d neuron	FlyBase:FBrf0262545
124284	T4b_R (MaleCNS:124284)	male-cns_v1_0	is_a	T4b neuron	FlyBase:FBrf0262545
124285	T4b_R (MaleCNS:124285)	male-cns_v1_0	is_a	T4b neuron	FlyBase:FBrf0262545
124289	T3_R (MaleCNS:124289)	male-cns_v1_0	is_a	T3 neuron	FlyBase:FBrf0262545
12429	LAL190_R (MaleCNS:12429)	male-cns_v1_0	is_a	adult lateral accessory lobe neuron 190	
124291	Tm5c_R (MaleCNS:124291)	male-cns_v1_0	is_a	transmedullary neuron Tm5c	FlyBase:FBrf0262545
124292	T5b_R (MaleCNS:124292)	male-cns_v1_0	is_a	T5b neuron	FlyBase:FBrf0262545
124293	Cm1_R (MaleCNS:124293)	male-cns_v1_0	is_a	adult central medulla intrinsic neuron Cm1	FlyBase:FBrf0262545
12430	SMP146_L (MaleCNS:12430)	male-cns_v1_0	is_a	adult superior medial protocerebrum neuron 146	
124300	T3_R (MaleCNS:124300)	male-cns_v1_0	is_a	T3 neuron	FlyBase:FBrf0262545
124302	Tm9_R (MaleCNS:124302)	male-cns_v1_0	is_a	transmedullary neuron Tm9	FlyBase:FBrf0262545
124307	SMP227_L (MaleCNS:124307)	male-cns_v1_0	is_a	adult superior medial protocerebrum neuron 227	
124308	T3_L (MaleCNS:124308)	male-cns_v1_0	is_a	T3 neuron	FlyBase:FBrf0262545
124309	T2a_L (MaleCNS:124309)	male-cns_v1_0	is_a	T2a neuron	FlyBase:FBrf0262545
12431	SMP577_L (MaleCNS:12431)	male-cns_v1_0	is_a	adult superior medial protocerebrum neuron 577	
124310	Tm33_R (MaleCNS:124310)	male-cns_v1_0	is_a	transmedullary neuron Tm33	FlyBase:FBrf0262545
124312	T5b_L (MaleCNS:124312)	male-cns_v1_0	is_a	T5b neuron	FlyBase:FBrf0262545
124313	PFNm_b_L9_C9 (MaleCNS:124313)	male-cns_v1_0	is_a	protocerebral bridge 1 glomerulus-fan-shaped body-nodulus 3 medial domain neuron	
124314	Dm10_L (MaleCNS:124314)	male-cns_v1_0	is_a	distal medullary amacrine neuron Dm10	FlyBase:FBrf0262545
124317	LC24_R (MaleCNS:124317)	male-cns_v1_0	is_a	lobula columnar neuron LC24	FlyBase:FBrf0262545
124318	T4d_R (MaleCNS:124318)	male-cns_v1_0	is_a	T4d neuron	FlyBase:FBrf0262545
12432	AVLP454_b4_R (MaleCNS:12432)	male-cns_v1_0	is_a	adult anterior ventrolateral protocerebrum neuron 454	
124321	CB2919_L (MaleCNS:124321)	male-cns_v1_0	is_a	adult CB2919 neuron	
124324	L5_R (MaleCNS:124324)	male-cns_v1_0	is_a	lamina monopolar neuron L5	FlyBase:FBrf0262545
124325	T4b_R (MaleCNS:124325)	male-cns_v1_0	is_a	T4b neuron	FlyBase:FBrf0262545
124326	Tm9_R (MaleCNS:124326)	male-cns_v1_0	is_a	transmedullary neuron Tm9	FlyBase:FBrf0262545
124327	Dm2_R (MaleCNS:124327)	male-cns_v1_0	is_a	distal medullary amacrine neuron Dm2	FlyBase:FBrf0262545
124329	Tm9_L (MaleCNS:124329)	male-cns_v1_0	is_a	transmedullary neuron Tm9	FlyBase:FBrf0262545
12433	VES097_R (MaleCNS:12433)	male-cns_v1_0	is_a	adult CB3547 neuron	
124330	T3_L (MaleCNS:124330)	male-cns_v1_0	is_a	T3 neuron	FlyBase:FBrf0262545
124332	T5d_R (MaleCNS:124332)	male-cns_v1_0	is_a	T5d neuron	FlyBase:FBrf0262545
124333	T5c_R (MaleCNS:124333)	male-cns_v1_0	is_a	T5c neuron	FlyBase:FBrf0262545
124334	T5c_R (MaleCNS:124334)	male-cns_v1_0	is_a	T5c neuron	FlyBase:FBrf0262545
124335	T4d_R (MaleCNS:124335)	male-cns_v1_0	is_a	T4d neuron	FlyBase:FBrf0262545
124337	Cm4_R (MaleCNS:124337)	male-cns_v1_0	is_a	adult central medulla intrinsic neuron Cm4	FlyBase:FBrf0262545
124338	T4d_R (MaleCNS:124338)	male-cns_v1_0	is_a	T4d neuron	FlyBase:FBrf0262545
124339	Tm6_R (MaleCNS:124339)	male-cns_v1_0	is_a	transmedullary neuron Tm6	FlyBase:FBrf0262545
12434	ICL013m_a_L (MaleCNS:12434)	male-cns_v1_0	is_a	adult fruitless aSP-b (male) neuron	doi:10.1101/2025.10.09.680999
124340	T3_L (MaleCNS:124340)	male-cns_v1_0	is_a	T3 neuron	FlyBase:FBrf0262545
124342	T5d_R (MaleCNS:124342)	male-cns_v1_0	is_a	T5d neuron	FlyBase:FBrf0262545
124345	T4d_R (MaleCNS:124345)	male-cns_v1_0	is_a	T4d neuron	FlyBase:FBrf0262545
124348	T3_R (MaleCNS:124348)	male-cns_v1_0	is_a	T3 neuron	FlyBase:FBrf0262545
12435	DNp67(CL139)_R (MaleCNS:12435)	male-cns_v1_0	is_a	descending neuron of the posterior brain DNp67	
124350	T5d_L (MaleCNS:124350)	male-cns_v1_0	is_a	T5d neuron	FlyBase:FBrf0262545
124353	Mi17_R (MaleCNS:124353)	male-cns_v1_0	is_a	adult medulla intrinsic neuron Mi17	FlyBase:FBrf0262545
124355	T3_R (MaleCNS:124355)	male-cns_v1_0	is_a	T3 neuron	FlyBase:FBrf0262545
124356	Mi2_R (MaleCNS:124356)	male-cns_v1_0	is_a	medulla intrinsic neuron Mi2	FlyBase:FBrf0262545
124357	T4d_R (MaleCNS:124357)	male-cns_v1_0	is_a	T4d neuron	FlyBase:FBrf0262545
124358	FB8D_R (MaleCNS:124358)	male-cns_v1_0	is_a	adult fan-shaped body layer 8 neuron of DPMpl2 lineage	FlyBase:FBrf0257023
12436	Dm19_R (MaleCNS:12436)	male-cns_v1_0	is_a	distal medullary amacrine neuron Dm19	FlyBase:FBrf0262545
124361	T5b_R (MaleCNS:124361)	male-cns_v1_0	is_a	T5b neuron	FlyBase:FBrf0262545
124362	T4c_R (MaleCNS:124362)	male-cns_v1_0	is_a	T4c neuron	FlyBase:FBrf0262545
124364	M_adPNm7_R (MaleCNS:124364)	male-cns_v1_0	is_a	adult multiglomerular antennal lobe projection neuron type 7 adPN	
124365	Mi2_L (MaleCNS:124365)	male-cns_v1_0	is_a	medulla intrinsic neuron Mi2	FlyBase:FBrf0262545
124367	T4d_R (MaleCNS:124367)	male-cns_v1_0	is_a	T4d neuron	FlyBase:FBrf0262545
124368	T4c_L (MaleCNS:124368)	male-cns_v1_0	is_a	T4c neuron	FlyBase:FBrf0262545
124369	TmY18_R (MaleCNS:124369)	male-cns_v1_0	is_a	transmedullary Y neuron TmY18	FlyBase:FBrf0262545
12437	LAL303m_L (MaleCNS:12437)	male-cns_v1_0	is_a	adult doublesex pC2m (male) neuron	doi:10.1101/2025.10.09.680999
124370	KCg-m_L (MaleCNS:124370)	male-cns_v1_0	is_a	gamma main Kenyon cell	
124373	T4b_R (MaleCNS:124373)	male-cns_v1_0	is_a	T4b neuron	FlyBase:FBrf0262545
124375	LHPD2c2_L (MaleCNS:124375)	male-cns_v1_0	is_a	adult CB3458 neuron	
124376	KCab-p_R (MaleCNS:124376)	male-cns_v1_0	is_a	alpha/beta posterior Kenyon cell	
124378	ORN_VM7d_L (MaleCNS:124378)	male-cns_v1_0	is_a	adult olfactory receptor neuron Or42a	
124379	L5_R (MaleCNS:124379)	male-cns_v1_0	is_a	lamina monopolar neuron L5	FlyBase:FBrf0262545
12438	ATL030_R (MaleCNS:12438)	male-cns_v1_0	is_a	adult antler neuron 030	
124382	T5b_R (MaleCNS:124382)	male-cns_v1_0	is_a	T5b neuron	FlyBase:FBrf0262545
