subject_external_id	subject_name	subject_external_db	relation	object	pub
1002939892	None (MaleCNS:1002939892)	male-cns_v1_0	is_a	adult sensory neuron	
100641	None (MaleCNS:100641)	male-cns_v1_0	is_a	adult interneuron	
100660	None (MaleCNS:100660)	male-cns_v1_0	is_a	adult interneuron	
1006889022	None (MaleCNS:1006889022)	male-cns_v1_0	is_a	adult sensory neuron	
100929	None (MaleCNS:100929)	male-cns_v1_0	is_a	adult interneuron	
101479	None (MaleCNS:101479)	male-cns_v1_0	is_a	adult gut-innervating neuron	
101508128	None (MaleCNS:101508128)	male-cns_v1_0	is_a	adult sensory neuron	
101559	None (MaleCNS:101559)	male-cns_v1_0	is_a	adult interneuron	
101696	None (MaleCNS:101696)	male-cns_v1_0	is_a	adult interneuron	
101752	None (MaleCNS:101752)	male-cns_v1_0	is_a	adult interneuron	
102282	None (MaleCNS:102282)	male-cns_v1_0	is_a	adult interneuron	
102452	None (MaleCNS:102452)	male-cns_v1_0	is_a	adult mechanosensory neuron	
102716	34148_L (MaleCNS:102716)	male-cns_v1_0	is_a	adult interneuron	
103420	None (MaleCNS:103420)	male-cns_v1_0	is_a	adult interneuron	
103626	None (MaleCNS:103626)	male-cns_v1_0	is_a	adult optic lobe intrinsic neuron	
103630	None (MaleCNS:103630)	male-cns_v1_0	is_a	adult interneuron	
103999	None (MaleCNS:103999)	male-cns_v1_0	is_a	adult interneuron	
104034	CB0394_L (MaleCNS:104034)	male-cns_v1_0	is_a	adult interneuron	
104287023	None (MaleCNS:104287023)	male-cns_v1_0	is_a	gustatory receptor neuron of the labellum	
104579	None (MaleCNS:104579)	male-cns_v1_0	is_a	adult optic lobe intrinsic neuron	
1050023730	None (MaleCNS:1050023730)	male-cns_v1_0	is_a	adult sensory neuron	
1050043684	None (MaleCNS:1050043684)	male-cns_v1_0	is_a	adult sensory neuron	
1050144632	None (MaleCNS:1050144632)	male-cns_v1_0	is_a	adult sensory neuron	
1050159131	None (MaleCNS:1050159131)	male-cns_v1_0	is_a	adult interneuron	
1050176959	None (MaleCNS:1050176959)	male-cns_v1_0	is_a	adult interneuron	
1050180219	None (MaleCNS:1050180219)	male-cns_v1_0	is_a	adult interneuron	
1050183683	None (MaleCNS:1050183683)	male-cns_v1_0	is_a	adult interneuron	
1050185372	None (MaleCNS:1050185372)	male-cns_v1_0	is_a	adult sensory neuron	
1050223647	None (MaleCNS:1050223647)	male-cns_v1_0	is_a	adult sensory neuron	
1050247852	None (MaleCNS:1050247852)	male-cns_v1_0	is_a	adult interneuron	
1050259217	None (MaleCNS:1050259217)	male-cns_v1_0	is_a	adult sensory neuron	
1050272154	None (MaleCNS:1050272154)	male-cns_v1_0	is_a	adult motor neuron	
1050340850	None (MaleCNS:1050340850)	male-cns_v1_0	is_a	adult motor neuron	
1050403721	None (MaleCNS:1050403721)	male-cns_v1_0	is_a	adult sensory neuron	
1050418996	None (MaleCNS:1050418996)	male-cns_v1_0	is_a	adult sensory neuron	
1050436817	None (MaleCNS:1050436817)	male-cns_v1_0	is_a	adult sensory neuron	
1050522236	None (MaleCNS:1050522236)	male-cns_v1_0	is_a	adult interneuron	
1050542828	None (MaleCNS:1050542828)	male-cns_v1_0	is_a	adult sensory neuron	
1050582514	None (MaleCNS:1050582514)	male-cns_v1_0	is_a	adult interneuron	
1050625756	None (MaleCNS:1050625756)	male-cns_v1_0	is_a	adult sensory neuron	
1050757799	None (MaleCNS:1050757799)	male-cns_v1_0	is_a	adult interneuron	
1050814137	None (MaleCNS:1050814137)	male-cns_v1_0	is_a	adult interneuron	
1050863713	None (MaleCNS:1050863713)	male-cns_v1_0	is_a	adult interneuron	
1050978284	None (MaleCNS:1050978284)	male-cns_v1_0	is_a	adult sensory neuron	
1051031960	None (MaleCNS:1051031960)	male-cns_v1_0	is_a	adult sensory neuron	
1051093204	None (MaleCNS:1051093204)	male-cns_v1_0	is_a	adult sensory neuron	
1051114092	None (MaleCNS:1051114092)	male-cns_v1_0	is_a	adult sensory neuron	
1051120033	None (MaleCNS:1051120033)	male-cns_v1_0	is_a	adult interneuron	
1051212766	None (MaleCNS:1051212766)	male-cns_v1_0	is_a	adult sensory neuron	
1051313706	None (MaleCNS:1051313706)	male-cns_v1_0	is_a	adult mechanosensory neuron	
1051466366	None (MaleCNS:1051466366)	male-cns_v1_0	is_a	adult interneuron	
1051643920	None (MaleCNS:1051643920)	male-cns_v1_0	is_a	adult mechanosensory neuron	
1051680335	None (MaleCNS:1051680335)	male-cns_v1_0	is_a	adult motor neuron	
1051755049	None (MaleCNS:1051755049)	male-cns_v1_0	is_a	adult sensory neuron	
1051757118	None (MaleCNS:1051757118)	male-cns_v1_0	is_a	adult interneuron	
1051777595	None (MaleCNS:1051777595)	male-cns_v1_0	is_a	adult sensory neuron	
1051890373	None (MaleCNS:1051890373)	male-cns_v1_0	is_a	adult mechanosensory neuron	
1051898535	None (MaleCNS:1051898535)	male-cns_v1_0	is_a	adult sensory neuron	
1051941276	None (MaleCNS:1051941276)	male-cns_v1_0	is_a	adult interneuron	
1051956076	None (MaleCNS:1051956076)	male-cns_v1_0	is_a	adult sensory neuron	
1051956979	None (MaleCNS:1051956979)	male-cns_v1_0	is_a	adult sensory neuron	
1052000579	None (MaleCNS:1052000579)	male-cns_v1_0	is_a	adult sensory neuron	
1052034618	None (MaleCNS:1052034618)	male-cns_v1_0	is_a	adult interneuron	
