subject_external_id	subject_name	subject_external_db	relation	object	pub
720575940599797164	FlyWire:720575940599797164	flywire783	is_a	distal medullary amacrine neuron Dm3c	FlyBase:FBrf0262545
720575940600322965	FlyWire:720575940600322965	flywire783	is_a	lamina monopolar neuron L2	
720575940600623020	FlyWire:720575940600623020	flywire783	is_a	distal medullary amacrine neuron Dm3b	FlyBase:FBrf0262545
720575940600722348	FlyWire:720575940600722348	flywire783	is_a	adult central medulla intrinsic neuron Cm2	FlyBase:FBrf0262545
720575940601423625	FlyWire:720575940601423625	flywire783	is_a	adult transmedullary Y neuron TmY17	FlyBase:FBrf0262545
720575940601653513	FlyWire:720575940601653513	flywire783	is_a	distal medullary amacrine neuron Dm3b	FlyBase:FBrf0262545
720575940602483424	FlyWire:720575940602483424	flywire783	is_a	adult lobula columnar neuron LC31b	FlyBase:FBrf0262545
720575940602619249	FlyWire:720575940602619249	flywire783	is_a	distal medullary amacrine neuron Dm3a	FlyBase:FBrf0262545
720575940602815200	FlyWire:720575940602815200	flywire783	is_a	alpha/beta Kenyon cell	
720575940602864300	FlyWire:720575940602864300	flywire783	is_a	descending neuron of the posterior brain	
720575940603084972	FlyWire:720575940603084972	flywire783	is_a	alpha/beta Kenyon cell	
720575940603176049	FlyWire:720575940603176049	flywire783	is_a	distal medullary amacrine neuron Dm3a	FlyBase:FBrf0262545
720575940603366112	FlyWire:720575940603366112	flywire783	is_a	distal medullary amacrine neuron Dm8b	
720575940603372460	FlyWire:720575940603372460	flywire783	is_a	adult medulla-tubercle neuron 1	
720575940603408608	FlyWire:720575940603408608	flywire783	is_a	distal medullary amacrine neuron Dm3c	FlyBase:FBrf0262545
720575940603409632	FlyWire:720575940603409632	flywire783	is_a	protocerebral bridge 1 glomerulus-fan-shaped body-nodulus 3 medial domain neuron	
720575940603457760	FlyWire:720575940603457760	flywire783	is_a	adult lobula intrinsic neuron Li27	FlyBase:FBrf0262545
720575940603497184	FlyWire:720575940603497184	flywire783	is_a	medulla tangential intrinsic neuron 1	FlyBase:FBrf0262545
720575940603533246	FlyWire:720575940603533246	flywire783	is_a	unpaired neuron	
720575940603549868	FlyWire:720575940603549868	flywire783	is_a	fan-shaped body extrinsic columnar neuron	
720575940603596972	FlyWire:720575940603596972	flywire783	is_a	adult lobula columnar neuron LC44	
720575940603618494	FlyWire:720575940603618494	flywire783	is_a	adult medulla-tubercle neuron 3	
720575940603642982	FlyWire:720575940603642982	flywire783	is_a	alpha/beta Kenyon cell	
720575940603673120	FlyWire:720575940603673120	flywire783	is_a	alpha/beta Kenyon cell	
720575940603674656	FlyWire:720575940603674656	flywire783	is_a	alpha/beta Kenyon cell	
720575940603688224	FlyWire:720575940603688224	flywire783	is_a	alpha/beta Kenyon cell	
720575940603721248	FlyWire:720575940603721248	flywire783	is_a	alpha/beta Kenyon cell	
720575940603765280	FlyWire:720575940603765280	flywire783	is_a	adult insulin secreting cell of pars intercerebralis	
720575940603795116	FlyWire:720575940603795116	flywire783	is_a	translobula plate neuron Tlp5	
720575940603839753	FlyWire:720575940603839753	flywire783	is_a	Y neuron Y12	
720575940603859372	FlyWire:720575940603859372	flywire783	is_a	distal medullary amacrine neuron Dm3c	FlyBase:FBrf0262545
720575940603873452	FlyWire:720575940603873452	flywire783	is_a	distal medullary amacrine neuron Dm3b	FlyBase:FBrf0262545
720575940603896748	FlyWire:720575940603896748	flywire783	is_a	adult transmedullary Y neuron TmY17	FlyBase:FBrf0262545
720575940603932640	FlyWire:720575940603932640	flywire783	is_a	adult lobula intrinsic neuron Li22	FlyBase:FBrf0262545
720575940603942846	FlyWire:720575940603942846	flywire783	is_a	protocerebral bridge 1 glomerulus-fan-shaped body-nodulus 3 medial domain neuron	
720575940603942944	FlyWire:720575940603942944	flywire783	is_a	protocerebral bridge 1 glomerulus-fan-shaped body-nodulus 3 medial domain neuron	
720575940603948716	FlyWire:720575940603948716	flywire783	is_a	adult transmedullary Y neuron TmY21	FlyBase:FBrf0262545
720575940603948832	FlyWire:720575940603948832	flywire783	is_a	transmedullary Y neuron TmY13	FlyBase:FBrf0262545
720575940603975392	FlyWire:720575940603975392	flywire783	is_a	adult lobula columnar neuron LC28	
720575940603979488	FlyWire:720575940603979488	flywire783	is_a	adult lobula columnar neuron LC41	
720575940603984486	FlyWire:720575940603984486	flywire783	is_a	alpha/beta Kenyon cell	
720575940603988838	FlyWire:720575940603988838	flywire783	is_a	alpha/beta Kenyon cell	
720575940604007392	FlyWire:720575940604007392	flywire783	is_a	medulla columnar neuron MC64	
720575940604012134	FlyWire:720575940604012134	flywire783	is_a	transmedullary Y neuron TmY13	FlyBase:FBrf0262545
720575940604023980	FlyWire:720575940604023980	flywire783	is_a	accessory medulla neuron aMe5	
720575940604024934	FlyWire:720575940604024934	flywire783	is_a	adult transmedullary Y neuron TmY17	FlyBase:FBrf0262545
720575940604033708	FlyWire:720575940604033708	flywire783	is_a	fan-shaped body extrinsic columnar neuron	
720575940604065470	FlyWire:720575940604065470	flywire783	is_a	fan-shaped body columnar neuron	
720575940604096614	FlyWire:720575940604096614	flywire783	is_a	lobula columnar neuron LC24	
720575940604125105	FlyWire:720575940604125105	flywire783	is_a	fan-shaped body columnar neuron	
720575940604125886	FlyWire:720575940604125886	flywire783	is_a	fan-shaped body extrinsic columnar neuron	
720575940604157361	FlyWire:720575940604157361	flywire783	is_a	protocerebral bridge 1 glomerulus-fan-shaped body-nodulus 3 medial domain neuron	
720575940604195360	FlyWire:720575940604195360	flywire783	is_a	fan-shaped body extrinsic columnar neuron	
720575940604201830	FlyWire:720575940604201830	flywire783	is_a	unpaired neuron	
720575940604265440	FlyWire:720575940604265440	flywire783	is_a	distal medullary amacrine neuron Dm3c	FlyBase:FBrf0262545
720575940604284128	FlyWire:720575940604284128	flywire783	is_a	descending neuron of the posterior brain	
720575940604304742	FlyWire:720575940604304742	flywire783	is_a	adult medulla-tubercle neuron 3	
720575940604318129	FlyWire:720575940604318129	flywire783	is_a	alpha/beta Kenyon cell	
720575940604345632	FlyWire:720575940604345632	flywire783	is_a	adult medulla-tubercle neuron of dorsal rim area	
720575940604383008	FlyWire:720575940604383008	flywire783	is_a	small central-projecting DN3 neuron	
720575940604403628	FlyWire:720575940604403628	flywire783	is_a	adult antennal lobe projection neuron VP5 l2PN	
720575940604414636	FlyWire:720575940604414636	flywire783	is_a	adult antennal lobe projection neuron VP5 l2PN	
720575940604425696	FlyWire:720575940604425696	flywire783	is_a	Y neuron Y11	
720575940604435814	FlyWire:720575940604435814	flywire783	is_a	distal medullary amacrine neuron Dm3a	FlyBase:FBrf0262545
720575940604480870	FlyWire:720575940604480870	flywire783	is_a	adult central medulla intrinsic neuron Cm15	FlyBase:FBrf0262545
720575940604481760	FlyWire:720575940604481760	flywire783	is_a	adult fan-shaped body layer 4 tangential neuron	
720575940604485222	FlyWire:720575940604485222	flywire783	is_a	adult central medulla intrinsic neuron Cm2	FlyBase:FBrf0262545
720575940604487456	FlyWire:720575940604487456	flywire783	is_a	T3 neuron	
720575940604488672	FlyWire:720575940604488672	flywire783	is_a	small central-projecting DN3 neuron	
720575940604498208	FlyWire:720575940604498208	flywire783	is_a	protocerebral bridge 1 glomerulus-fan-shaped body-nodulus 3 medial domain neuron	
720575940604500448	FlyWire:720575940604500448	flywire783	is_a	alpha/beta Kenyon cell	
720575940604509374	FlyWire:720575940604509374	flywire783	is_a	alpha/beta Kenyon cell	
720575940604516710	FlyWire:720575940604516710	flywire783	is_a	adult central medulla intrinsic neuron Cm10	FlyBase:FBrf0262545
720575940604518944	FlyWire:720575940604518944	flywire783	is_a	protocerebral bridge 1 glomerulus-fan-shaped body-nodulus 3 medial domain neuron	
720575940604527038	FlyWire:720575940604527038	flywire783	is_a	adult transmedullary Y neuron TmY21	FlyBase:FBrf0262545
720575940604553504	FlyWire:720575940604553504	flywire783	is_a	adult transmedullary Y neuron TmY19a	FlyBase:FBrf0262545
720575940604561766	FlyWire:720575940604561766	flywire783	is_a	protocerebral bridge 1 glomerulus-fan-shaped body-nodulus 3 medial domain neuron	
720575940604576689	FlyWire:720575940604576689	flywire783	is_a	alpha/beta Kenyon cell	
720575940604578732	FlyWire:720575940604578732	flywire783	is_a	adult transmedullary Y neuron TmY17	FlyBase:FBrf0262545
720575940604579500	FlyWire:720575940604579500	flywire783	is_a	adult transmedullary Y neuron TmY17	FlyBase:FBrf0262545
720575940604585760	FlyWire:720575940604585760	flywire783	is_a	transmedullary Y neuron TmY13	FlyBase:FBrf0262545
720575940604614060	FlyWire:720575940604614060	flywire783	is_a	distal medullary amacrine neuron Dm3b	FlyBase:FBrf0262545
720575940604620512	FlyWire:720575940604620512	flywire783	is_a	alpha/beta Kenyon cell	
720575940604624049	FlyWire:720575940604624049	flywire783	is_a	adult medulla intrinsic neuron Mi17	FlyBase:FBrf0262545
720575940604626912	FlyWire:720575940604626912	flywire783	is_a	alpha/beta Kenyon cell	
720575940604632753	FlyWire:720575940604632753	flywire783	is_a	distal medullary amacrine neuron Dm3c	FlyBase:FBrf0262545
720575940604659424	FlyWire:720575940604659424	flywire783	is_a	distal medullary amacrine neuron Dm3b	FlyBase:FBrf0262545
720575940604660401	FlyWire:720575940604660401	flywire783	is_a	distal medullary amacrine neuron Dm16	
720575940604665009	FlyWire:720575940604665009	flywire783	is_a	distal medullary amacrine neuron Dm3a	FlyBase:FBrf0262545
720575940604667825	FlyWire:720575940604667825	flywire783	is_a	protocerebral bridge 1 glomerulus-fan-shaped body-nodulus 3 medial domain neuron	
720575940604678880	FlyWire:720575940604678880	flywire783	is_a	distal medullary amacrine neuron Dm8b	
720575940604720096	FlyWire:720575940604720096	flywire783	is_a	medulla intrinsic neuron Mi2	
720575940604747744	FlyWire:720575940604747744	flywire783	is_a	transmedullary neuron Tm33	FlyBase:FBrf0262545
720575940604781158	FlyWire:720575940604781158	flywire783	is_a	zone F Johnston organ neuron	
720575940604786889	FlyWire:720575940604786889	flywire783	is_a	protocerebral bridge 1 glomerulus-fan-shaped body-nodulus 3 medial domain neuron	
720575940604799409	FlyWire:720575940604799409	flywire783	is_a	adult transmedullary Y neuron TmY17	FlyBase:FBrf0262545
720575940604805297	FlyWire:720575940604805297	flywire783	is_a	distal medullary amacrine neuron Dm3a	FlyBase:FBrf0262545
720575940604806345	FlyWire:720575940604806345	flywire783	is_a	alpha/beta Kenyon cell	
720575940604812768	FlyWire:720575940604812768	flywire783	is_a	lobula plate intrinsic neuron LPi4a	FlyBase:FBrf0262545
720575940604813233	FlyWire:720575940604813233	flywire783	is_a	translobula plate neuron Tlp14	
720575940604813280	FlyWire:720575940604813280	flywire783	is_a	adult central medulla intrinsic neuron Cm1	FlyBase:FBrf0262545
720575940604833196	FlyWire:720575940604833196	flywire783	is_a	alpha/beta Kenyon cell	
720575940604847392	FlyWire:720575940604847392	flywire783	is_a	fan-shaped body extrinsic columnar neuron	
720575940604877024	FlyWire:720575940604877024	flywire783	is_a	adult medulla-lobula neuron MeLo7	FlyBase:FBrf0262545
720575940604885792	FlyWire:720575940604885792	flywire783	is_a	adult medulla-tubercle neuron 1	
720575940604894432	FlyWire:720575940604894432	flywire783	is_a	adult central medulla intrinsic neuron Cm6	FlyBase:FBrf0262545
720575940604896684	FlyWire:720575940604896684	flywire783	is_a	adult transmedullary Y neuron TmY17	FlyBase:FBrf0262545
720575940604924606	FlyWire:720575940604924606	flywire783	is_a	alpha/beta Kenyon cell	
720575940604933344	FlyWire:720575940604933344	flywire783	is_a	adult lobula tangential neuron LT55	
720575940604934502	FlyWire:720575940604934502	flywire783	is_a	adult Ms cell of pars intercerebralis	
