subject_id	subject_name	DataSet	relation	object	Curator
VFB_001011gr	MB2ON-75 (L1EM:10339991)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ja	MB2ON-102 (L1EM:16089738)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011h8	CN-4 (L1EM:11464638)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011hu	MB2IN-213 (L1EM:12962772)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ib	CN-40 (L1EM:13988443)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011fs	MB2ON-136 (L1EM:8132513)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011j2	MB2ON-82 (L1EM:15662776)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ex	MB2ON-80 (L1EM:4721087)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011js	MB2ON-64 (L1EM:16913476)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011hm	MB2IN-211 (L1EM:12598741)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011iu	MB2ON-248 (L1EM:15468308)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ea	FB-41 (L1EM:3855754)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011h4	CN-3 (L1EM:11137808)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011fn	CN-17 (L1EM:8034919)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011i9	LHN-5 (L1EM:13986477)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011f2	MB2ON-170 (L1EM:5186443)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011fd	MB2ON-57 (L1EM:6298455)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011fl	MB2ON-59 (L1EM:7700444)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011k0	MB2ON-4 (L1EM:17140424)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011g5	MB2ON-58 (L1EM:8993049)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011k6	CN-41 (L1EM:17276867)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011eo	MB2IN-200 (L1EM:4391317)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011gc	CN-23 (L1EM:9212816)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011kn	MB2ON-231 (L1EM:18648531)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011gv	MB2ON-37 (L1EM:10581624)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011fk	CN-56 (L1EM:7612147)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011j1	MB2ON-247 (L1EM:15618614)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011gi	LHN-6 (L1EM:9447255)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011h0	MB2ON-48 (L1EM:10880408)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011gs	CN-28 (L1EM:10411574)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011gk	MB2ON-148 (L1EM:9709983)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011jn	CN-46 (L1EM:16486385)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011hn	MB2ON-17 (L1EM:12789813)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011jr	MB2ON-59 (L1EM:16910799)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ff	MB2ON-140 (L1EM:6609380)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011i2	MB2ON-114 (L1EM:13718916)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011k2	CN-42 (L1EM:17176911)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011hb	CN-24 (L1EM:11600886)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011j3	MB2ON-114 (L1EM:15673454)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ig	MB2ON-86 (L1EM:14214039)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011gz	CN-26 (L1EM:10875625)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011hs	MB2ON-42 (L1EM:12869029)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ep	MB2ON-80 (L1EM:4408362)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011er	MB2ON-78 (L1EM:4409374)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011fe	LHN-1 (L1EM:6494274)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011kq	MB2ON-232 (L1EM:19786464)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011g9	MB2ON-86 (L1EM:9057998)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ki	MB2ON-73 (L1EM:17813457)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011jl	MB2ON-35 (L1EM:16445338)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011hf	MB2ON-130 (L1EM:11841664)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011h2	MB2ON-134 (L1EM:10964258)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011hl	CN-39 (L1EM:12587013)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011f1	MB2ON-28 (L1EM:5169587)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011e7	MB2ON-61 (L1EM:2650887)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011g4	MB2ON-31 (L1EM:8974428)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011f3	MB2ON-69 (L1EM:5326407)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ih	CN-57 (L1EM:14319185)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011jm	MB2ON-3 (L1EM:16464284)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011hk	CN-50 (L1EM:12498338)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ha	MB2ON-239 (L1EM:11468088)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011iq	CN-34 (L1EM:14617508)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ft	MB2ON-3 (L1EM:8184598)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011if	CN-16 (L1EM:14206030)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011j4	MB2IN-211 (L1EM:15706875)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011is	MB2ON-76 (L1EM:14891367)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ix	MB2ON-83 (L1EM:15568333)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011hr	CN-35 (L1EM:12868041)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011j7	MB2ON-82 (L1EM:15974183)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ip	MB2IN-213 (L1EM:14539753)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011hz	MB2ON-139 (L1EM:13661736)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011kg	CN-49 (L1EM:17671219)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011gm	MB2ON-137 (L1EM:9870483)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011fb	MB2ON-135 (L1EM:6153877)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011j5	MB2ON-113 (L1EM:15736398)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011e8	MB2ON-144 (L1EM:3027876)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011g7	MB2ON-254 (L1EM:9015568)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ia	LHN-1 (L1EM:13986583)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011jp	MB2ON-234 (L1EM:16753901)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011im	MB2ON-247 (L1EM:14342744)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011hi	CN-17 (L1EM:12299621)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011es	CN-22 (L1EM:4411542)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011fr	CN-53 (L1EM:8069478)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011gd	CN-23 (L1EM:9236708)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011hd	CN-52 (L1EM:11703922)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011gf	CN-6 (L1EM:9409359)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011fg	CN-41 (L1EM:6611100)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ge	MB2ON-31 (L1EM:9294475)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011hy	MB2ON-37 (L1EM:13564607)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ir	CN-34 (L1EM:14680483)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011h7	FB-24 (L1EM:11409587)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011eh	MB2ON-68 (L1EM:4227880)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011eb	CN-6 (L1EM:3913620)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011k9	MB2ON-94 (L1EM:17340931)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011jy	MB2ON-73 (L1EM:17083341)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011e9	LHN-8 (L1EM:3814853)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011f0	FB-41 (L1EM:5103177)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011kk	MB2ON-58 (L1EM:17867309)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011h3	CN-53 (L1EM:11004239)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011i0	MB2ON-231 (L1EM:13665529)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ie	MB2ON-16 (L1EM:14073503)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ik	CN-45 (L1EM:14333495)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011k1	MB2ON-156 (L1EM:17165286)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011f4	CN-51 (L1EM:5453333)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011f8	MB2ON-6 (L1EM:5783868)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ju	MB2ON-141 (L1EM:16950121)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011hq	MB2ON-92 (L1EM:12866697)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011eq	MB2ON-71 (L1EM:4408369)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011hg	MB2ON-34 (L1EM:11908619)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011k8	MB2ON-248 (L1EM:17330632)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ec	CN-50 (L1EM:3913629)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011eu	MB2ON-70 (L1EM:4515496)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011fa	CN-8 (L1EM:5874480)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ht	MB2ON-234 (L1EM:12935696)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011il	MB2ON-79 (L1EM:14334367)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011km	MB2ON-79 (L1EM:18500988)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011it	CN-18 (L1EM:14948339)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011kl	CN-20 (L1EM:18062678)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011gq	MB2ON-147 (L1EM:10322164)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011id	CN-22 (L1EM:14071613)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011jh	MB2ON-139 (L1EM:16356717)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011jt	MB2ON-140 (L1EM:16950115)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011e4	MB2ON-135 (L1EM:1678567)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011i7	MB2ON-42 (L1EM:13953356)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011g0	CN-57 (L1EM:8565131)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011fh	MB2ON-24 (L1EM:7053966)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011fj	MB2IN-201 (L1EM:7065182)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011g3	MB2ON-116 (L1EM:8912726)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011jw	MB2ON-240 (L1EM:17053386)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011fo	CN-2 (L1EM:8037197)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ko	MB2ON-233 (L1EM:19156025)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011g1	LH-23 (L1EM:8711574)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011jd	LHN-6 (L1EM:16295025)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011iv	MB2ON-116 (L1EM:15524629)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011gh	MB2ON-138 (L1EM:9428865)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011kd	MB2ON-244 (L1EM:17438424)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011el	MB2ON-233 (L1EM:4274518)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ev	CN-42 (L1EM:4575178)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011jb	LH-23 (L1EM:16100461)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011f5	CN-5 (L1EM:5474852)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011em	CN-55 (L1EM:4311586)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011g2	LHN-3 (L1EM:8847957)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011gx	MB2ON-61 (L1EM:10758204)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011jz	CN-54 (L1EM:17125520)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011jq	MB2ON-71 (L1EM:16758011)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011je	CN-35 (L1EM:16339645)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ek	MB2ON-78 (L1EM:4234559)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011jj	MB2ON-125 (L1EM:16415910)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ed	CN-26 (L1EM:4067286)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011j9	CN-1 (L1EM:16070049)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011i3	MB2ON-62 (L1EM:13764822)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011k3	CN-30 (L1EM:17176927)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011jg	MB2ON-240 (L1EM:16355642)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ew	CN-49 (L1EM:4665186)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011kb	MB2ON-75 (L1EM:17373283)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ey	MB2ON-63 (L1EM:4721538)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011hw	MB2ON-154 (L1EM:13175136)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011io	LHN-5 (L1EM:14514597)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011h5	CN-46 (L1EM:11178891)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011fy	CN-40 (L1EM:8539175)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ka	MB2ON-134 (L1EM:17357979)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011k4	MB2ON-68 (L1EM:17177419)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011iy	MB2IN-193 (L1EM:15590555)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011gu	MB2IN-192 (L1EM:10543751)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011gw	CN-16 (L1EM:10702736)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011fx	CN-3 (L1EM:8423405)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ef	MB2ON-24 (L1EM:4214582)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011hh	CN-15 (L1EM:12138418)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011jc	CN-52 (L1EM:16181377)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011hc	MB2ON-150 (L1EM:11642944)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011gt	LHN-7 (L1EM:10495502)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011kh	MB2ON-53 (L1EM:17813006)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011fc	MB2ON-57 (L1EM:6193472)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011h1	MB2ON-67 (L1EM:10918898)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011fz	CN-58 (L1EM:8542422)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011h9	MB2ON-92 (L1EM:11465297)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011i5	MB2ON-60 (L1EM:13836327)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011jf	MB2ON-35 (L1EM:16350988)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011f9	MB2ON-130 (L1EM:5856647)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ga	MB2ON-60 (L1EM:9061235)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011hp	LHN-7 (L1EM:12840470)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011kc	CN-28 (L1EM:17379420)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011kj	CN-2 (L1EM:17822238)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011gj	MB2ON-102 (L1EM:9641919)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011i6	CN-45 (L1EM:13858797)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011k5	CN-18 (L1EM:17237305)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ii	MB2ON-137 (L1EM:14328512)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011gl	MB2ON-4 (L1EM:9753530)	Eschbach2020b	part_of	larval nervous system	cp390
VFB_001011ej	MB2ON-28 (L1EM:4228119)	Eschbach2020b	part_of	larval nervous system	cp390
