subject_id	subject_name	DataSet	relation	object	Curator
VFB_00100558	5thLN;left (L1EM:7952981)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100583	anlagen cell_right (L1EM:8470256)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100189	Vision PN 1 (L1EM:8111135)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100531	Rh5PR-6;right (L1EM:7778722)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100551	Rh6PR-7;left (L1EM:2215247)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100532	Rh6PR-3;right (L1EM:902038)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100541	LN1;right (L1EM:7874184)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100529	Rh6PR-1;right (L1EM:900032)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100584	MB2ON-186 (L1EM:9539868)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100535	Rh5PR-4;right (L1EM:2552701)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100587	pOLP;left (L1EM:9940382)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100536	Rh6PR-8;right (L1EM:946481)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100567	anlagen cell_left (L1EM:7940800)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100540	anlagen cell_right (L1EM:1816102)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100568	nc2;right (L1EM:8270683)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100559	LONI;left (L1EM:7694589)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100526	Rh5PR-1;right (L1EM:766246)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100582	anlagen cell_left (L1EM:8449478)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100553	Rh6PR-8;left (L1EM:2215622)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100560	LN2;right (L1EM:2512602)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100562	ChalOLP;right (L1EM:8247641)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100548	Rh5PR-4;left (L1EM:2209091)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100571	anlagen cell_left (L1EM:8358800)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100552	Rh6PR-4;left (L1EM:2215447)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100547	anlagen cell_left (L1EM:2208920)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100591	ChalOLP;left (L1EM:17414715)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100527	pOLP;right (L1EM:8124177)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100554	Rh6PR-6;left (L1EM:2216131)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100539	LN3;right (L1EM:2775943)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100579	anlagen cell_left (L1EM:8448796)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100561	LONI;right (L1EM:8271034)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100533	Rh6PR-5;right (L1EM:2544902)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100546	Rh6PR-3;left (L1EM:2206279)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100549	Rh5PR-3;left (L1EM:7483922)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100577	anlagen cell_left (L1EM:8448477)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100572	anlagen cell-older_left (L1EM:8361378)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100542	5thLN;right (L1EM:8717219)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100590	Rh6PR-9;right (L1EM:16267292)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100575	anlagen cell_left (L1EM:8448457)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100564	OLP4;right (L1EM:8480418)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100528	Rh5PR-3;right (L1EM:7485368)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100522	Rh6PR-9;left (L1EM:37365)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100574	anlagen cell_right (L1EM:8432028)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100588	Rh6PR-5;left (L1EM:10241716)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100534	Rh6PR-10;right (L1EM:8447845)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100538	Rh6PR-6;right (L1EM:2532841)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100566	nc2;left (L1EM:8340950)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100586	LN1;left (L1EM:9927082)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100524	Rh6PR-4;right (L1EM:1856512)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100543	Rh6PR-2;left (L1EM:2200028)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100544	Rh5PR-1;left (L1EM:7480731)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100545	LN2;left (L1EM:2204467)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100530	Rh6PR-2;right (L1EM:7555204)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100565	LN4;right (L1EM:2775707)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100580	anlagen cell_left (L1EM:8448809)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100537	Rh6PR-7;right (L1EM:7566199)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100576	anlagen cell_left (L1EM:8448464)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100581	anlagen cell_left (L1EM:8449457)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100563	GlulOLP;right (L1EM:7897051)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100569	anlagen cell_left (L1EM:8337623)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100557	GlulOLP;left (L1EM:8700125)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100523	Rh5PR-5;right (L1EM:7568455)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100188	Vision PN 1 (L1EM:7555968)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100555	Rh5PR-2;left (L1EM:2216187)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100573	anlagen cell_left (L1EM:8362221)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100578	anlagen cell_left (L1EM:8448568)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100570	anlagen cell_left (L1EM:8353473)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100585	MB2ON-186 (L1EM:9567051)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100550	LN3;left (L1EM:8118929)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100556	Rh6PR-1;left (L1EM:2216445)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100589	LN4;left (L1EM:16087799)	Larderet2017	part_of	larval nervous system	cp390
VFB_00100525	Rh5PR-2;right (L1EM:902877)	Larderet2017	part_of	larval nervous system	cp390
