subject_id	subject_name	DataSet	relation	object	Curator
VFB_00100869	AF4: TOH right; Large Spider Neuron right (L1EM:13429045)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00100767	hugin-PC right 1 (L1EM:3315001)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00100784	DH44 2 left (L1EM:4400767)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101800	AN-R-Sens-B2-ACp-08 (L1EM:15409328)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00102084	SEZ-IN-03-left (L1EM:18371412)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00100796	T1l Ascending into PC_left (L1EM:5378683)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00100199	Thermo PN 3 (L1EM:3991518)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101836	AN-R-Sens-B2-ACp-16 (L1EM:15573331)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101858	MN-R-Sens-B2-ACpl-01 (Awesome MN sensory 2) (L1EM:15595950)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101763	AN-R-Sens-B3-ACp-09 (gustatory pheromone neuron) (L1EM:9853425)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00100258	MBON-n1 (L1EM:6703240)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00100077	Multiglomerular PN 7 (L1EM:4119387)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101682	FFN-4 (L1EM:3945232)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101970	MN-L-Sens-B3-VM-05 (L1EM:15730645)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101962	MN-L-Sens-B3-AVp-01 (L1EM:15724385)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101625	BC: presynaptic -medial - paired with #3801211 (L1EM:2147157)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101702	AN-L-Sens-B3-VM-11 (L1EM:5057916)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00100189	Vision PN 1 (L1EM:8111135)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101877	MN-R-Sens-B2-VM-20 (L1EM:15618756)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101878	MN-R-Sens-B2-VM-12 (L1EM:15618976)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00102010	AN-L-Sens-B2-ACp-06 (L1EM:15997983)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00102050	neuron 17267283 (L1EM:17267282)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101868	MN-R-Sens-B2-VM-19 (L1EM:15612241)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101885	MN-R-Sens-B3-VM-06 (L1EM:15638520)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00102101	MB2IN-204 (L1EM:19816278)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00102093	MN-L-Sens-B2-ACp-17 (L1EM:18934019)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101918	MN-L-Sens-B2-VM-21 (L1EM:15678833)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101586	Interneuron--35 in total (strong to MN motor neurons) (L1EM:768233)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101911	MN-L-Sens-B2-ACpl-03 (L1EM:15673925)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00100840	hugin-PC left 3 (L1EM:9805520)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101863	MN-R-Sens-B2-?-00 (L1EM:15609427)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00100134	13a PN (L1EM:8244823)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101813	AN-R-Sens-B2-ACp-03 (L1EM:15531033)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101809	AN-R-Sens-B2-ACp-01 (L1EM:15508735)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00100739	MB2IN-199 (L1EM:2369444)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00100865	IPC 3 left (L1EM:12634154)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101989	AN-L-Sens-B1-AVa-39 (L1EM:15983156)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101637	MB2ON-150 (L1EM:2426397)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00100260	Gustatory PN 3 (L1EM:7020344)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101971	MN-L-Sens-B2-VM-20 (L1EM:15730680)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101828	AN-R-Sens-B1-AVa-29 (L1EM:15564661)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00100839	hugin-PC left 2 (L1EM:9796597)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101893	MN-R-Sens-B3-AVp-02 (L1EM:15640548)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101664	SEZ-X-left (L1EM:3477008)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00100353	MBON-e1 (L1EM:7840791)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00100359	V1: possible PVL005 - 3 Right (L1EM:2921933)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101871	MN-R-Sens-B2-VM-11 (L1EM:15615305)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101792	ASB Ascending left 14273874  (L1EM:14273873)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101992	AN-L-Sens-B1-AVa-23 (L1EM:15984797)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00100170	33a PN (L1EM:13589251)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00100082	85c PN (L1EM:4354933)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00100119	35a PN (L1EM:7935088)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101823	MN-R-Sens-B2-ACp-11 (L1EM:15556081)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101687	AN-R-Sens-B3-ACal-07 (upstream of Multig. Olfactory PN 3) right (L1EM:3966683)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101951	MN-L-Sens-B2-ACp-03 (L1EM:15716309)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101897	MN-R-Sens-B3-ACp-01 (L1EM:15641926)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00101814	AN-R-Sens-B2-ACp-04 (L1EM:15531916)	Miroschnikow2018	part_of	larval nervous system	cp390
VFB_00102085	SEZ-IN-18-left (L1EM:18403155)	Miroschnikow2018	part_of	larval nervous system	cp390
