subject_id	subject_name	DataSet	relation	object	Curator
VFB_00100992	md class IV? t1r (L1EM:18181776)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100986	T07u_t2r (L1EM:14472972)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100687	gorogoro t2l (L1EM:3720037)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100980	goro-like t1r (L1EM:6724973)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100972	A02o_a1l Wave-1 (L1EM:918889)	Takagi2017	part_of	larval nervous system	cp390
VFB_00102235	MN30 RP4_a1r (L1EM:14087107)	Takagi2017	part_of	larval nervous system	cp390
VFB_00102262	MN6/7 RP3_a2l (L1EM:16264802)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100995	ddac t2r (L1EM:18303100)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100988	Pre-swallowtail1 right (L1EM:16100981)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100999	Pre-swallowtail1 left (L1EM:18695579)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100975	T19v_t1r (L1EM:1931981)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100973	putative MD III/IV_T1r (L1EM:360668)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100996	md class IV? t1l (L1EM:18339058)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100990	goro-like t1l (L1EM:16418094)	Takagi2017	part_of	larval nervous system	cp390
VFB_00102104	MN6/7 RP3_a2r (L1EM:4791651)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100983	MN2? ISN MN (U3?-MN2- NB7-1?)_a2r (L1EM:13875211)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100981	swallowtail_t2r (L1EM:8342582)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100989	md class IV? t1l (L1EM:16306343)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100998	Pre-goro6 left (L1EM:18694051)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100984	MN30 RP4_a2r (L1EM:13880943)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100985	MN ISN MN_a2l (U4/U5) (L1EM:13885023)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100978	putative md III/IV_t1l (L1EM:3952743)	Takagi2017	part_of	larval nervous system	cp390
VFB_00102106	A03a5_a1l (L1EM:5904833)	Takagi2017	part_of	larval nervous system	cp390
VFB_00102239	MN30 RP4_a1l (L1EM:14194234)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100979	putative md class III/IV_t2l (L1EM:4514711)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100974	Pre-goro6 right (L1EM:360861)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100994	md class IV? t1r (L1EM:18202032)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100982	MN30 RP4_a2l (L1EM:13874213)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100993	swallowtail t2l (L1EM:18189977)	Takagi2017	part_of	larval nervous system	cp390
VFB_00102240	MN13 ISN MN-VL2_a1r (L1EM:14194703)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100977	MN1 aCC_a3r (L1EM:3942269)	Takagi2017	part_of	larval nervous system	cp390
VFB_00102111	MN13 ISN MN-VL2_a1l  (L1EM:19111930)	Takagi2017	part_of	larval nervous system	cp390
VFB_00102105	A03a5_a1r (L1EM:5297998)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100657	gorogoro t2r (L1EM:5206247)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100987	T07u_t2l (L1EM:15892037)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100991	T19v_t1l (L1EM:16605707)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100997	A02o_a1r Wave-1 (L1EM:18684928)	Takagi2017	part_of	larval nervous system	cp390
VFB_00100976	MN1 aCC_a3l (L1EM:3931434)	Takagi2017	part_of	larval nervous system	cp390
