subject_external_id	subject_name	object	pub	comment	subject_external_db	relation
358424052	FB8G	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
885607728	FB8G	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
5813010809	FB8G	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
296851261	FB8G	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
358259842	FB8G	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
421357275	FB8G	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
916629686	FB8I	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
296838079	FB8I	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
916288689	FB8I	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
296855409	FB8I	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
204613133	FB8E	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
235985275	FB8E	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
296160764	FB8E	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
296880800	FB8E	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
295820085	FB8E	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
5813009284	FB1B	fan-shaped neuron F1	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1168387674	FB1B	fan-shaped neuron F1	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
358251878	FB1B	fan-shaped neuron F1	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
296514350	FB1B	fan-shaped neuron F1	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
948342190	FB8A	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
265120677	FB8A	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
295136778	FB8A	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
980391580	FB8A	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
5813016553	FB8A	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
203598499	FB8H	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
948346519	FB8H	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
885940052	FB8H	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
885599043	FB8H	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
885940095	FB8H	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
295820069	FB8H	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
886635309	FB9A	fan-shaped neuron F9	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
885602804	FB9A	fan-shaped neuron F9	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
5813127091	FB9A	fan-shaped neuron F9	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
295133452	FB9A	fan-shaped neuron F9	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
296143798	FB9A	fan-shaped neuron F9	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
885943925	FB9A	fan-shaped neuron F9	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
