subject_id	subject_name	object	relation	pub	comment
VFB_00102288	AB(L) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_00102288	AB(L) on JRC_FlyEM_Hemibrain	left side of organism	part_of	FlyBase:FBrf0246888	
VFB_00101399	AB(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_00101399	AB(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_00101484	AL(L) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_00101484	AL(L) on JRC_FlyEM_Hemibrain	left side of organism	part_of	FlyBase:FBrf0246888	
VFB_00101449	AL(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_00101449	AL(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011aw	AL-D(L) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011aw	AL-D(L) on JRC_FlyEM_Hemibrain	left side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011ax	AL-D(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011ax	AL-D(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011ay	AL-DA1(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011ay	AL-DA1(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011az	AL-DA2(L) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011az	AL-DA2(L) on JRC_FlyEM_Hemibrain	left side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011b0	AL-DA2(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011b0	AL-DA2(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011b1	AL-DA3(L) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011b1	AL-DA3(L) on JRC_FlyEM_Hemibrain	left side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011b2	AL-DA3(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011b2	AL-DA3(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011b3	AL-DA4l(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011b3	AL-DA4l(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
