filename	label	AD	DBD	part_of	Template
20x-Brain-2216619385777291362	JRC_LH2033_Brain_2019_20151120_52_H2	P{VT043152-p65.AD}	P{VT027015-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2219289889357168677	JRC_LH2087_Brain_2019_20151204_52_F1	P{VT006486-p65.AD}	P{VT060731-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2219289891043278885	JRC_LH2220_Brain_2019_20151204_52_F4	P{VT041887-p65.AD}	P{VT060077-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2219289892200906789	JRC_LH2170_Brain_2019_20151204_52_G2	P{VT002834-p65.AD}	P{VT008659-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2227892495910436962	JRC_LH2094_Brain_2019_20151204_52_G6	P{VT006486-p65.AD}	P{VT008489-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2199647569083105354	JRC_LH567_Brain_2019_20151016_52_C2	P{R22B12-p65.AD}	P{R94F11-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2199647564557451338	JRC_LH304_Brain_2019_20151016_52_A6	P{R65H10-p65.AD}	P{R46E11-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2383780443980824674	JRC_LH1129_Brain_2019_20170308_31_D2	P{R14B11-p65.AD}	P{R44G08-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2227892498221498466	JRC_LH2382_Brain_2019_20151218_52_D5	P{VT006202-p65.AD}	P{VT008671-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2227892499601424482	JRC_LH2392_Brain_2019_20151218_52_E3	P{R34E09-p65.AD}	P{VT023823-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2227892500972961890	JRC_LH2385_Brain_2019_20151218_52_F2	P{R70G05-p65.AD}	P{VT008683-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2227892501916680290	JRC_LH2387_Brain_2019_20151218_52_G4	P{R44G08-p65.AD}	P{VT016266-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2216619385336889442	JRC_LH2001_Brain_2019_20151120_52_G5	P{VT022244-p65.AD}	P{VT014480-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2229158715838169162	JRC_LH2201_Brain_2019_20151211_52_B2	P{VT058720-p65.AD}	P{VT041887-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2229158719428493386	JRC_LH2088_Brain_2019_20151211_52_D5	P{VT060731-p65.AD}	P{VT006486-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2229158722104459338	JRC_LH1959_Brain_2019_20151211_52_G3	P{R58F03-p65.AD}	P{R30A10-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2229158722528084042	JRC_LH2047_Brain_2019_20151211_52_H3	P{R58F03-p65.AD}	P{R85A07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2368600402321997922	JRC_LH1354_Brain_2019_20170131_32_F3	P{R49B08-p65.AD}	P{R53D01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2328247140893065361	JRC_LH1591_Brain_2019_20160930_42_G6	P{R27C09-p65.AD}	P{R76G09-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2214518375437041701	JRC_LH1827_Brain_2019_20151106_51_D4	P{R30A10-p65.AD}	P{R95F09-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2185901045320777826	JRC_LH563_Brain_2019_20150904_52_G3	P{R16C09-p65.AD}	P{R94F11-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2229158718082121802	JRC_LH2193_Brain_2019_20151211_52_C3	P{VT060077-p65.AD}	P{VT029317-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2216619384883904610	JRC_LH2185_Brain_2019_20151120_52_G4	P{R64B08-p65.AD}	P{VT029317-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
