filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-1844663997576511586	JRC_LH2454_Brain_20130117_32_A1_20x	P{ple-p65.AD}	P{R42H01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB583B|GMR_MB583B|JRC_MB583B	FlyLightSplit:LH2454|FlyLightSplitSlideCode:20130117_32_A1|jrc_slide_code_api:20130117_32_A1|neuronbridge:LH2454	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130117_32_A1', age: 'Day 6-10'
20x-Brain-1846510915235610722	JRC_LH2456_Brain_20130115_31_A2_20x	P{R38D01-p65.AD}	P{R77F05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB036B|GMR_MB036B|JRC_MB036B	FlyLightSplit:LH2456|FlyLightSplitSlideCode:20130115_31_A2|jrc_slide_code_api:20130115_31_A2|neuronbridge:LH2456	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130115_31_A2', age: 'Day 6-10'
20x-Brain-1846510915399188578	JRC_LH2456_Brain_20130115_31_A3_20x	P{R38D01-p65.AD}	P{R77F05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB036B|GMR_MB036B|JRC_MB036B	FlyLightSplit:LH2456|FlyLightSplitSlideCode:20130115_31_A3|jrc_slide_code_api:20130115_31_A3|neuronbridge:LH2456	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130115_31_A3', age: 'Day 6-10'
20x-Brain-1846510915520823394	JRC_LH2456_Brain_20130115_31_A4_20x	P{R38D01-p65.AD}	P{R77F05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB036B|GMR_MB036B|JRC_MB036B	FlyLightSplit:LH2456|FlyLightSplitSlideCode:20130115_31_A4|jrc_slide_code_api:20130115_31_A4|neuronbridge:LH2456	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130115_31_A4', age: 'Day 6-10'
20x-Brain-1846510915634069602	JRC_LH2456_Brain_20130115_31_A5_20x	P{R38D01-p65.AD}	P{R77F05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB036B|GMR_MB036B|JRC_MB036B	FlyLightSplit:LH2456|FlyLightSplitSlideCode:20130115_31_A5|jrc_slide_code_api:20130115_31_A5|neuronbridge:LH2456	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130115_31_A5', age: 'Day 6-10'
20x-Brain-1846510862639038562	JRC_LH2454_Brain_20121208_31_F2_20x	P{ple-p65.AD}	P{R42H01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB583B|GMR_MB583B|JRC_MB583B	FlyLightSplit:LH2454|FlyLightSplitSlideCode:20121208_31_F2|jrc_slide_code_api:20121208_31_F2|neuronbridge:LH2454	tile(s): 'brain', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121208_31_F2', age: 'Day 6-10'
20x-Brain-1846510862802616418	JRC_LH2454_Brain_20121208_31_F3_20x	P{ple-p65.AD}	P{R42H01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB583B|GMR_MB583B|JRC_MB583B	FlyLightSplit:LH2454|FlyLightSplitSlideCode:20121208_31_F3|jrc_slide_code_api:20121208_31_F3|neuronbridge:LH2454	tile(s): 'brain', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121208_31_F3', age: 'Day 6-10'
20x-Brain-1846510862987165794	JRC_LH2454_Brain_20121208_31_F4_20x	P{ple-p65.AD}	P{R42H01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB583B|GMR_MB583B|JRC_MB583B	FlyLightSplit:LH2454|FlyLightSplitSlideCode:20121208_31_F4|jrc_slide_code_api:20121208_31_F4|neuronbridge:LH2454	tile(s): 'brain', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121208_31_F4', age: 'Day 6-10'
20x-Brain-1846510863096217698	JRC_LH2454_Brain_20121208_31_F5_20x	P{ple-p65.AD}	P{R42H01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB583B|GMR_MB583B|JRC_MB583B	FlyLightSplit:LH2454|FlyLightSplitSlideCode:20121208_31_F5|jrc_slide_code_api:20121208_31_F5|neuronbridge:LH2454	tile(s): 'brain', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121208_31_F5', age: 'Day 6-10'
20x-Brain-1865026860522405986	JRC_LH2452_Brain_20130124_31_D1_20x	PBac{Ddc-p65.AD}	P{R83H01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS00637|GMR_SS00637|JRC_SS00637	FlyLightSplit:LH2452|FlyLightSplitSlideCode:20130124_31_D1|jrc_slide_code_api:20130124_31_D1|neuronbridge:LH2452	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130124_31_D1', age: 'Day 6-10'
