filename	label	AD	DBD	part_of	Template
20x-Brain-2030820113376084066	JRC_SS00729_Brain_2018_20140624_33_A4	P{R58G11-p65.AD}	P{R81D05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2102558461924474887	JRC_SS02384_Brain_2018_20141216_32_C3	P{VT047755-p65.AD}	P{R47D05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2102558430869848071	JRC_SS02379_Brain_2018_20141216_32_B1	P{VT025392-p65.AD}	P{R15E12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2102558427623456775	JRC_SS02324_Brain_2018_20141216_32_A4	P{R42B02-p65.AD}	P{VT042734-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2095298059960320098	JRC_SS02316_Brain_2018_20141216_31_J1	P{R14H09-p65.AD}	P{VT032228-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2095298052075028578	JRC_SS02299_Brain_2018_20141216_31_I1	P{R10A12-p65.AD}	P{VT004455-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2095298049088684130	JRC_SS02292_Brain_2018_20141216_31_H3	P{VT017411-p65.AD}	P{VT017647-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2095298039542448226	JRC_SS02285_Brain_2018_20141216_31_G2	P{VT059450-p65.AD}	P{VT043626-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2095298020760354914	JRC_SS02383_Brain_2018_20141216_31_E3	P{VT013121-p65.AD}	P{R45H03-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2095298013671981154	JRC_SS02382_Brain_2018_20141216_31_D4	P{R91C05-p65.AD}	P{R37G07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2095298005501476962	JRC_SS02377_Brain_2018_20141216_31_C3	P{VT043400-p65.AD}	P{VT043662-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2095297995594530914	JRC_SS02370_Brain_2018_20141216_31_B2	P{R55D12-p65.AD}	P{R72H04-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2089932696833753186	JRC_SS02259_Brain_2018_20141209_31_H2	P{VT027166-p65.AD}	P{VT009857-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2089932688864575586	JRC_SS02256_Brain_2018_20141209_31_G2	P{VT019018-p65.AD}	P{VT017411-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2089932681981722722	JRC_SS02111_Brain_2018_20141209_31_F1	P{VT059225-p65.AD}	P{VT057283-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2089932664076238946	JRC_SS00934_Brain_2018_20141209_31_C2	P{VT032898-p65.AD}	P{VT048835-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2089932656136421474	JRC_SS00898_Brain_2018_20141209_31_B2	P{VT020033-p65.AD}	P{VT014208-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2089932647634567266	JRC_SS00865_Brain_2018_20141209_31_A2	P{VT019060-p65.AD}	P{VT003280-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2091814377769402466	JRC_SS02257_Brain_2018_20141209_32_H3	P{R10A07-p65.AD}	P{VT057470-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2091814369858945122	JRC_SS02310_Brain_2018_20141209_32_G4	P{VT047755-p65.AD}	P{VT025718-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2091814357695463522	JRC_SS02279_Brain_2018_20141209_32_E4	P{VT020033-p65.AD}	P{VT008483-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2091814345024471138	JRC_SS02278_Brain_2018_20141209_32_D1	P{VT049363-p65.AD}	P{VT059225-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2091814342205898850	JRC_SS02276_Brain_2018_20141209_32_C4	P{VT029814-p65.AD}	P{VT047755-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2091814324812120162	JRC_SS02275_Brain_2018_20141209_32_B4	P{VT047747-p65.AD}	P{VT037825-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2057703226098057314	JRC_SS01608_Brain_2018_20140819_31_C4	P{R94E01-p65.AD}	P{VT031084-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2054710630597787746	JRC_SS01581_Brain_2018_20140815_31_H3	P{VT008142-p65.AD}	P{VT046808-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2054710624545407074	JRC_SS01580_Brain_2018_20140815_31_G1	P{VT031084-p65.AD}	P{R48E11-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2054710608992927842	JRC_SS01575_Brain_2018_20140815_31_D1	P{VT001615-p65.AD}	P{VT026017-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2054710600126169186	JRC_SS01593_Brain_2018_20140815_31_B1	P{R27E07-p65.AD}	P{R20F03-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2054710597290819682	JRC_SS01571_Brain_2018_20140815_31_A3	P{VT028606-p65.AD}	P{VT008675-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
