filename	label	AD	DBD	part_of	Template	synonyms	comment
20x-Brain-2030820113376084066	JRC_SS00729_Brain_2018_20140624_33_A4_20x	P{R58G11-p65.AD}	P{R81D05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS00729|GMR_SS00729|JRC_SS00729	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140624_33_A4', age: 'Day 1-5'
20x-Brain-2030820115250937954	JRC_SS00730_Brain_2018_20140624_33_B1_20x	P{R75C10-p65.AD}	P{R87D07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS00730|GMR_SS00730|JRC_SS00730	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140624_33_B1', age: 'Day 1-5'
20x-Brain-2030820125132718178	JRC_SS00731_Brain_2018_20140624_33_C2_20x	P{R22C05-p65.AD}	P{R56G08-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS00731|GMR_SS00731|JRC_SS00731	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140624_33_C2', age: 'Day 1-5'
20x-Brain-2030820131721969762	JRC_SS00732_Brain_2018_20140624_33_D2_20x	P{R14F03-p65.AD}	P{R24C07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS00732|GMR_SS00732|JRC_SS00732	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140624_33_D2', age: 'Day 1-5'
20x-Brain-2025678411631951970	JRC_SS01057_Brain_2018_20140623_32_A3_20x	P{R20C05-p65.AD}	P{R85H06-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01057|GMR_SS01057|JRC_SS01057	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140623_32_A3', age: 'Day 1-5'
20x-Brain-2026743742282596450	JRC_SS01059_Brain_2018_20140623_32_C2_20x	P{R21F01-p65.AD}	P{R22D06-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01059|GMR_SS01059|JRC_SS01059	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140623_32_C2', age: 'Day 1-5'
20x-Brain-2247799262408605770	JRC_SS01060_Brain_2018_20140623_32_D1_20x	P{R21F05-p65.AD}	P{R21H11-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01060|GMR_SS01060|JRC_SS01060	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140623_32_D1', age: 'Day 1-5'
20x-Brain-2026743795286016098	JRC_SS01078_Brain_2018_20140623_34_A2_20x	P{R69C11-p65.AD}	P{R81D05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01078|GMR_SS01078|JRC_SS01078	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140623_34_A2', age: 'Day 1-5'
20x-Brain-2026743756111216738	JRC_SS01061_Brain_2018_20140623_32_E1_20x	P{R22H02-p65.AD}	P{R20F03-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01061|GMR_SS01061|JRC_SS01061	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140623_32_E1', age: 'Day 1-5'
20x-Brain-2026743814697255010	JRC_SS01077_Brain_2018_20140623_34_B4_20x	P{R61A01-p65.AD}	P{VT057280-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01077|GMR_SS01077|JRC_SS01077	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140623_34_B4', age: 'Day 1-5'
