filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-2335996431887761553	JRC_SS23204_Brain_20161102_32_C1_20x	P{R13F04-p65.AD}	P{R13B05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS23204|JRC_SS23204	FlyLightSplit:SS23204|FlyLightSplitSlideCode:20161102_32_C1|jrc_slide_code_api:20161102_32_C1|neuronbridge:SS23204	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20161102_32_C1', age: 'Day 1-5'
20x-Brain-2335996434265931921	JRC_SS23204_Brain_20161102_32_C3_20x	P{R13F04-p65.AD}	P{R13B05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS23204|JRC_SS23204	FlyLightSplit:SS23204|FlyLightSplitSlideCode:20161102_32_C3|jrc_slide_code_api:20161102_32_C3|neuronbridge:SS23204	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20161102_32_C3', age: 'Day 1-5'
20x-Brain-2335996441190727825	JRC_SS23206_Brain_20161102_32_D1_20x	P{R28F06-p65.AD}	P{R13B05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS23206|JRC_SS23206	FlyLightSplit:SS23206|FlyLightSplitSlideCode:20161102_32_D1|jrc_slide_code_api:20161102_32_D1|neuronbridge:SS23206	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20161102_32_D1', age: 'Day 1-5'
20x-Brain-2335996442558070929	JRC_SS23206_Brain_20161102_32_D2_20x	P{R28F06-p65.AD}	P{R13B05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS23206|JRC_SS23206	FlyLightSplit:SS23206|FlyLightSplitSlideCode:20161102_32_D2|jrc_slide_code_api:20161102_32_D2|neuronbridge:SS23206	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20161102_32_D2', age: 'Day 1-5'
20x-Brain-2335996447608012945	JRC_SS23208_Brain_20161102_32_E1_20x	P{R40F04-p65.AD}	P{R13B05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS23208|JRC_SS23208	FlyLightSplit:SS23208|FlyLightSplitSlideCode:20161102_32_E1|jrc_slide_code_api:20161102_32_E1|neuronbridge:SS23208	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20161102_32_E1', age: 'Day 1-5'
20x-Brain-2335996449835188369	JRC_SS23208_Brain_20161102_32_E3_20x	P{R40F04-p65.AD}	P{R13B05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS23208|JRC_SS23208	FlyLightSplit:SS23208|FlyLightSplitSlideCode:20161102_32_E3|jrc_slide_code_api:20161102_32_E3|neuronbridge:SS23208	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20161102_32_E3', age: 'Day 1-5'
20x-Brain-2352292206502477922	JRC_SS30756_Brain_20161220_31_I1_20x	P{R15C12-p65.AD}	P{R64B11-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS30756|JRC_SS30756	FlyLightSplit:SS30756|FlyLightSplitSlideCode:20161220_31_I1|jrc_slide_code_api:20161220_31_I1|neuronbridge:SS30756	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20161220_31_I1', age: 'Day 1-5'
20x-Brain-2352292206624112738	JRC_SS30756_Brain_20161220_31_I2_20x	P{R15C12-p65.AD}	P{R64B11-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS30756|JRC_SS30756	FlyLightSplit:SS30756|FlyLightSplitSlideCode:20161220_31_I2|jrc_slide_code_api:20161220_31_I2|neuronbridge:SS30756	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20161220_31_I2', age: 'Day 1-5'
20x-Brain-2352292206749941858	JRC_SS30756_Brain_20161220_31_I3_20x	P{R15C12-p65.AD}	P{R64B11-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS30756|JRC_SS30756	FlyLightSplit:SS30756|FlyLightSplitSlideCode:20161220_31_I3|jrc_slide_code_api:20161220_31_I3|neuronbridge:SS30756	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20161220_31_I3', age: 'Day 1-5'
20x-Brain-2356965206719987810	JRC_SS30777_Brain_20161220_32_C1_20x	P{R70D06-p65.AD}	P{R64B11-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS30777|JRC_SS30777	FlyLightSplit:SS30777|FlyLightSplitSlideCode:20161220_32_C1|jrc_slide_code_api:20161220_32_C1|neuronbridge:SS30777	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20161220_32_C1', age: 'Day 1-5'
