filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-2462802838548381794	JRC_SS27416_Brain_20171018_31_G2_20x	P{R73B05-p65.AD}	P{R42H01-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS27416|JRC_SS27416	FlyLightSplit:SS27416|FlyLightSplitSlideCode:20171018_31_G2|jrc_slide_code_api:20171018_31_G2|neuronbridge:SS27416	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20171018_31_G2', age: 'Day 1-5'
20x-Brain-2508127502094827618	JRC_SS46243_Brain_20180202_43_E6_20x	P{VT006480-p65.AD}	P{R24A02-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS46243|JRC_SS46243	FlyLightSplit:SS46243|FlyLightSplitSlideCode:20180202_43_E6|jrc_slide_code_api:20180202_43_E6|neuronbridge:SS46243	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180202_43_E6', age: 'Day 1-5'
20x-Brain-2508130510144798818	JRC_SS46300_Brain_20180202_43_D4_20x	P{VT043146-p65.AD}	P{VT000254-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS46300|JRC_SS46300	FlyLightSplit:SS46300|FlyLightSplitSlideCode:20180202_43_D4|jrc_slide_code_api:20180202_43_D4|neuronbridge:SS46300	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180202_43_D4', age: 'Day 1-5'
20x-Brain-2508130510614560866	JRC_SS46233_Brain_20180202_43_E5_20x	P{VT029814-p65.AD}	P{VT028464-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS46233|JRC_SS46233	FlyLightSplit:SS46233|FlyLightSplitSlideCode:20180202_43_E5|jrc_slide_code_api:20180202_43_E5|neuronbridge:SS46233	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180202_43_E5', age: 'Day 1-5'
20x-Brain-2524668804710006882	JRC_SS47863_Brain_20180330_43_A4_20x	P{R15D08-p65.AD}	P{R72E10-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS47863|JRC_SS47863	FlyLightSplit:SS47863|FlyLightSplitSlideCode:20180330_43_A4|jrc_slide_code_api:20180330_43_A4|neuronbridge:SS47863	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180330_43_A4', age: 'Day 1-5'
20x-Brain-2524668806085738594	JRC_SS46730_Brain_20180330_43_C2_20x	P{VT037566-p65.AD}	P{VT008808-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS46730|JRC_SS46730	FlyLightSplit:SS46730|FlyLightSplitSlideCode:20180330_43_C2|jrc_slide_code_api:20180330_43_C2|neuronbridge:SS46730	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180330_43_C2', age: 'Day 1-5'
20x-Brain-2529860378897154146	JRC_SS46258_Brain_20180406_44_A3_20x	P{R31H09-p65.AD}	P{VT020829-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS46258|JRC_SS46258	FlyLightSplit:SS46258|FlyLightSplitSlideCode:20180406_44_A3|jrc_slide_code_api:20180406_44_A3|neuronbridge:SS46258	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180406_44_A3', age: 'Day 1-5'
20x-Brain-2544333311619104866	JRC_SS46229_Brain_20180525_46_D2_20x	P{VT033616-p65.AD}	P{VT008473-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS46229|JRC_SS46229	FlyLightSplit:SS46229|FlyLightSplitSlideCode:20180525_46_D2|jrc_slide_code_api:20180525_46_D2|neuronbridge:SS46229	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180525_46_D2', age: 'Day 1-5'
20x-Brain-2544340423493550178	JRC_SS44255_Brain_20180525_46_G6_20x	P{VT065322-p65.AD}	P{R92A10-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS44255|JRC_SS44255	FlyLightSplit:SS44255|FlyLightSplitSlideCode:20180525_46_G6|jrc_slide_code_api:20180525_46_G6|neuronbridge:SS44255	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180525_46_G6', age: 'Day 1-5'
20x-Brain-2544340423686488162	JRC_SS44254_Brain_20180525_46_H2_20x	P{VT065322-p65.AD}	P{VT019902-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS44254|JRC_SS44254	FlyLightSplit:SS44254|FlyLightSplitSlideCode:20180525_46_H2|jrc_slide_code_api:20180525_46_H2|neuronbridge:SS44254	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180525_46_H2', age: 'Day 1-5'
