filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-1966381620227211362	JRC_SS01015_Brain_20131220_31_C3_20x	P{R21B12-p65.AD}	P{R20E07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01015|GMR_SS01015|JRC_SS01015	FlyLightRaw:SS01015|FlyLightRawSlideCode:20131220_31_C3|jrc_slide_code_api:20131220_31_C3	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131220_31_C3', age: 'Day 1-5'
20x-Brain-2142826625773863010	JRC_SS02978_Brain_20150512_32_I4_20x	P{R42E06-p65.AD}	P{VT064564-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS02978|GMR_SS02978|JRC_SS02978	FlyLightRaw:SS02978|FlyLightRawSlideCode:20150512_32_I4|jrc_slide_code_api:20150512_32_I4	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20150512_32_I4', age: 'Day 1-5'
20x-Brain-2326913579820777617	JRC_SS28175_Brain_20161011_31_H3_20x	P{R51E06-p65.AD}	P{R15D05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS28175|JRC_SS28175	FlyLightRaw:SS28175|FlyLightRawSlideCode:20161011_31_H3|jrc_slide_code_api:20161011_31_H3	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20161011_31_H3', age: 'Day 1-5'
20x-Brain-2326913580022104209	JRC_SS28175_Brain_20161011_31_H4_20x	P{R51E06-p65.AD}	P{R15D05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS28175|JRC_SS28175	FlyLightRaw:SS28175|FlyLightRawSlideCode:20161011_31_H4|jrc_slide_code_api:20161011_31_H4	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20161011_31_H4', age: 'Day 1-5'
20x-Brain-2326913580227625105	JRC_SS28175_Brain_20161011_31_H5_20x	P{R51E06-p65.AD}	P{R15D05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS28175|JRC_SS28175	FlyLightRaw:SS28175|FlyLightRawSlideCode:20161011_31_H5|jrc_slide_code_api:20161011_31_H5	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20161011_31_H5', age: 'Day 1-5'
20x-Brain-2634956831067209826	JRC_SS01015_Brain_20190201_45_E2_20x	P{R21B12-p65.AD}	P{R20E07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01015|GMR_SS01015|JRC_SS01015	FlyLightRaw:SS01015|FlyLightRawSlideCode:20190201_45_E2|jrc_slide_code_api:20190201_45_E2	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190201_45_E2', age: 'Day 1-5'
20x-Brain-3168724269882409119	JRC_SS01015_Brain_20230210_46_B1_20x	P{R21B12-p65.AD}	P{R20E07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01015|GMR_SS01015|JRC_SS01015	FlyLightSplit:SS01015|FlyLightSplitSlideCode:20230210_46_B1|jrc_slide_code_api:20230210_46_B1|neuronbridge:SS01015	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8_M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20230210_46_B1', age: 'Day 1-5'
20x-Brain-3173020329572303007	JRC_SS02978_Brain_20230224_44_C4_20x	P{R42E06-p65.AD}	P{VT064564-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS02978|GMR_SS02978|JRC_SS02978	FlyLightSplit:SS02978|FlyLightSplitSlideCode:20230224_44_C4|jrc_slide_code_api:20230224_44_C4|neuronbridge:SS02978	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20230224_44_C4', age: 'Day 1-5'
20x-Brain-3175898915421552799	JRC_SS28175_Brain_20230303_43_A1_20x	P{R51E06-p65.AD}	P{R15D05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS28175|JRC_SS28175	FlyLightSplit:SS28175|FlyLightSplitSlideCode:20230303_43_A1|jrc_slide_code_api:20230303_43_A1|neuronbridge:SS28175	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20230303_43_A1', age: 'Day 1-5'
20x-Brain-2634956829687283810	JRC_SS01015_Brain_20190201_45_C1_20x	P{R21B12-p65.AD}	P{R20E07-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS01015|GMR_SS01015|JRC_SS01015	FlyLightRaw:SS01015|FlyLightRawSlideCode:20190201_45_C1|jrc_slide_code_api:20190201_45_C1	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190201_45_C1', age: 'Day 1-5'
