filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-1903200754403901538	JRC_OL0016B_Brain_20130702_31_E2_20x	P{R22H02-p65.AD}	P{R14C08-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	OL0016B|GMR_OL0016B|JRC_OL0016B	FlyLightSplit:OL0016B|FlyLightSplitSlideCode:20130702_31_E2|jrc_slide_code_api:20130702_31_E2|neuronbridge:OL0016B	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130702_31_E2', age: 'Day 1-5'
20x-Brain-2254562721620033610	JRC_SS17689_Brain_20160308_32_G1_20x	P{R50C03-p65.AD}	P{R41C05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS17689|JRC_SS17689	FlyLightSplit:SS17689|FlyLightSplitSlideCode:20160308_32_G1|jrc_slide_code_api:20160308_32_G1|neuronbridge:SS17689	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160308_32_G1', age: 'Day 1-5'
20x-Brain-2254562729157197898	JRC_SS17689_Brain_20160308_32_G2_20x	P{R50C03-p65.AD}	P{R41C05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS17689|JRC_SS17689	FlyLightSplit:SS17689|FlyLightSplitSlideCode:20160308_32_G2|jrc_slide_code_api:20160308_32_G2|neuronbridge:SS17689	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160308_32_G2', age: 'Day 1-5'
20x-Brain-2254562735910027338	JRC_SS17689_Brain_20160308_32_G3_20x	P{R50C03-p65.AD}	P{R41C05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS17689|JRC_SS17689	FlyLightSplit:SS17689|FlyLightSplitSlideCode:20160308_32_G3|jrc_slide_code_api:20160308_32_G3|neuronbridge:SS17689	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160308_32_G3', age: 'Day 1-5'
20x-Brain-2269965113509281890	JRC_SS05037_Brain_20160329_32_E2_20x	P{R85F11-p65.AD}	P{R45F08-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS05037|JRC_SS05037	FlyLightSplit:SS05037|FlyLightSplitSlideCode:20160329_32_E2|jrc_slide_code_api:20160329_32_E2|neuronbridge:SS05037	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160329_32_E2', age: 'Day 1-5'
63x-Brain-1903200754403901538	JRC_OL0016B_Brain_20130702_31_E2_63x	P{R22H02-p65.AD}	P{R14C08-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	OL0016B|GMR_OL0016B|JRC_OL0016B	FlyLightSplit:OL0016B|FlyLightSplitSlideCode:20130702_31_E2|jrc_slide_code_api:20130702_31_E2|neuronbridge:OL0016B	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe, ventral', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130702_31_E2', age: 'Day 1-5'
63x-Brain-2254562721620033610	JRC_SS17689_Brain_20160308_32_G1_63x	P{R50C03-p65.AD}	P{R41C05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS17689|JRC_SS17689	FlyLightSplit:SS17689|FlyLightSplitSlideCode:20160308_32_G1|jrc_slide_code_api:20160308_32_G1|neuronbridge:SS17689	tile(s): 'ventral, left_dorsal, right_dorsal, right_optic_lobe, left_optic_lobe', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160308_32_G1', age: 'Day 1-5'
63x-Brain-2254562729157197898	JRC_SS17689_Brain_20160308_32_G2_63x	P{R50C03-p65.AD}	P{R41C05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS17689|JRC_SS17689	FlyLightSplit:SS17689|FlyLightSplitSlideCode:20160308_32_G2|jrc_slide_code_api:20160308_32_G2|neuronbridge:SS17689	tile(s): 'ventral, left_dorsal, right_dorsal, right_optic_lobe, left_optic_lobe', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160308_32_G2', age: 'Day 1-5'
63x-Brain-2254562735910027338	JRC_SS17689_Brain_20160308_32_G3_63x	P{R50C03-p65.AD}	P{R41C05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS17689|JRC_SS17689	FlyLightSplit:SS17689|FlyLightSplitSlideCode:20160308_32_G3|jrc_slide_code_api:20160308_32_G3|neuronbridge:SS17689	tile(s): 'ventral, left_dorsal, right_dorsal, right_optic_lobe, left_optic_lobe', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160308_32_G3', age: 'Day 1-5'
63x-Brain-2269965113509281890	JRC_SS05037_Brain_20160329_32_E2_63x	P{R85F11-p65.AD}	P{R45F08-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS05037|JRC_SS05037	FlyLightSplit:SS05037|FlyLightSplitSlideCode:20160329_32_E2|jrc_slide_code_api:20160329_32_E2|neuronbridge:SS05037	tile(s): 'left_optic_lobe, left_dorsal, right_dorsal, ventral, right_optic_lobe', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160329_32_E2', age: 'Day 1-5'
20x-VNC-1903200754403901538	JRC_OL0016B_VNC_20130702_31_E2_20x	P{R22H02-p65.AD}	P{R14C08-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	OL0016B|GMR_OL0016B|JRC_OL0016B	FlyLightSplit:OL0016B|FlyLightSplitSlideCode:20130702_31_E2|jrc_slide_code_api:20130702_31_E2|neuronbridge:OL0016B	tile(s): 'ventral_nerve_cord', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130702_31_E2', age: 'Day 1-5'
20x-VNC-2254562721620033610	JRC_SS17689_VNC_20160308_32_G1_20x	P{R50C03-p65.AD}	P{R41C05-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS17689|JRC_SS17689	FlyLightSplit:SS17689|FlyLightSplitSlideCode:20160308_32_G1|jrc_slide_code_api:20160308_32_G1|neuronbridge:SS17689	tile(s): 'ventral_nerve_cord', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160308_32_G1', age: 'Day 1-5'
20x-VNC-2254562729157197898	JRC_SS17689_VNC_20160308_32_G2_20x	P{R50C03-p65.AD}	P{R41C05-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS17689|JRC_SS17689	FlyLightSplit:SS17689|FlyLightSplitSlideCode:20160308_32_G2|jrc_slide_code_api:20160308_32_G2|neuronbridge:SS17689	tile(s): 'ventral_nerve_cord', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160308_32_G2', age: 'Day 1-5'
