filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-1870576670230970466	JRC_MB502B_Brain_20121210_33_D1_20x	P{R52H03-p65.AD}	P{R14E06-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB502B|GMR_MB502B|JRC_MB502B	FlyLightSplit:MB502B|FlyLightSplitSlideCode:20121210_33_D1|jrc_slide_code_api:20121210_33_D1|neuronbridge:MB502B	tile(s): 'brain', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121210_33_D1', age: 'Day 6-10'
20x-Brain-1870576671581536354	JRC_MB502B_Brain_20121210_33_D2_20x	P{R52H03-p65.AD}	P{R14E06-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB502B|GMR_MB502B|JRC_MB502B	FlyLightSplit:MB502B|FlyLightSplitSlideCode:20121210_33_D2|jrc_slide_code_api:20121210_33_D2|neuronbridge:MB502B	tile(s): 'brain', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121210_33_D2', age: 'Day 6-10'
20x-Brain-1870576672776912994	JRC_MB502B_Brain_20121210_33_D3_20x	P{R52H03-p65.AD}	P{R14E06-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB502B|GMR_MB502B|JRC_MB502B	FlyLightSplit:MB502B|FlyLightSplitSlideCode:20121210_33_D3|jrc_slide_code_api:20121210_33_D3|neuronbridge:MB502B	tile(s): 'brain', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121210_33_D3', age: 'Day 6-10'
20x-Brain-1870576673779351650	JRC_MB502B_Brain_20121210_33_D4_20x	P{R52H03-p65.AD}	P{R14E06-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB502B|GMR_MB502B|JRC_MB502B	FlyLightSplit:MB502B|FlyLightSplitSlideCode:20121210_33_D4|jrc_slide_code_api:20121210_33_D4|neuronbridge:MB502B	tile(s): 'brain', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121210_33_D4', age: 'Day 6-10'
20x-Brain-1870576674853093474	JRC_MB502B_Brain_20121210_33_D5_20x	P{R52H03-p65.AD}	P{R14E06-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB502B|GMR_MB502B|JRC_MB502B	FlyLightSplit:MB502B|FlyLightSplitSlideCode:20121210_33_D5|jrc_slide_code_api:20121210_33_D5|neuronbridge:MB502B	tile(s): 'brain', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121210_33_D5', age: 'Day 6-10'
20x-Brain-1996273752358256738	JRC_MB502B_Brain_20140411_31_E1_20x	P{R52H03-p65.AD}	P{R14E06-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB502B|GMR_MB502B|JRC_MB502B	FlyLightSplit:MB502B|FlyLightSplitSlideCode:20140411_31_E1|jrc_slide_code_api:20140411_31_E1|neuronbridge:MB502B	tile(s): 'brain', effector genotype: 'pJFRC200-10XUAS-IVS-myr::smGFP-HA in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140411_31_E1', age: 'Day 1-5'
20x-Brain-1996273752907710562	JRC_MB502B_Brain_20140411_31_E2_20x	P{R52H03-p65.AD}	P{R14E06-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB502B|GMR_MB502B|JRC_MB502B	FlyLightSplit:MB502B|FlyLightSplitSlideCode:20140411_31_E2|jrc_slide_code_api:20140411_31_E2|neuronbridge:MB502B	tile(s): 'brain', effector genotype: 'pJFRC200-10XUAS-IVS-myr::smGFP-HA in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140411_31_E2', age: 'Day 1-5'
20x-Brain-1996273753440387170	JRC_MB502B_Brain_20140411_31_E3_20x	P{R52H03-p65.AD}	P{R14E06-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB502B|GMR_MB502B|JRC_MB502B	FlyLightSplit:MB502B|FlyLightSplitSlideCode:20140411_31_E3|jrc_slide_code_api:20140411_31_E3|neuronbridge:MB502B	tile(s): 'brain', effector genotype: 'pJFRC200-10XUAS-IVS-myr::smGFP-HA in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140411_31_E3', age: 'Day 1-5'
20x-Brain-1996273753989840994	JRC_MB502B_Brain_20140411_31_E4_20x	P{R52H03-p65.AD}	P{R14E06-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB502B|GMR_MB502B|JRC_MB502B	FlyLightSplit:MB502B|FlyLightSplitSlideCode:20140411_31_E4|jrc_slide_code_api:20140411_31_E4|neuronbridge:MB502B	tile(s): 'brain', effector genotype: 'pJFRC200-10XUAS-IVS-myr::smGFP-HA in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140411_31_E4', age: 'Day 1-5'
20x-Brain-2021419143319781474	JRC_MB502B_Brain_20140527_42_H3_20x	P{R52H03-p65.AD}	P{R14E06-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB502B|GMR_MB502B|JRC_MB502B	FlyLightSplit:MB502B|FlyLightSplitSlideCode:20140527_42_H3|jrc_slide_code_api:20140527_42_H3|neuronbridge:MB502B	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140527_42_H3', age: 'Day 1-5'
