filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-2414147431957528674	JRC_SS48139_Brain_20170607_31_B1_20x	P{VT033054-p65.AD}	P{R93D02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS48139|JRC_SS48139	FlyLightSplit:SS48139|FlyLightSplitSlideCode:20170607_31_B1|jrc_slide_code_api:20170607_31_B1|neuronbridge:SS48139	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170607_31_B1', age: 'Day 1-5'
20x-Brain-2414147432116912226	JRC_SS48139_Brain_20170607_31_B4_20x	P{VT033054-p65.AD}	P{R93D02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS48139|JRC_SS48139	FlyLightSplit:SS48139|FlyLightSplitSlideCode:20170607_31_B4|jrc_slide_code_api:20170607_31_B4|neuronbridge:SS48139	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170607_31_B4', age: 'Day 1-5'
20x-Brain-2414147432251129954	JRC_SS48141_Brain_20170607_31_C1_20x	P{VT040540-p65.AD}	P{R93D02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS48141|JRC_SS48141	FlyLightSplit:SS48141|FlyLightSplitSlideCode:20170607_31_C1|jrc_slide_code_api:20170607_31_C1|neuronbridge:SS48141	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170607_31_C1', age: 'Day 1-5'
20x-Brain-2414147432548925538	JRC_SS48142_Brain_20170607_31_D1_20x	P{VT050223-p65.AD}	P{R52D11-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS48142|JRC_SS48142	FlyLightSplit:SS48142|FlyLightSplitSlideCode:20170607_31_D1|jrc_slide_code_api:20170607_31_D1|neuronbridge:SS48142	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170607_31_D1', age: 'Day 1-5'
20x-Brain-2414147321597001826	JRC_SS29227_Brain_20170607_32_D3_20x	P{R38E08-p65.AD}	P{R47B01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS29227|JRC_SS29227	FlyLightSplit:SS29227|FlyLightSplitSlideCode:20170607_32_D3|jrc_slide_code_api:20170607_32_D3|neuronbridge:SS29227	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170607_32_D3', age: 'Day 1-5'
20x-Brain-2414147321768968290	JRC_SS47079_Brain_20170607_32_E1_20x	P{VT007849-p65.AD}	P{VT033054-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS47079|JRC_SS47079	FlyLightSplit:SS47079|FlyLightSplitSlideCode:20170607_32_E1|jrc_slide_code_api:20170607_32_E1|neuronbridge:SS47079	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170607_32_E1', age: 'Day 1-5'
20x-Brain-2414147321915768930	JRC_SS47079_Brain_20170607_32_E4_20x	P{VT007849-p65.AD}	P{VT033054-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS47079|JRC_SS47079	FlyLightSplit:SS47079|FlyLightSplitSlideCode:20170607_32_E4|jrc_slide_code_api:20170607_32_E4|neuronbridge:SS47079	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170607_32_E4', age: 'Day 1-5'
20x-Brain-2417039860524122210	JRC_SS47080_Brain_20170614_32_A2_20x	P{VT007746-p65.AD}	P{VT043658-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS47080|JRC_SS47080	FlyLightSplit:SS47080|FlyLightSplitSlideCode:20170614_32_A2|jrc_slide_code_api:20170614_32_A2|neuronbridge:SS47080	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170614_32_A2', age: 'Day 1-5'
20x-Brain-2417039860628979810	JRC_SS47080_Brain_20170614_32_A4_20x	P{VT007746-p65.AD}	P{VT043658-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS47080|JRC_SS47080	FlyLightSplit:SS47080|FlyLightSplitSlideCode:20170614_32_A4|jrc_slide_code_api:20170614_32_A4|neuronbridge:SS47080	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170614_32_A4', age: 'Day 1-5'
20x-Brain-2417040201680420962	JRC_SS48137_Brain_20170614_31_B2_20x	P{VT033054-p65.AD}	P{VT046289-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS48137|JRC_SS48137	FlyLightSplit:SS48137|FlyLightSplitSlideCode:20170614_31_B2|jrc_slide_code_api:20170614_31_B2|neuronbridge:SS48137	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170614_31_B2', age: 'Day 1-5'
