filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-2447127843398746210	JRC_MB425B_Brain_20170829_34_C1_20x	P{R28F07-p65.AD}	P{R10E05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB425B|GMR_MB425B|JRC_MB425B	FlyLightRaw:MB425B|FlyLightRawSlideCode:20170829_34_C1|jrc_slide_code_api:20170829_34_C1	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170829_34_C1', age: 'Day 1-5'
20x-Brain-2447127843474243682	JRC_MB425B_Brain_20170829_34_C2_20x	P{R28F07-p65.AD}	P{R10E05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB425B|GMR_MB425B|JRC_MB425B	FlyLightRaw:MB425B|FlyLightRawSlideCode:20170829_34_C2|jrc_slide_code_api:20170829_34_C2	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170829_34_C2', age: 'Day 1-5'
20x-Brain-2447127843549741154	JRC_MB425B_Brain_20170829_34_C3_20x	P{R28F07-p65.AD}	P{R10E05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB425B|GMR_MB425B|JRC_MB425B	FlyLightRaw:MB425B|FlyLightRawSlideCode:20170829_34_C3|jrc_slide_code_api:20170829_34_C3	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170829_34_C3', age: 'Day 1-5'
20x-Brain-2447127843621044322	JRC_MB425B_Brain_20170829_34_C4_20x	P{R28F07-p65.AD}	P{R10E05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB425B|GMR_MB425B|JRC_MB425B	FlyLightRaw:MB425B|FlyLightRawSlideCode:20170829_34_C4|jrc_slide_code_api:20170829_34_C4	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170829_34_C4', age: 'Day 1-5'
20x-Brain-2447127843692347490	JRC_MB425B_Brain_20170829_34_C5_20x	P{R28F07-p65.AD}	P{R10E05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB425B|GMR_MB425B|JRC_MB425B	FlyLightRaw:MB425B|FlyLightRawSlideCode:20170829_34_C5|jrc_slide_code_api:20170829_34_C5	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170829_34_C5', age: 'Day 1-5'
20x-Brain-2447127843751067746	JRC_MB425B_Brain_20170829_34_C6_20x	P{R28F07-p65.AD}	P{R10E05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB425B|GMR_MB425B|JRC_MB425B	FlyLightRaw:MB425B|FlyLightRawSlideCode:20170829_34_C6|jrc_slide_code_api:20170829_34_C6	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170829_34_C6', age: 'Day 1-5'
20x-Brain-2447127843809788002	JRC_MB425B_Brain_20170829_34_D1_20x	P{R28F07-p65.AD}	P{R10E05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB425B|GMR_MB425B|JRC_MB425B	FlyLightRaw:MB425B|FlyLightRawSlideCode:20170829_34_D1|jrc_slide_code_api:20170829_34_D1	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170829_34_D1', age: 'Day 1-5'
20x-Brain-2447127843868508258	JRC_MB425B_Brain_20170829_34_D2_20x	P{R28F07-p65.AD}	P{R10E05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB425B|GMR_MB425B|JRC_MB425B	FlyLightRaw:MB425B|FlyLightRawSlideCode:20170829_34_D2|jrc_slide_code_api:20170829_34_D2	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170829_34_D2', age: 'Day 1-5'
20x-Brain-2447127843927228514	JRC_MB425B_Brain_20170829_34_D3_20x	P{R28F07-p65.AD}	P{R10E05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB425B|GMR_MB425B|JRC_MB425B	FlyLightRaw:MB425B|FlyLightRawSlideCode:20170829_34_D3|jrc_slide_code_api:20170829_34_D3	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170829_34_D3', age: 'Day 1-5'
20x-Brain-2447127843985948770	JRC_MB425B_Brain_20170829_34_D4_20x	P{R28F07-p65.AD}	P{R10E05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB425B|GMR_MB425B|JRC_MB425B	FlyLightRaw:MB425B|FlyLightRawSlideCode:20170829_34_D4|jrc_slide_code_api:20170829_34_D4	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170829_34_D4', age: 'Day 1-5'
