filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-1845425486331641954	JRC_MB316C_Brain_20121126_31_E1_20x	PBac{R58E02-p65.AD}	P{R93G08-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB316C|GMR_MB316C|JRC_MB316C	FlyLightSplit:MB316C|FlyLightSplitSlideCode:20121126_31_E1|jrc_slide_code_api:20121126_31_E1|neuronbridge:MB316C	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121126_31_E1', age: 'Day 6-10'
20x-Brain-1845425486516191330	JRC_MB316C_Brain_20121126_31_E4_20x	PBac{R58E02-p65.AD}	P{R93G08-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB316C|GMR_MB316C|JRC_MB316C	FlyLightSplit:MB316C|FlyLightSplitSlideCode:20121126_31_E4|jrc_slide_code_api:20121126_31_E4|neuronbridge:MB316C	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121126_31_E4', age: 'Day 6-10'
20x-Brain-1845425486637826146	JRC_MB316C_Brain_20121126_31_E5_20x	PBac{R58E02-p65.AD}	P{R93G08-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB316C|GMR_MB316C|JRC_MB316C	FlyLightSplit:MB316C|FlyLightSplitSlideCode:20121126_31_E5|jrc_slide_code_api:20121126_31_E5|neuronbridge:MB316C	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121126_31_E5', age: 'Day 6-10'
20x-Brain-1858873147508392034	JRC_MB316C_Brain_20121126_31_F1_20x	PBac{R58E02-p65.AD}	P{R93G08-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB316C|GMR_MB316C|JRC_MB316C	FlyLightSplit:MB316C|FlyLightSplitSlideCode:20121126_31_F1|jrc_slide_code_api:20121126_31_F1|neuronbridge:MB316C	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121126_31_F1', age: 'Day 6-10'
20x-Brain-1858873147722301538	JRC_MB316C_Brain_20121126_31_F2_20x	PBac{R58E02-p65.AD}	P{R93G08-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB316C|GMR_MB316C|JRC_MB316C	FlyLightSplit:MB316C|FlyLightSplitSlideCode:20121126_31_F2|jrc_slide_code_api:20121126_31_F2|neuronbridge:MB316C	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121126_31_F2', age: 'Day 6-10'
20x-Brain-1858873147885879394	JRC_MB316C_Brain_20121126_31_F3_20x	PBac{R58E02-p65.AD}	P{R93G08-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB316C|GMR_MB316C|JRC_MB316C	FlyLightSplit:MB316C|FlyLightSplitSlideCode:20121126_31_F3|jrc_slide_code_api:20121126_31_F3|neuronbridge:MB316C	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121126_31_F3', age: 'Day 6-10'
20x-Brain-1858873148036874338	JRC_MB316C_Brain_20121126_31_F4_20x	PBac{R58E02-p65.AD}	P{R93G08-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB316C|GMR_MB316C|JRC_MB316C	FlyLightSplit:MB316C|FlyLightSplitSlideCode:20121126_31_F4|jrc_slide_code_api:20121126_31_F4|neuronbridge:MB316C	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121126_31_F4', age: 'Day 6-10'
20x-Brain-2022090247663255650	JRC_MB316C_Brain_20140609_41_E3_20x	PBac{R58E02-p65.AD}	P{R93G08-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB316C|GMR_MB316C|JRC_MB316C	FlyLightSplit:MB316C|FlyLightSplitSlideCode:20140609_41_E3|jrc_slide_code_api:20140609_41_E3|neuronbridge:MB316C	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140609_41_E3', age: 'Day 1-5'
20x-Brain-2826568214442410082	JRC_MB316C_Brain_20200710_41_F3_20x	PBac{R58E02-p65.AD}	P{R93G08-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB316C|GMR_MB316C|JRC_MB316C	FlyLightSplit:MB316C|FlyLightSplitSlideCode:20200710_41_F3|jrc_slide_code_api:20200710_41_F3|neuronbridge:MB316C	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200710_41_F3', age: 'Day 1-5'
20x-Brain-2826602711145775202	JRC_MB316C_Brain_20200710_42_E4_20x	PBac{R58E02-p65.AD}	P{R93G08-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	MB316C|GMR_MB316C|JRC_MB316C	FlyLightSplit:MB316C|FlyLightSplitSlideCode:20200710_42_E4|jrc_slide_code_api:20200710_42_E4|neuronbridge:MB316C	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200710_42_E4', age: 'Day 1-5'
