filename	label	AD	DBD	part_of
Janelia-1919113395999604834-VNC-63x_nrs_jacs_jacsData_filestore_nerna_Alignment_084_577_2652370915551084577_align_REG_JRC2018_FEMALE_63x_8bitc_J18VU_SG	JRC_SS00315_VNC_2020__1	P{R47H03-p65.AD}	P{R72E01-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-1958765481812820066-VNC-63x_nrs_jacs_jacsData_filestore_nerna_Alignment_732_260_2652540304279732260_align_REG_JRC2018_FEMALE_63x_8bitc_J18VU_SG	JRC_OL0070B_VNC_2020__1	P{R91B01-p65.AD}	P{R22A07-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-1971522337262010466-VNC-63x_nrs_jacs_jacsData_filestore_nerna_Alignment_569_956_2652515145791569956_align_REG_JRC2018_FEMALE_63x_8bitc_J18VU_SG	JRC_OL0042B_VNC_2020__1	P{R26A03-p65.AD}	P{R24A02-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-1971522347873599586-VNC-63x_nrs_jacs_jacsData_filestore_nerna_Alignment_192_674_2652376063950192674_align_REG_JRC2018_FEMALE_63x_8bitc_J18VU_SG	JRC_OL0044B_VNC_2020__1	P{R55C04-p65.AD}	P{R85F11-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2019981410135179362-VNC-63x_nrs_jacs_jacsData_filestore_nerna_Alignment_521_249_2652593265328521249_align_REG_JRC2018_FEMALE_63x_8bitc_J18VU_SG	JRC_OL0046B_VNC_2020__1	P{R26A03-p65.AD}	P{R54A05-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2021466527429034082-VNC-20x_nrs_jacs_jacsData_filestore_nerna_Alignment_207_970_2586027064528207970_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_OL0003B_VNC_2020__1	P{R24A02-p65.AD}	P{R26A03-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2021466530985803874-VNC-20x_nrs_jacs_jacsData_filestore_nerna_Alignment_662_114_2586026416344662114_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_OL0004B_VNC_2020__1	P{R24A02-p65.AD}	P{R91B01-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2021466539995168866-VNC-20x_nrs_jacs_jacsData_filestore_nerna_Alignment_883_362_2586026161695883362_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_OL0007B_VNC_2020__1	P{R35D04-p65.AD}	P{R65B05-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2021466543874900066-VNC-20x_nrs_jacs_jacsData_filestore_nerna_Alignment_678_114_2586028123950678114_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_OL0011B_VNC_2020__1	P{R82D11-p65.AD}	P{R92B11-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2021466556076130402-VNC-20x_nrs_jacs_jacsData_filestore_nerna_Alignment_305_570_2586049860675305570_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_OL0045B_VNC_2020__1	P{R55C04-p65.AD}	P{R41C05-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2100932983627186274-VNC-63x_nrs_jacs_jacsData_filestore_nerna_Alignment_436_257_2652372693600436257_align_REG_JRC2018_FEMALE_63x_8bitc_J18VU_SG	JRC_SS02645_VNC_2020__1	P{VT027704-p65.AD}	P{VT040569-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2269962741521317986-VNC-20x_nrs_jacs_jacsData_filestore_nerna_Alignment_984_612_2612387677864984612_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS02669_VNC_2020__1	P{R72C08-p65.AD}	P{VT040747-GAL4.DBD}	female organism|thoracico-abdominal ganglion
