filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
20x-Brain-2764347392814743650	JRC_SS57264_Brain_20200124_20_G1_20x	female organism|adult brain|P{VT020829-GAL4.DBD} ∩ P{VT045282-p65.AD} expression pattern	JRC2018Unisex_c	SS57264|JRC_SS57264	FlyLightRaw:SS57264|FlyLightRawSlideCode:20200124_20_G1|jrc_slide_code_api:20200124_20_G1	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200124_20_G1', age: 'Adult'	expression pattern fragment
20x-Brain-2764347393167065186	JRC_SS57264_Brain_20200124_20_G2_20x	female organism|adult brain|P{VT020829-GAL4.DBD} ∩ P{VT045282-p65.AD} expression pattern	JRC2018Unisex_c	SS57264|JRC_SS57264	FlyLightSplit:SS57264|FlyLightSplitSlideCode:20200124_20_G2|jrc_slide_code_api:20200124_20_G2|neuronbridge:SS57264	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200124_20_G2', age: 'Adult'	expression pattern fragment
20x-Brain-2764347393519386722	JRC_SS57264_Brain_20200124_20_G3_20x	female organism|adult brain|P{VT020829-GAL4.DBD} ∩ P{VT045282-p65.AD} expression pattern	JRC2018Unisex_c	SS57264|JRC_SS57264	FlyLightSplit:SS57264|FlyLightSplitSlideCode:20200124_20_G3|jrc_slide_code_api:20200124_20_G3|neuronbridge:SS57264	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200124_20_G3', age: 'Adult'	expression pattern fragment
20x-Brain-2764347393880096866	JRC_SS57264_Brain_20200124_20_G4_20x	female organism|adult brain|P{VT020829-GAL4.DBD} ∩ P{VT045282-p65.AD} expression pattern	JRC2018Unisex_c	SS57264|JRC_SS57264	FlyLightSplit:SS57264|FlyLightSplitSlideCode:20200124_20_G4|jrc_slide_code_api:20200124_20_G4|neuronbridge:SS57264	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200124_20_G4', age: 'Adult'	expression pattern fragment
20x-Brain-2764347394211446882	JRC_SS57264_Brain_20200124_20_G5_20x	female organism|adult brain|P{VT020829-GAL4.DBD} ∩ P{VT045282-p65.AD} expression pattern	JRC2018Unisex_c	SS57264|JRC_SS57264	FlyLightSplit:SS57264|FlyLightSplitSlideCode:20200124_20_G5|jrc_slide_code_api:20200124_20_G5|neuronbridge:SS57264	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200124_20_G5', age: 'Adult'	expression pattern fragment
20x-Brain-2764347394538602594	JRC_SS57264_Brain_20200124_20_G7_20x	female organism|adult brain|P{VT020829-GAL4.DBD} ∩ P{VT045282-p65.AD} expression pattern	JRC2018Unisex_c	SS57264|JRC_SS57264	FlyLightRaw:SS57264|FlyLightRawSlideCode:20200124_20_G7|jrc_slide_code_api:20200124_20_G7	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200124_20_G7', age: 'Adult'	expression pattern fragment
20x-Brain-2764347394874146914	JRC_SS57264_Brain_20200124_20_G8_20x	female organism|adult brain|P{VT020829-GAL4.DBD} ∩ P{VT045282-p65.AD} expression pattern	JRC2018Unisex_c	SS57264|JRC_SS57264	FlyLightRaw:SS57264|FlyLightRawSlideCode:20200124_20_G8|jrc_slide_code_api:20200124_20_G8	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200124_20_G8', age: 'Adult'	expression pattern fragment
20x-Brain-2764347395230662754	JRC_SS57264_Brain_20200124_20_G9_20x	female organism|adult brain|P{VT020829-GAL4.DBD} ∩ P{VT045282-p65.AD} expression pattern	JRC2018Unisex_c	SS57264|JRC_SS57264	FlyLightRaw:SS57264|FlyLightRawSlideCode:20200124_20_G9|jrc_slide_code_api:20200124_20_G9	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200124_20_G9', age: 'Adult'	expression pattern fragment
63x-Brain-2764347393519386722	JRC_SS57264_Brain_20200124_20_G3_63x	female organism|adult brain|P{VT020829-GAL4.DBD} ∩ P{VT045282-p65.AD} expression pattern	JRC2018Unisex_c	SS57264|JRC_SS57264	FlyLightSplit:SS57264|FlyLightSplitSlideCode:20200124_20_G3|jrc_slide_code_api:20200124_20_G3|neuronbridge:SS57264	tile(s): 'central (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200124_20_G3', age: 'Adult'	expression pattern fragment
63x-Brain-2764347393880096866	JRC_SS57264_Brain_20200124_20_G4_63x	female organism|adult brain|P{VT020829-GAL4.DBD} ∩ P{VT045282-p65.AD} expression pattern	JRC2018Unisex_c	SS57264|JRC_SS57264	FlyLightSplit:SS57264|FlyLightSplitSlideCode:20200124_20_G4|jrc_slide_code_api:20200124_20_G4|neuronbridge:SS57264	tile(s): 'central (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200124_20_G4', age: 'Adult'	expression pattern fragment
