filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
20x-Brain-1935933900471664738	JRC_SS00377_Brain_20131007_19_B1_20x	female organism|adult brain|P{R72G06-GAL4.DBD} ∩ PBac{R81A05-p65.AD} expression pattern	JRC2018Unisex_c	SS00377|GMR_SS00377|JRC_SS00377	FlyLightSplit:SS00377|FlyLightSplitSlideCode:20131007_19_B1|jrc_slide_code_api:20131007_19_B1|neuronbridge:SS00377	tile(s): 'brain', effector genotype: 'w, R57C10-FlpL in su(Hw)attp8;; pJFRC210-10XUASFRT >STOP > FRT- myr::smGFP-OLLAS in attP2, pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRT-myr::smGFP- V5-THS10XUAS-FRT>STOP > FRT-myr::smGFPFLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131007_19_B1', age: 'Day 1-5'	expression pattern fragment
20x-Brain-1935933904087154786	JRC_SS00377_Brain_20131007_19_B2_20x	female organism|adult brain|P{R72G06-GAL4.DBD} ∩ PBac{R81A05-p65.AD} expression pattern	JRC2018Unisex_c	SS00377|GMR_SS00377|JRC_SS00377	FlyLightSplit:SS00377|FlyLightSplitSlideCode:20131007_19_B2|jrc_slide_code_api:20131007_19_B2|neuronbridge:SS00377	tile(s): 'brain', effector genotype: 'w, R57C10-FlpL in su(Hw)attp8;; pJFRC210-10XUASFRT >STOP > FRT- myr::smGFP-OLLAS in attP2, pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRT-myr::smGFP- V5-THS10XUAS-FRT>STOP > FRT-myr::smGFPFLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131007_19_B2', age: 'Day 1-5'	expression pattern fragment
20x-Brain-1935933907153191010	JRC_SS00377_Brain_20131007_19_B3_20x	female organism|adult brain|P{R72G06-GAL4.DBD} ∩ PBac{R81A05-p65.AD} expression pattern	JRC2018Unisex_c	SS00377|GMR_SS00377|JRC_SS00377	FlyLightSplit:SS00377|FlyLightSplitSlideCode:20131007_19_B3|jrc_slide_code_api:20131007_19_B3|neuronbridge:SS00377	tile(s): 'brain', effector genotype: 'w, R57C10-FlpL in su(Hw)attp8;; pJFRC210-10XUASFRT >STOP > FRT- myr::smGFP-OLLAS in attP2, pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRT-myr::smGFP- V5-THS10XUAS-FRT>STOP > FRT-myr::smGFPFLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131007_19_B3', age: 'Day 1-5'	expression pattern fragment
20x-Brain-1930006139957674082	JRC_SS00377_Brain_20131007_19_B4_20x	female organism|adult brain|P{R72G06-GAL4.DBD} ∩ PBac{R81A05-p65.AD} expression pattern	JRC2018Unisex_c	SS00377|GMR_SS00377|JRC_SS00377	FlyLightSplit:SS00377|FlyLightSplitSlideCode:20131007_19_B4|jrc_slide_code_api:20131007_19_B4|neuronbridge:SS00377	tile(s): 'brain', effector genotype: 'w, R57C10-FlpL in su(Hw)attp8;; pJFRC210-10XUASFRT >STOP > FRT- myr::smGFP-OLLAS in attP2, pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRT-myr::smGFP- V5-THS10XUAS-FRT>STOP > FRT-myr::smGFPFLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131007_19_B4', age: 'Day 1-5'	expression pattern fragment
63x-Brain-1935933900471664738	JRC_SS00377_Brain_20131007_19_B1_63x	female organism|adult brain|P{R72G06-GAL4.DBD} ∩ PBac{R81A05-p65.AD} expression pattern	JRC2018Unisex_c	SS00377|GMR_SS00377|JRC_SS00377	FlyLightSplit:SS00377|FlyLightSplitSlideCode:20131007_19_B1|jrc_slide_code_api:20131007_19_B1|neuronbridge:SS00377	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe, ventral', effector genotype: 'w, R57C10-FlpL in su(Hw)attp8;; pJFRC210-10XUASFRT >STOP > FRT- myr::smGFP-OLLAS in attP2, pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRT-myr::smGFP- V5-THS10XUAS-FRT>STOP > FRT-myr::smGFPFLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131007_19_B1', age: 'Day 1-5'	expression pattern fragment
63x-Brain-1935933904087154786	JRC_SS00377_Brain_20131007_19_B2_63x	female organism|adult brain|P{R72G06-GAL4.DBD} ∩ PBac{R81A05-p65.AD} expression pattern	JRC2018Unisex_c	SS00377|GMR_SS00377|JRC_SS00377	FlyLightSplit:SS00377|FlyLightSplitSlideCode:20131007_19_B2|jrc_slide_code_api:20131007_19_B2|neuronbridge:SS00377	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe, ventral', effector genotype: 'w, R57C10-FlpL in su(Hw)attp8;; pJFRC210-10XUASFRT >STOP > FRT- myr::smGFP-OLLAS in attP2, pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRT-myr::smGFP- V5-THS10XUAS-FRT>STOP > FRT-myr::smGFPFLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131007_19_B2', age: 'Day 1-5'	expression pattern fragment
63x-Brain-1935933907153191010	JRC_SS00377_Brain_20131007_19_B3_63x	female organism|adult brain|P{R72G06-GAL4.DBD} ∩ PBac{R81A05-p65.AD} expression pattern	JRC2018Unisex_c	SS00377|GMR_SS00377|JRC_SS00377	FlyLightSplit:SS00377|FlyLightSplitSlideCode:20131007_19_B3|jrc_slide_code_api:20131007_19_B3|neuronbridge:SS00377	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe, ventral', effector genotype: 'w, R57C10-FlpL in su(Hw)attp8;; pJFRC210-10XUASFRT >STOP > FRT- myr::smGFP-OLLAS in attP2, pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRT-myr::smGFP- V5-THS10XUAS-FRT>STOP > FRT-myr::smGFPFLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131007_19_B3', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2328773005842317349	JRC_SS25868_Brain_20161007_26_E1_63x	female organism|adult brain|P{VT016114-GAL4.DBD} ∩ P{VT032900-p65.AD} expression pattern	JRC2018Unisex_c	SS25868|JRC_SS25868	FlyLightSplit:SS25868|FlyLightSplitSlideCode:20161007_26_E1|jrc_slide_code_api:20161007_26_E1|neuronbridge:SS25868	tile(s): 'right_central, right_optic_lobe (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil', mounting protocol: 'DPX PBS Mounting', slide_code: '20161007_26_E1', age: 'Adult'	expression pattern fragment
63x-Brain-2328773006005895205	JRC_SS25868_Brain_20161007_26_E2_63x	female organism|adult brain|P{VT016114-GAL4.DBD} ∩ P{VT032900-p65.AD} expression pattern	JRC2018Unisex_c	SS25868|JRC_SS25868	FlyLightSplit:SS25868|FlyLightSplitSlideCode:20161007_26_E2|jrc_slide_code_api:20161007_26_E2|neuronbridge:SS25868	tile(s): 'left_optic_lobe (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20161007_26_E2', age: 'Adult'	expression pattern fragment
63x-Brain-2328773006165278757	JRC_SS25868_Brain_20161007_26_E3_63x	female organism|adult brain|P{VT016114-GAL4.DBD} ∩ P{VT032900-p65.AD} expression pattern	JRC2018Unisex_c	SS25868|JRC_SS25868	FlyLightSplit:SS25868|FlyLightSplitSlideCode:20161007_26_E3|jrc_slide_code_api:20161007_26_E3|neuronbridge:SS25868	tile(s): 'left_optic_lobe (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20161007_26_E3', age: 'Adult'	expression pattern fragment
