filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
63x-Brain-1934351739956232290	JRC_OL0016B_Brain_20130916_19_B1_63x	female organism|adult brain|P{R14C08-GAL4.DBD} ∩ P{R22H02-p65.AD} expression pattern	JRC2018Unisex_c	OL0016B|GMR_OL0016B|JRC_OL0016B	FlyLightRaw:OL0016B|FlyLightRawSlideCode:20130916_19_B1|jrc_slide_code_api:20130916_19_B1	tile(s): 'left_dorsal, left_optic_lobe, ventral (partial brain image, check tile names for imaged regions)', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130916_19_B1', age: 'Adult'	expression pattern fragment
63x-Brain-1934351741701062754	JRC_OL0016B_Brain_20130916_19_B2_63x	female organism|adult brain|P{R14C08-GAL4.DBD} ∩ P{R22H02-p65.AD} expression pattern	JRC2018Unisex_c	OL0016B|GMR_OL0016B|JRC_OL0016B	FlyLightRaw:OL0016B|FlyLightRawSlideCode:20130916_19_B2|jrc_slide_code_api:20130916_19_B2	tile(s): 'right_dorsal, right_optic_lobe, ventral (partial brain image, check tile names for imaged regions)', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130916_19_B2', age: 'Adult'	expression pattern fragment
63x-Brain-1934351744033095778	JRC_OL0016B_Brain_20130916_19_B4_63x	female organism|adult brain|P{R14C08-GAL4.DBD} ∩ P{R22H02-p65.AD} expression pattern	JRC2018Unisex_c	OL0016B|GMR_OL0016B|JRC_OL0016B	FlyLightRaw:OL0016B|FlyLightRawSlideCode:20130916_19_B4|jrc_slide_code_api:20130916_19_B4	tile(s): 'right_dorsal, right_optic_lobe, ventral (partial brain image, check tile names for imaged regions)', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130916_19_B4', age: 'Adult'	expression pattern fragment
63x-Brain-1934351748068016226	JRC_OL0016B_Brain_20130916_19_B7_63x	female organism|adult brain|P{R14C08-GAL4.DBD} ∩ P{R22H02-p65.AD} expression pattern	JRC2018Unisex_c	OL0016B|GMR_OL0016B|JRC_OL0016B	FlyLightRaw:OL0016B|FlyLightRawSlideCode:20130916_19_B7|jrc_slide_code_api:20130916_19_B7	tile(s): 'right_dorsal, right_optic_lobe, ventral (partial brain image, check tile names for imaged regions)', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130916_19_B7', age: 'Adult'	expression pattern fragment
63x-Brain-1934351750177751138	JRC_OL0016B_Brain_20130916_19_B8_63x	female organism|adult brain|P{R14C08-GAL4.DBD} ∩ P{R22H02-p65.AD} expression pattern	JRC2018Unisex_c	OL0016B|GMR_OL0016B|JRC_OL0016B	FlyLightRaw:OL0016B|FlyLightRawSlideCode:20130916_19_B8|jrc_slide_code_api:20130916_19_B8	tile(s): 'right_dorsal, right_optic_lobe, ventral (partial brain image, check tile names for imaged regions)', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130916_19_B8', age: 'Adult'	expression pattern fragment
63x-Brain-1958772012553863266	JRC_OL0016B_Brain_20131125_33_F2_63x	female organism|adult brain|P{R14C08-GAL4.DBD} ∩ P{R22H02-p65.AD} expression pattern	JRC2018Unisex_c	OL0016B|GMR_OL0016B|JRC_OL0016B	FlyLightRaw:OL0016B|FlyLightRawSlideCode:20131125_33_F2|jrc_slide_code_api:20131125_33_F2	tile(s): 'left_dorsal, left_optic_lobe, ventral (partial brain image, check tile names for imaged regions)', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131125_33_F2', age: 'Adult'	expression pattern fragment
63x-Brain-1958772029284941922	JRC_OL0016B_Brain_20131125_33_F6_63x	female organism|adult brain|P{R14C08-GAL4.DBD} ∩ P{R22H02-p65.AD} expression pattern	JRC2018Unisex_c	OL0016B|GMR_OL0016B|JRC_OL0016B	FlyLightRaw:OL0016B|FlyLightRawSlideCode:20131125_33_F6|jrc_slide_code_api:20131125_33_F6	tile(s): 'left_dorsal, left_optic_lobe, ventral (partial brain image, check tile names for imaged regions)', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131125_33_F6', age: 'Adult'	expression pattern fragment
63x-Brain-1958772038600491106	JRC_OL0016B_Brain_20131125_33_F7_63x	female organism|adult brain|P{R14C08-GAL4.DBD} ∩ P{R22H02-p65.AD} expression pattern	JRC2018Unisex_c	OL0016B|GMR_OL0016B|JRC_OL0016B	FlyLightRaw:OL0016B|FlyLightRawSlideCode:20131125_33_F7|jrc_slide_code_api:20131125_33_F7	tile(s): 'right_dorsal, right_optic_lobe, ventral (partial brain image, check tile names for imaged regions)', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131125_33_F7', age: 'Adult'	expression pattern fragment
63x-Brain-1958772046796161122	JRC_OL0016B_Brain_20131125_33_F8_63x	female organism|adult brain|P{R14C08-GAL4.DBD} ∩ P{R22H02-p65.AD} expression pattern	JRC2018Unisex_c	OL0016B|GMR_OL0016B|JRC_OL0016B	FlyLightSplit:OL0016B|FlyLightSplitSlideCode:20131125_33_F8|jrc_slide_code_api:20131125_33_F8|neuronbridge:OL0016B	tile(s): 'left_dorsal, left_optic_lobe, ventral (partial brain image, check tile names for imaged regions)', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131125_33_F8', age: 'Adult'	expression pattern fragment
63x-Brain-2257345808233922658	JRC_SS05037_Brain_20160311_22_B2_63x	female organism|adult brain|P{R45F08-GAL4.DBD} ∩ P{R85F11-p65.AD} expression pattern	JRC2018Unisex_c	SS05037|JRC_SS05037	FlyLightRaw:SS05037|FlyLightRawSlideCode:20160311_22_B2|jrc_slide_code_api:20160311_22_B2	tile(s): 'right_dorsal, right_optic_lobe (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160311_22_B2', age: 'Adult'	expression pattern fragment
