filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
20x-Brain-2650114961069572194	JRC_SS59453_Brain_20190301_20_C1_20x	female organism|adult brain|P{R35C10-GAL4.DBD} ∩ P{R60G04-p65.AD} expression pattern	JRC2018Unisex_c	SS59453|JRC_SS59453	FlyLightRaw:SS59453|FlyLightRawSlideCode:20190301_20_C1|jrc_slide_code_api:20190301_20_C1	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190301_20_C1', age: 'Adult'	expression pattern fragment
20x-Brain-2650114961161846882	JRC_SS59453_Brain_20190301_20_C2_20x	female organism|adult brain|P{R35C10-GAL4.DBD} ∩ P{R60G04-p65.AD} expression pattern	JRC2018Unisex_c	SS59453|JRC_SS59453	FlyLightRaw:SS59453|FlyLightRawSlideCode:20190301_20_C2|jrc_slide_code_api:20190301_20_C2	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190301_20_C2', age: 'Adult'	expression pattern fragment
20x-Brain-2650114961350590562	JRC_SS59453_Brain_20190301_20_C4_20x	female organism|adult brain|P{R35C10-GAL4.DBD} ∩ P{R60G04-p65.AD} expression pattern	JRC2018Unisex_c	SS59453|JRC_SS59453	FlyLightRaw:SS59453|FlyLightRawSlideCode:20190301_20_C4|jrc_slide_code_api:20190301_20_C4	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190301_20_C4', age: 'Adult'	expression pattern fragment
20x-Brain-2650114961442865250	JRC_SS59453_Brain_20190301_20_C5_20x	female organism|adult brain|P{R35C10-GAL4.DBD} ∩ P{R60G04-p65.AD} expression pattern	JRC2018Unisex_c	SS59453|JRC_SS59453	FlyLightRaw:SS59453|FlyLightRawSlideCode:20190301_20_C5|jrc_slide_code_api:20190301_20_C5	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190301_20_C5', age: 'Adult'	expression pattern fragment
20x-Brain-2650114961631608930	JRC_SS59453_Brain_20190301_20_C7_20x	female organism|adult brain|P{R35C10-GAL4.DBD} ∩ P{R60G04-p65.AD} expression pattern	JRC2018Unisex_c	SS59453|JRC_SS59453	FlyLightRaw:SS59453|FlyLightRawSlideCode:20190301_20_C7|jrc_slide_code_api:20190301_20_C7	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190301_20_C7', age: 'Adult'	expression pattern fragment
20x-Brain-2650114961728077922	JRC_SS59453_Brain_20190301_20_C8_20x	female organism|adult brain|P{R35C10-GAL4.DBD} ∩ P{R60G04-p65.AD} expression pattern	JRC2018Unisex_c	SS59453|JRC_SS59453	FlyLightRaw:SS59453|FlyLightRawSlideCode:20190301_20_C8|jrc_slide_code_api:20190301_20_C8	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190301_20_C8', age: 'Adult'	expression pattern fragment
20x-Brain-2650114961820352610	JRC_SS59453_Brain_20190301_20_D1_20x	female organism|adult brain|P{R35C10-GAL4.DBD} ∩ P{R60G04-p65.AD} expression pattern	JRC2018Unisex_c	SS59453|JRC_SS59453	FlyLightRaw:SS59453|FlyLightRawSlideCode:20190301_20_D1|jrc_slide_code_api:20190301_20_D1	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190301_20_D1', age: 'Adult'	expression pattern fragment
20x-Brain-2726193582955298914	JRC_SS59453_Brain_20191004_25_A2_20x	female organism|adult brain|P{R35C10-GAL4.DBD} ∩ P{R60G04-p65.AD} expression pattern	JRC2018Unisex_c	SS59453|JRC_SS59453	FlyLightRaw:SS59453|FlyLightRawSlideCode:20191004_25_A2|jrc_slide_code_api:20191004_25_A2	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20191004_25_A2', age: 'Adult'	expression pattern fragment
20x-Brain-2726193583156625506	JRC_SS59453_Brain_20191004_25_A3_20x	female organism|adult brain|P{R35C10-GAL4.DBD} ∩ P{R60G04-p65.AD} expression pattern	JRC2018Unisex_c	SS59453|JRC_SS59453	FlyLightSplit:SS59453|FlyLightSplitSlideCode:20191004_25_A3|jrc_slide_code_api:20191004_25_A3|neuronbridge:SS59453	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20191004_25_A3', age: 'Adult'	expression pattern fragment
20x-Brain-2726193583357952098	JRC_SS59453_Brain_20191004_25_A4_20x	female organism|adult brain|P{R35C10-GAL4.DBD} ∩ P{R60G04-p65.AD} expression pattern	JRC2018Unisex_c	SS59453|JRC_SS59453	FlyLightRaw:SS59453|FlyLightRawSlideCode:20191004_25_A4|jrc_slide_code_api:20191004_25_A4	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20191004_25_A4', age: 'Adult'	expression pattern fragment
20x-Brain-2726193583559278690	JRC_SS59453_Brain_20191004_25_A5_20x	female organism|adult brain|P{R35C10-GAL4.DBD} ∩ P{R60G04-p65.AD} expression pattern	JRC2018Unisex_c	SS59453|JRC_SS59453	FlyLightRaw:SS59453|FlyLightRawSlideCode:20191004_25_A5|jrc_slide_code_api:20191004_25_A5	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20191004_25_A5', age: 'Adult'	expression pattern fragment
