filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
20x-Brain-2210443418914521186	JRC_SS02565_Brain_20150507_20_D1_20x	female organism|adult brain|P{VT040566-GAL4.DBD} ∩ PBac{R55C09-p65.AD} expression pattern	JRC2018Unisex_c	SS02565|GMR_SS02565|JRC_SS02565	FlyLightRaw:SS02565|FlyLightRawSlideCode:20150507_20_D1|jrc_slide_code_api:20150507_20_D1	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150507_20_D1', age: 'Adult'	expression pattern fragment
20x-Brain-2139966190435434594	JRC_SS02565_Brain_20150507_20_D2_20x	female organism|adult brain|P{VT040566-GAL4.DBD} ∩ PBac{R55C09-p65.AD} expression pattern	JRC2018Unisex_c	SS02565|GMR_SS02565|JRC_SS02565	FlyLightRaw:SS02565|FlyLightRawSlideCode:20150507_20_D2|jrc_slide_code_api:20150507_20_D2	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150507_20_D2', age: 'Adult'	expression pattern fragment
20x-Brain-2139966235029274722	JRC_SS02565_Brain_20150507_20_D3_20x	female organism|adult brain|P{VT040566-GAL4.DBD} ∩ PBac{R55C09-p65.AD} expression pattern	JRC2018Unisex_c	SS02565|GMR_SS02565|JRC_SS02565	FlyLightRaw:SS02565|FlyLightRawSlideCode:20150507_20_D3|jrc_slide_code_api:20150507_20_D3	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150507_20_D3', age: 'Adult'	expression pattern fragment
20x-Brain-2210443605493940322	JRC_SS02565_Brain_20150507_20_D4_20x	female organism|adult brain|P{VT040566-GAL4.DBD} ∩ PBac{R55C09-p65.AD} expression pattern	JRC2018Unisex_c	SS02565|GMR_SS02565|JRC_SS02565	FlyLightRaw:SS02565|FlyLightRawSlideCode:20150507_20_D4|jrc_slide_code_api:20150507_20_D4	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150507_20_D4', age: 'Adult'	expression pattern fragment
20x-Brain-2139966258118918242	JRC_SS02565_Brain_20150507_20_D5_20x	female organism|adult brain|P{VT040566-GAL4.DBD} ∩ PBac{R55C09-p65.AD} expression pattern	JRC2018Unisex_c	SS02565|GMR_SS02565|JRC_SS02565	FlyLightRaw:SS02565|FlyLightRawSlideCode:20150507_20_D5|jrc_slide_code_api:20150507_20_D5	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150507_20_D5', age: 'Adult'	expression pattern fragment
20x-Brain-2210443797655978082	JRC_SS02565_Brain_20150507_20_D6_20x	female organism|adult brain|P{VT040566-GAL4.DBD} ∩ PBac{R55C09-p65.AD} expression pattern	JRC2018Unisex_c	SS02565|GMR_SS02565|JRC_SS02565	FlyLightRaw:SS02565|FlyLightRawSlideCode:20150507_20_D6|jrc_slide_code_api:20150507_20_D6	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150507_20_D6', age: 'Adult'	expression pattern fragment
20x-Brain-2139966284836634722	JRC_SS02565_Brain_20150507_20_D7_20x	female organism|adult brain|P{VT040566-GAL4.DBD} ∩ PBac{R55C09-p65.AD} expression pattern	JRC2018Unisex_c	SS02565|GMR_SS02565|JRC_SS02565	FlyLightRaw:SS02565|FlyLightRawSlideCode:20150507_20_D7|jrc_slide_code_api:20150507_20_D7	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150507_20_D7', age: 'Adult'	expression pattern fragment
20x-Brain-2210444021212381282	JRC_SS02565_Brain_20150507_20_D8_20x	female organism|adult brain|P{VT040566-GAL4.DBD} ∩ PBac{R55C09-p65.AD} expression pattern	JRC2018Unisex_c	SS02565|GMR_SS02565|JRC_SS02565	FlyLightRaw:SS02565|FlyLightRawSlideCode:20150507_20_D8|jrc_slide_code_api:20150507_20_D8	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150507_20_D8', age: 'Adult'	expression pattern fragment
63x-Brain-2210443418914521186	JRC_SS02565_Brain_20150507_20_D1_63x	female organism|adult brain|P{VT040566-GAL4.DBD} ∩ PBac{R55C09-p65.AD} expression pattern	JRC2018Unisex_c	SS02565|GMR_SS02565|JRC_SS02565	FlyLightRaw:SS02565|FlyLightRawSlideCode:20150507_20_D1|jrc_slide_code_api:20150507_20_D1	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe, ventral', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150507_20_D1', age: 'Adult'	expression pattern fragment
63x-Brain-2210443605493940322	JRC_SS02565_Brain_20150507_20_D4_63x	female organism|adult brain|P{VT040566-GAL4.DBD} ∩ PBac{R55C09-p65.AD} expression pattern	JRC2018Unisex_c	SS02565|GMR_SS02565|JRC_SS02565	FlyLightRaw:SS02565|FlyLightRawSlideCode:20150507_20_D4|jrc_slide_code_api:20150507_20_D4	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe, ventral', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150507_20_D4', age: 'Adult'	expression pattern fragment
