filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
20x-Brain-1877822622406803545	JRC_MB464B_Brain_20121022_19_C1_20x	female organism|adult brain|P{R41C07-GAL4.DBD} ∩ P{R35B12-p65.AD} expression pattern	JRC2018Unisex_c	MB464B|GMR_MB464B|JRC_MB464B	FlyLightRaw:MB464B|FlyLightRawSlideCode:20121022_19_C1|jrc_slide_code_api:20121022_19_C1	tile(s): 'brain', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20121022_19_C1', age: 'Adult'	expression pattern fragment
20x-Brain-1877822623895781465	JRC_MB464B_Brain_20121022_19_C2_20x	female organism|adult brain|P{R41C07-GAL4.DBD} ∩ P{R35B12-p65.AD} expression pattern	JRC2018Unisex_c	MB464B|GMR_MB464B|JRC_MB464B	FlyLightRaw:MB464B|FlyLightRawSlideCode:20121022_19_C2|jrc_slide_code_api:20121022_19_C2	tile(s): 'brain', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20121022_19_C2', age: 'Adult'	expression pattern fragment
20x-Brain-1877822624680116313	JRC_MB464B_Brain_20121022_19_C3_20x	female organism|adult brain|P{R41C07-GAL4.DBD} ∩ P{R35B12-p65.AD} expression pattern	JRC2018Unisex_c	MB464B|GMR_MB464B|JRC_MB464B	FlyLightRaw:MB464B|FlyLightRawSlideCode:20121022_19_C3|jrc_slide_code_api:20121022_19_C3	tile(s): 'brain', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20121022_19_C3', age: 'Adult'	expression pattern fragment
20x-Brain-1877822625271513177	JRC_MB464B_Brain_20121022_19_C4_20x	female organism|adult brain|P{R41C07-GAL4.DBD} ∩ P{R35B12-p65.AD} expression pattern	JRC2018Unisex_c	MB464B|GMR_MB464B|JRC_MB464B	FlyLightRaw:MB464B|FlyLightRawSlideCode:20121022_19_C4|jrc_slide_code_api:20121022_19_C4	tile(s): 'brain', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20121022_19_C4', age: 'Adult'	expression pattern fragment
20x-Brain-1877822625598668889	JRC_MB464B_Brain_20121022_19_C5_20x	female organism|adult brain|P{R41C07-GAL4.DBD} ∩ P{R35B12-p65.AD} expression pattern	JRC2018Unisex_c	MB464B|GMR_MB464B|JRC_MB464B	FlyLightRaw:MB464B|FlyLightRawSlideCode:20121022_19_C5|jrc_slide_code_api:20121022_19_C5	tile(s): 'brain', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20121022_19_C5', age: 'Adult'	expression pattern fragment
20x-Brain-1877822626873737305	JRC_MB464B_Brain_20121022_19_C6_20x	female organism|adult brain|P{R41C07-GAL4.DBD} ∩ P{R35B12-p65.AD} expression pattern	JRC2018Unisex_c	MB464B|GMR_MB464B|JRC_MB464B	FlyLightRaw:MB464B|FlyLightRawSlideCode:20121022_19_C6|jrc_slide_code_api:20121022_19_C6	tile(s): 'brain', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20121022_19_C6', age: 'Adult'	expression pattern fragment
20x-Brain-1877822628786339929	JRC_MB464B_Brain_20121022_19_D1_20x	female organism|adult brain|P{R41C07-GAL4.DBD} ∩ P{R35B12-p65.AD} expression pattern	JRC2018Unisex_c	MB464B|GMR_MB464B|JRC_MB464B	FlyLightRaw:MB464B|FlyLightRawSlideCode:20121022_19_D1|jrc_slide_code_api:20121022_19_D1	tile(s): 'brain', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20121022_19_D1', age: 'Adult'	expression pattern fragment
20x-Brain-1877822631508443225	JRC_MB464B_Brain_20121022_19_D2_20x	female organism|adult brain|P{R41C07-GAL4.DBD} ∩ P{R35B12-p65.AD} expression pattern	JRC2018Unisex_c	MB464B|GMR_MB464B|JRC_MB464B	FlyLightRaw:MB464B|FlyLightRawSlideCode:20121022_19_D2|jrc_slide_code_api:20121022_19_D2	tile(s): 'brain', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20121022_19_D2', age: 'Adult'	expression pattern fragment
20x-Brain-1877822634138271833	JRC_MB464B_Brain_20121022_19_D3_20x	female organism|adult brain|P{R41C07-GAL4.DBD} ∩ P{R35B12-p65.AD} expression pattern	JRC2018Unisex_c	MB464B|GMR_MB464B|JRC_MB464B	FlyLightRaw:MB464B|FlyLightRawSlideCode:20121022_19_D3|jrc_slide_code_api:20121022_19_D3	tile(s): 'brain', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20121022_19_D3', age: 'Adult'	expression pattern fragment
20x-Brain-1877822635912462425	JRC_MB464B_Brain_20121022_19_D4_20x	female organism|adult brain|P{R41C07-GAL4.DBD} ∩ P{R35B12-p65.AD} expression pattern	JRC2018Unisex_c	MB464B|GMR_MB464B|JRC_MB464B	FlyLightRaw:MB464B|FlyLightRawSlideCode:20121022_19_D4|jrc_slide_code_api:20121022_19_D4	tile(s): 'brain', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20121022_19_D4', age: 'Adult'	expression pattern fragment
