filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
63x-Brain-2589630428776239202	JRC_SS57877_Brain_20181002_31_A1_63x	male organism|adult brain|P{VT008473-GAL4.DBD} ∩ P{VT058716-p65.AD} expression pattern	JRC2018Unisex_c	SS57877|JRC_SS57877	FlyLightSplit:SS57877|FlyLightSplitSlideCode:20181002_31_A1|jrc_slide_code_api:20181002_31_A1|neuronbridge:SS57877	tile(s): 'left_central, right_central (partial brain image, check tile names for imaged regions)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181002_31_A1', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2589630428994338914	JRC_SS57877_Brain_20181002_31_A3_63x	female organism|adult brain|P{VT008473-GAL4.DBD} ∩ P{VT058716-p65.AD} expression pattern	JRC2018Unisex_c	SS57877|JRC_SS57877	FlyLightSplit:SS57877|FlyLightSplitSlideCode:20181002_31_A3|jrc_slide_code_api:20181002_31_A3|neuronbridge:SS57877	tile(s): 'left_central, right_central (partial brain image, check tile names for imaged regions)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181002_31_A3', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2593147063768186978	JRC_SS57878_Brain_20181002_32_G2_63x	female organism|adult brain|P{VT008473-GAL4.DBD} ∩ P{R12D09-p65.AD} expression pattern	JRC2018Unisex_c	SS57878|JRC_SS57878	FlyLightSplit:SS57878|FlyLightSplitSlideCode:20181002_32_G2|jrc_slide_code_api:20181002_32_G2|neuronbridge:SS57878	tile(s): 'central, left_central, right_central (partial brain image, check tile names for imaged regions)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181002_32_G2', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2593147063986290786	JRC_SS57878_Brain_20181002_32_G4_63x	male organism|adult brain|P{VT008473-GAL4.DBD} ∩ P{R12D09-p65.AD} expression pattern	JRC2018Unisex_c	SS57878|JRC_SS57878	FlyLightSplit:SS57878|FlyLightSplitSlideCode:20181002_32_G4|jrc_slide_code_api:20181002_32_G4|neuronbridge:SS57878	tile(s): 'central, left_central, right_central (partial brain image, check tile names for imaged regions)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181002_32_G4', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2640278230933700706	JRC_SS60199_Brain_20190206_34_D1_63x	male organism|adult brain|P{VT002215-GAL4.DBD} ∩ P{VT017181-p65.AD} expression pattern	JRC2018Unisex_c	SS60199|JRC_SS60199	FlyLightSplit:SS60199|FlyLightSplitSlideCode:20190206_34_D1|jrc_slide_code_api:20190206_34_D1|neuronbridge:SS60199	tile(s): 'left_central, right_central (partial brain image, check tile names for imaged regions)', effector genotype: 'UAS-Syt-HA, 20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190206_34_D1', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2640278231629955170	JRC_SS60200_Brain_20190206_34_E3_63x	female organism|adult brain|P{VT006537-GAL4.DBD} ∩ P{VT017181-p65.AD} expression pattern	JRC2018Unisex_c	SS60200|JRC_SS60200	FlyLightSplit:SS60200|FlyLightSplitSlideCode:20190206_34_E3|jrc_slide_code_api:20190206_34_E3|neuronbridge:SS60200	tile(s): 'dorsal_medial, left_central, right_central (partial brain image, check tile names for imaged regions)', effector genotype: 'UAS-Syt-HA, 20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190206_34_E3', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2640278231743201378	JRC_SS60200_Brain_20190206_34_E4_63x	male organism|adult brain|P{VT006537-GAL4.DBD} ∩ P{VT017181-p65.AD} expression pattern	JRC2018Unisex_c	SS60200|JRC_SS60200	FlyLightSplit:SS60200|FlyLightSplitSlideCode:20190206_34_E4|jrc_slide_code_api:20190206_34_E4|neuronbridge:SS60200	tile(s): 'left_central, right_central (partial brain image, check tile names for imaged regions)', effector genotype: 'UAS-Syt-HA, 20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190206_34_E4', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2704397490400002146	JRC_SS57877_Brain_20190816_19_C4_63x	female organism|adult brain|P{VT008473-GAL4.DBD} ∩ P{VT058716-p65.AD} expression pattern	JRC2018Unisex_c	SS57877|JRC_SS57877	FlyLightRaw:SS57877|FlyLightRawSlideCode:20190816_19_C4|jrc_slide_code_api:20190816_19_C4	tile(s): 'left_central, right_central (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190816_19_C4', age: 'Adult'	expression pattern fragment
63x-Brain-2704397491519881314	JRC_SS57877_Brain_20190816_19_D4_63x	male organism|adult brain|P{VT008473-GAL4.DBD} ∩ P{VT058716-p65.AD} expression pattern	JRC2018Unisex_c	SS57877|JRC_SS57877	FlyLightRaw:SS57877|FlyLightRawSlideCode:20190816_19_D4|jrc_slide_code_api:20190816_19_D4	tile(s): 'right_central (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190816_19_D4', age: 'Adult'	expression pattern fragment
63x-Brain-2704397491800899682	JRC_SS57877_Brain_20190816_19_D6_63x	male organism|adult brain|P{VT008473-GAL4.DBD} ∩ P{VT058716-p65.AD} expression pattern	JRC2018Unisex_c	SS57877|JRC_SS57877	FlyLightRaw:SS57877|FlyLightRawSlideCode:20190816_19_D6|jrc_slide_code_api:20190816_19_D6	tile(s): 'left_central, right_central (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190816_19_D6', age: 'Adult'	expression pattern fragment
63x-Brain-2704397492224524386	JRC_SS57878_Brain_20190816_19_E1_63x	female organism|adult brain|P{VT008473-GAL4.DBD} ∩ P{R12D09-p65.AD} expression pattern	JRC2018Unisex_c	SS57878|JRC_SS57878	FlyLightRaw:SS57878|FlyLightRawSlideCode:20190816_19_E1|jrc_slide_code_api:20190816_19_E1	tile(s): 'right_dorsal (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190816_19_E1', age: 'Adult'	expression pattern fragment
