filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
20x-Brain-2078668683286151266	JRC_SS02408_Brain_20141114_20_A1_20x	female organism|adult brain|P{VT044492-GAL4.DBD} ∩ P{VT004319-p65.AD} expression pattern	JRC2018Unisex_c	SS02408|BJD_SS02408|JRC_SS02408	FlyLightSplit:SS02408|FlyLightSplitSlideCode:20141114_20_A1|jrc_slide_code_api:20141114_20_A1|neuronbridge:SS02408	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141114_20_A1', age: 'Adult'	expression pattern fragment
20x-Brain-2210350892085936226	JRC_SS02408_Brain_20141114_20_A2_20x	female organism|adult brain|P{VT044492-GAL4.DBD} ∩ P{VT004319-p65.AD} expression pattern	JRC2018Unisex_c	SS02408|BJD_SS02408|JRC_SS02408	FlyLightSplit:SS02408|FlyLightSplitSlideCode:20141114_20_A2|jrc_slide_code_api:20141114_20_A2|neuronbridge:SS02408	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141114_20_A2', age: 'Adult'	expression pattern fragment
20x-Brain-2210351409843404898	JRC_SS02408_Brain_20141114_20_A3_20x	female organism|adult brain|P{VT044492-GAL4.DBD} ∩ P{VT004319-p65.AD} expression pattern	JRC2018Unisex_c	SS02408|BJD_SS02408|JRC_SS02408	FlyLightSplit:SS02408|FlyLightSplitSlideCode:20141114_20_A3|jrc_slide_code_api:20141114_20_A3|neuronbridge:SS02408	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141114_20_A3', age: 'Adult'	expression pattern fragment
20x-Brain-2078668686805172322	JRC_SS02408_Brain_20141114_20_A4_20x	female organism|adult brain|P{VT044492-GAL4.DBD} ∩ P{VT004319-p65.AD} expression pattern	JRC2018Unisex_c	SS02408|BJD_SS02408|JRC_SS02408	FlyLightSplit:SS02408|FlyLightSplitSlideCode:20141114_20_A4|jrc_slide_code_api:20141114_20_A4|neuronbridge:SS02408	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141114_20_A4', age: 'Adult'	expression pattern fragment
20x-Brain-2078668687841165410	JRC_SS02408_Brain_20141114_20_A5_20x	female organism|adult brain|P{VT044492-GAL4.DBD} ∩ P{VT004319-p65.AD} expression pattern	JRC2018Unisex_c	SS02408|BJD_SS02408|JRC_SS02408	FlyLightSplit:SS02408|FlyLightSplitSlideCode:20141114_20_A5|jrc_slide_code_api:20141114_20_A5|neuronbridge:SS02408	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141114_20_A5', age: 'Adult'	expression pattern fragment
20x-Brain-2210351533256605794	JRC_SS02408_Brain_20141114_20_A6_20x	female organism|adult brain|P{VT044492-GAL4.DBD} ∩ P{VT004319-p65.AD} expression pattern	JRC2018Unisex_c	SS02408|BJD_SS02408|JRC_SS02408	FlyLightSplit:SS02408|FlyLightSplitSlideCode:20141114_20_A6|jrc_slide_code_api:20141114_20_A6|neuronbridge:SS02408	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141114_20_A6', age: 'Adult'	expression pattern fragment
20x-Brain-2210351837947625570	JRC_SS02408_Brain_20141114_20_A7_20x	female organism|adult brain|P{VT044492-GAL4.DBD} ∩ P{VT004319-p65.AD} expression pattern	JRC2018Unisex_c	SS02408|BJD_SS02408|JRC_SS02408	FlyLightSplit:SS02408|FlyLightSplitSlideCode:20141114_20_A7|jrc_slide_code_api:20141114_20_A7|neuronbridge:SS02408	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141114_20_A7', age: 'Adult'	expression pattern fragment
20x-Brain-2078668691079168098	JRC_SS02408_Brain_20141114_20_A8_20x	female organism|adult brain|P{VT044492-GAL4.DBD} ∩ P{VT004319-p65.AD} expression pattern	JRC2018Unisex_c	SS02408|BJD_SS02408|JRC_SS02408	FlyLightSplit:SS02408|FlyLightSplitSlideCode:20141114_20_A8|jrc_slide_code_api:20141114_20_A8|neuronbridge:SS02408	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141114_20_A8', age: 'Adult'	expression pattern fragment
20x-Brain-2081681546976165986	JRC_SS02440_Brain_20141120_19_A1_20x	female organism|adult brain|P{VT048331-GAL4.DBD} ∩ P{VT029598-p65.AD} expression pattern	JRC2018Unisex_c	SS02440|BJD_SS02440|JRC_SS02440	FlyLightSplit:SS02440|FlyLightSplitSlideCode:20141120_19_A1|jrc_slide_code_api:20141120_19_A1|neuronbridge:SS02440	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141120_19_A1', age: 'Adult'	expression pattern fragment
20x-Brain-2210357290651877474	JRC_SS02440_Brain_20141120_19_A2_20x	female organism|adult brain|P{VT048331-GAL4.DBD} ∩ P{VT029598-p65.AD} expression pattern	JRC2018Unisex_c	SS02440|BJD_SS02440|JRC_SS02440	FlyLightSplit:SS02440|FlyLightSplitSlideCode:20141120_19_A2|jrc_slide_code_api:20141120_19_A2|neuronbridge:SS02440	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141120_19_A2', age: 'Adult'	expression pattern fragment
