filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
20x-Brain-1943132681525002247	JRC_SS00098_Brain_20130429_19_E3_20x	female organism|adult brain|P{R93G12-GAL4.DBD} ∩ P{R19G02-p65.AD} expression pattern	JRC2018Unisex_c	SS00098|GMR_SS00098|JRC_SS00098	FlyLightSplit:SS00098|FlyLightSplitSlideCode:20130429_19_E3|jrc_slide_code_api:20130429_19_E3|neuronbridge:SS00098	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130429_19_E3', age: 'Day 6-10'	expression pattern fragment
20x-Brain-2471080459337990242	JRC_SS47384_Brain_20171110_22_F3_20x	female organism|adult brain|P{VT008882-GAL4.DBD} ∩ P{VT048946-p65.AD} expression pattern	JRC2018Unisex_c	SS47384|JRC_SS47384	FlyLightSplit:SS47384|FlyLightSplitSlideCode:20171110_22_F3|jrc_slide_code_api:20171110_22_F3|neuronbridge:SS47384	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20171110_22_F3', age: 'Adult'	expression pattern fragment
20x-Brain-2479001845251440738	JRC_SS47410_Brain_20171122_21_A1_20x	female organism|adult brain|P{VT003229-GAL4.DBD} ∩ P{VT008882-p65.AD} expression pattern	JRC2018Unisex_c	SS47410|JRC_SS47410	FlyLightRaw:SS47410|FlyLightRawSlideCode:20171122_21_A1|jrc_slide_code_api:20171122_21_A1	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20171122_21_A1', age: 'Adult'	expression pattern fragment
20x-Brain-2479001845347909730	JRC_SS47410_Brain_20171122_21_A2_20x	female organism|adult brain|P{VT003229-GAL4.DBD} ∩ P{VT008882-p65.AD} expression pattern	JRC2018Unisex_c	SS47410|JRC_SS47410	FlyLightRaw:SS47410|FlyLightRawSlideCode:20171122_21_A2|jrc_slide_code_api:20171122_21_A2	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20171122_21_A2', age: 'Adult'	expression pattern fragment
20x-Brain-2479001845545042018	JRC_SS47410_Brain_20171122_21_A4_20x	female organism|adult brain|P{VT003229-GAL4.DBD} ∩ P{VT008882-p65.AD} expression pattern	JRC2018Unisex_c	SS47410|JRC_SS47410	FlyLightRaw:SS47410|FlyLightRawSlideCode:20171122_21_A4|jrc_slide_code_api:20171122_21_A4	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20171122_21_A4', age: 'Adult'	expression pattern fragment
20x-Brain-2479001845737980002	JRC_SS47410_Brain_20171122_21_A6_20x	female organism|adult brain|P{VT003229-GAL4.DBD} ∩ P{VT008882-p65.AD} expression pattern	JRC2018Unisex_c	SS47410|JRC_SS47410	FlyLightRaw:SS47410|FlyLightRawSlideCode:20171122_21_A6|jrc_slide_code_api:20171122_21_A6	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20171122_21_A6', age: 'Adult'	expression pattern fragment
20x-Brain-2479001845935112290	JRC_SS47410_Brain_20171122_21_A8_20x	female organism|adult brain|P{VT003229-GAL4.DBD} ∩ P{VT008882-p65.AD} expression pattern	JRC2018Unisex_c	SS47410|JRC_SS47410	FlyLightRaw:SS47410|FlyLightRawSlideCode:20171122_21_A8|jrc_slide_code_api:20171122_21_A8	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20171122_21_A8', age: 'Adult'	expression pattern fragment
20x-Brain-2719706191562276962	JRC_SS47410_Brain_20190920_22_J1_20x	female organism|adult brain|P{VT003229-GAL4.DBD} ∩ P{VT008882-p65.AD} expression pattern	JRC2018Unisex_c	SS47410|JRC_SS47410	FlyLightRaw:SS47410|FlyLightRawSlideCode:20190920_22_J1|jrc_slide_code_api:20190920_22_J1	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190920_22_J1', age: 'Adult'	expression pattern fragment
20x-Brain-2719706191780380770	JRC_SS47410_Brain_20190920_22_J2_20x	female organism|adult brain|P{VT003229-GAL4.DBD} ∩ P{VT008882-p65.AD} expression pattern	JRC2018Unisex_c	SS47410|JRC_SS47410	FlyLightRaw:SS47410|FlyLightRawSlideCode:20190920_22_J2|jrc_slide_code_api:20190920_22_J2	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190920_22_J2', age: 'Adult'	expression pattern fragment
20x-Brain-2719706191998484578	JRC_SS47410_Brain_20190920_22_J3_20x	female organism|adult brain|P{VT003229-GAL4.DBD} ∩ P{VT008882-p65.AD} expression pattern	JRC2018Unisex_c	SS47410|JRC_SS47410	FlyLightRaw:SS47410|FlyLightRawSlideCode:20190920_22_J3|jrc_slide_code_api:20190920_22_J3	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190920_22_J3', age: 'Adult'	expression pattern fragment
