filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-2511716191395905634	JRC_SS31543_Brain_20180223_42_A5_20x	P{VT025783-p65.AD}	P{R11D09-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS31543|JRC_SS31543	FlyLightSplit:SS31543|FlyLightSplitSlideCode:20180223_42_A5|jrc_slide_code_api:20180223_42_A5|neuronbridge:SS31543	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180223_42_A5', age: 'Day 1-5'
20x-Brain-2521031325536747618	JRC_SS49776_Brain_20180323_46_A4_20x	P{VT012768-p65.AD}	P{R20A03-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS49776|JRC_SS49776	FlyLightSplit:SS49776|FlyLightSplitSlideCode:20180323_46_A4|jrc_slide_code_api:20180323_46_A4|neuronbridge:SS49776	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180323_46_A4', age: 'Day 1-5'
20x-Brain-2524024133210079330	JRC_SS51523_Brain_20180323_48_B2_20x	P{R45G01-p65.AD}	P{VT041692-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS51523|JRC_SS51523	FlyLightSplit:SS51523|FlyLightSplitSlideCode:20180323_48_B2|jrc_slide_code_api:20180323_48_B2|neuronbridge:SS51523	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180323_48_B2', age: 'Day 6-10'
20x-Brain-2534531214434369634	JRC_SS49776_Brain_20180427_47_B1_20x	P{VT012768-p65.AD}	P{R20A03-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS49776|JRC_SS49776	FlyLightSplit:SS49776|FlyLightSplitSlideCode:20180427_47_B1|jrc_slide_code_api:20180427_47_B1|neuronbridge:SS49776	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180427_47_B1', age: 'Day 1-5'
20x-Brain-2547599722906910818	JRC_SS44057_Brain_20180601_45_A3_20x	PBac{R23B05-p65.AD}	P{VT043294-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS44057|JRC_SS44057	FlyLightSplit:SS44057|FlyLightSplitSlideCode:20180601_45_A3|jrc_slide_code_api:20180601_45_A3|neuronbridge:SS44057	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180601_45_A3', age: 'Day 1-5'
20x-Brain-2547599723397644386	JRC_SS47161_Brain_20180601_45_B2_20x	P{VT042734-p65.AD}	P{R31D08-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS47161|JRC_SS47161	FlyLightSplit:SS47161|FlyLightSplitSlideCode:20180601_45_B2|jrc_slide_code_api:20180601_45_B2|neuronbridge:SS47161	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180601_45_B2', age: 'Day 1-5'
20x-Brain-2547601154859073634	JRC_SS53378_Brain_20180601_45_C5_20x	P{VT061927-p65.AD}	P{VT045575-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS53378|JRC_SS53378	FlyLightSplit:SS53378|FlyLightSplitSlideCode:20180601_45_C5|jrc_slide_code_api:20180601_45_C5|neuronbridge:SS53378	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180601_45_C5', age: 'Day 1-5'
20x-Brain-2584170997921874018	JRC_SS54474_Brain_20180907_43_A3_20x	P{VT014604-p65.AD}	P{R46C02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS54474|JRC_SS54474	FlyLightSplit:SS54474|FlyLightSplitSlideCode:20180907_43_A3|jrc_slide_code_api:20180907_43_A3|neuronbridge:SS54474	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180907_43_A3', age: 'Day 1-5'
20x-Brain-2636391087349956706	JRC_SS48311_Brain_20190201_46_B5_20x	P{VT042734-p65.AD}	P{VT061919-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS48311|JRC_SS48311	FlyLightSplit:SS48311|FlyLightSplitSlideCode:20190201_46_B5|jrc_slide_code_api:20190201_46_B5|neuronbridge:SS48311	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190201_46_B5', age: 'Day 1-5'
20x-Brain-2655214735296823394	JRC_SS40783_Brain_20190322_46_C5_20x	P{VT008681-p65.AD}	P{VT018838-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS40783|JRC_SS40783	FlyLightSplit:SS40783|FlyLightSplitSlideCode:20190322_46_C5|jrc_slide_code_api:20190322_46_C5|neuronbridge:SS40783	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190322_46_C5', age: 'Day 1-5'
