filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-2272472042542465061	JRC_SS26656_Brain_20160511_31_D1_20x	P{VT016273-p65.AD}	P{VT050279-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS26656|JRC_SS26656	FlyLightRaw:SS26656|FlyLightRawSlideCode:20160511_31_D1|jrc_slide_code_api:20160511_31_D1	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160511_31_D1', age: 'Day 1-5'
20x-Brain-2272472043012227109	JRC_SS26656_Brain_20160511_31_D2_20x	P{VT016273-p65.AD}	P{VT050279-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS26656|JRC_SS26656	FlyLightSplit:SS26656|FlyLightSplitSlideCode:20160511_31_D2|jrc_slide_code_api:20160511_31_D2|neuronbridge:SS26656	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160511_31_D2', age: 'Day 1-5'
20x-Brain-2272472043523932197	JRC_SS26656_Brain_20160511_31_D3_20x	P{VT016273-p65.AD}	P{VT050279-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS26656|JRC_SS26656	FlyLightSplit:SS26656|FlyLightSplitSlideCode:20160511_31_D3|jrc_slide_code_api:20160511_31_D3|neuronbridge:SS26656	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160511_31_D3', age: 'Day 1-5'
20x-Brain-2272472043981111333	JRC_SS26656_Brain_20160511_31_D4_20x	P{VT016273-p65.AD}	P{VT050279-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS26656|JRC_SS26656	FlyLightRaw:SS26656|FlyLightRawSlideCode:20160511_31_D4|jrc_slide_code_api:20160511_31_D4	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160511_31_D4', age: 'Day 1-5'
20x-Brain-2272472044421513253	JRC_SS26656_Brain_20160511_31_D5_20x	P{VT016273-p65.AD}	P{VT050279-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS26656|JRC_SS26656	FlyLightRaw:SS26656|FlyLightRawSlideCode:20160511_31_D5|jrc_slide_code_api:20160511_31_D5	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160511_31_D5', age: 'Day 1-5'
20x-VNC-2272472042542465061	JRC_SS26656_VNC_20160511_31_D1_20x	P{VT016273-p65.AD}	P{VT050279-GAL4.DBD}	male organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS26656|JRC_SS26656	FlyLightRaw:SS26656|FlyLightRawSlideCode:20160511_31_D1|jrc_slide_code_api:20160511_31_D1	tile(s): 'ventral_nerve_cord', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160511_31_D1', age: 'Day 1-5'
20x-VNC-2272472043012227109	JRC_SS26656_VNC_20160511_31_D2_20x	P{VT016273-p65.AD}	P{VT050279-GAL4.DBD}	male organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS26656|JRC_SS26656	FlyLightSplit:SS26656|FlyLightSplitSlideCode:20160511_31_D2|jrc_slide_code_api:20160511_31_D2|neuronbridge:SS26656	tile(s): 'ventral_nerve_cord', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160511_31_D2', age: 'Day 1-5'
20x-VNC-2272472043523932197	JRC_SS26656_VNC_20160511_31_D3_20x	P{VT016273-p65.AD}	P{VT050279-GAL4.DBD}	male organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS26656|JRC_SS26656	FlyLightSplit:SS26656|FlyLightSplitSlideCode:20160511_31_D3|jrc_slide_code_api:20160511_31_D3|neuronbridge:SS26656	tile(s): 'ventral_nerve_cord', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160511_31_D3', age: 'Day 1-5'
20x-VNC-2272472043981111333	JRC_SS26656_VNC_20160511_31_D4_20x	P{VT016273-p65.AD}	P{VT050279-GAL4.DBD}	male organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS26656|JRC_SS26656	FlyLightRaw:SS26656|FlyLightRawSlideCode:20160511_31_D4|jrc_slide_code_api:20160511_31_D4	tile(s): 'ventral_nerve_cord', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160511_31_D4', age: 'Day 1-5'
20x-VNC-2272472044421513253	JRC_SS26656_VNC_20160511_31_D5_20x	P{VT016273-p65.AD}	P{VT050279-GAL4.DBD}	male organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS26656|JRC_SS26656	FlyLightRaw:SS26656|FlyLightRawSlideCode:20160511_31_D5|jrc_slide_code_api:20160511_31_D5	tile(s): 'ventral_nerve_cord', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160511_31_D5', age: 'Day 1-5'
