filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-2625171504735715426	JRC_SS59453_Brain_20181220_44_A3_20x	P{R60G04-p65.AD}	P{R35C10-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS59453|JRC_SS59453	FlyLightRaw:SS59453|FlyLightRawSlideCode:20181220_44_A3|jrc_slide_code_api:20181220_44_A3	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181220_44_A3', age: 'Day 1-5'
20x-Brain-2642897827600007266	JRC_SS59453_Brain_20190212_31_D1_20x	P{R60G04-p65.AD}	P{R35C10-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS59453|JRC_SS59453	FlyLightRaw:SS59453|FlyLightRawSlideCode:20190212_31_D1|jrc_slide_code_api:20190212_31_D1	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190212_31_D1', age: 'Day 1-5'
20x-Brain-2642897827725836386	JRC_SS59453_Brain_20190212_31_D2_20x	P{R60G04-p65.AD}	P{R35C10-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS59453|JRC_SS59453	FlyLightRaw:SS59453|FlyLightRawSlideCode:20190212_31_D2|jrc_slide_code_api:20190212_31_D2	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190212_31_D2', age: 'Day 1-5'
20x-Brain-2642897827851665506	JRC_SS59453_Brain_20190212_31_D3_20x	P{R60G04-p65.AD}	P{R35C10-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS59453|JRC_SS59453	FlyLightRaw:SS59453|FlyLightRawSlideCode:20190212_31_D3|jrc_slide_code_api:20190212_31_D3	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190212_31_D3', age: 'Day 1-5'
20x-Brain-2642897827981688930	JRC_SS59453_Brain_20190212_31_D4_20x	P{R60G04-p65.AD}	P{R35C10-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS59453|JRC_SS59453	FlyLightRaw:SS59453|FlyLightRawSlideCode:20190212_31_D4|jrc_slide_code_api:20190212_31_D4	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190212_31_D4', age: 'Day 1-5'
20x-Brain-2642897828090740834	JRC_SS59453_Brain_20190212_31_D5_20x	P{R60G04-p65.AD}	P{R35C10-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS59453|JRC_SS59453	FlyLightRaw:SS59453|FlyLightRawSlideCode:20190212_31_D5|jrc_slide_code_api:20190212_31_D5	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190212_31_D5', age: 'Day 1-5'
20x-Brain-2721069308040970338	JRC_SS59453_Brain_20190917_32_G1_20x	P{R60G04-p65.AD}	P{R35C10-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS59453|JRC_SS59453	FlyLightRaw:SS59453|FlyLightRawSlideCode:20190917_32_G1|jrc_slide_code_api:20190917_32_G1	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190917_32_G1', age: 'Day 1-5'
20x-Brain-2721069308175188066	JRC_SS59453_Brain_20190917_32_G2_20x	P{R60G04-p65.AD}	P{R35C10-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS59453|JRC_SS59453	FlyLightRaw:SS59453|FlyLightRawSlideCode:20190917_32_G2|jrc_slide_code_api:20190917_32_G2	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190917_32_G2', age: 'Day 1-5'
20x-Brain-2721069308330377314	JRC_SS59453_Brain_20190917_32_G3_20x	P{R60G04-p65.AD}	P{R35C10-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS59453|JRC_SS59453	FlyLightRaw:SS59453|FlyLightRawSlideCode:20190917_32_G3|jrc_slide_code_api:20190917_32_G3	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190917_32_G3', age: 'Day 1-5'
20x-Brain-2721069308468789346	JRC_SS59453_Brain_20190917_32_G4_20x	P{R60G04-p65.AD}	P{R35C10-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS59453|JRC_SS59453	FlyLightRaw:SS59453|FlyLightRawSlideCode:20190917_32_G4|jrc_slide_code_api:20190917_32_G4	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190917_32_G4', age: 'Day 1-5'
