filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-2149412714026369122	JRC_SS00319_Brain_20130604_33_A1_20x	P{R52D11-p65.AD}	P{R67E05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS00319|GMR_SS00319|JRC_SS00319	FlyLightSplit:SS00319|FlyLightSplitSlideCode:20130604_33_A1|jrc_slide_code_api:20130604_33_A1|neuronbridge:SS00319	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130604_33_A1', age: 'Day 1-5'
20x-Brain-2149412753163419746	JRC_SS00319_Brain_20130604_33_A2_20x	P{R52D11-p65.AD}	P{R67E05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS00319|GMR_SS00319|JRC_SS00319	FlyLightSplit:SS00319|FlyLightSplitSlideCode:20130604_33_A2|jrc_slide_code_api:20130604_33_A2|neuronbridge:SS00319	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130604_33_A2', age: 'Day 1-5'
20x-Brain-2149412775288373346	JRC_SS00319_Brain_20130604_33_A3_20x	P{R52D11-p65.AD}	P{R67E05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS00319|GMR_SS00319|JRC_SS00319	FlyLightSplit:SS00319|FlyLightSplitSlideCode:20130604_33_A3|jrc_slide_code_api:20130604_33_A3|neuronbridge:SS00319	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130604_33_A3', age: 'Day 1-5'
20x-Brain-1889491969231552610	JRC_SS00319_Brain_20130604_33_A4_20x	P{R52D11-p65.AD}	P{R67E05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS00319|GMR_SS00319|JRC_SS00319	FlyLightSplit:SS00319|FlyLightSplitSlideCode:20130604_33_A4|jrc_slide_code_api:20130604_33_A4|neuronbridge:SS00319	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130604_33_A4', age: 'Day 1-5'
20x-Brain-1889491974084362338	JRC_SS00319_Brain_20130604_33_A5_20x	P{R52D11-p65.AD}	P{R67E05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS00319|GMR_SS00319|JRC_SS00319	FlyLightSplit:SS00319|FlyLightSplitSlideCode:20130604_33_A5|jrc_slide_code_api:20130604_33_A5|neuronbridge:SS00319	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130604_33_A5', age: 'Day 1-5'
20x-Brain-1889492017956782178	JRC_SS00346_Brain_20130604_33_C1_20x	P{R22B12-p65.AD}	P{R60B09-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS00346|GMR_SS00346|JRC_SS00346	FlyLightSplit:SS00346|FlyLightSplitSlideCode:20130604_33_C1|jrc_slide_code_api:20130604_33_C1|neuronbridge:SS00346	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130604_33_C1', age: 'Day 1-5'
20x-Brain-1889492048118022242	JRC_SS00346_Brain_20130604_33_C3_20x	P{R22B12-p65.AD}	P{R60B09-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS00346|GMR_SS00346|JRC_SS00346	FlyLightSplit:SS00346|FlyLightSplitSlideCode:20130604_33_C3|jrc_slide_code_api:20130604_33_C3|neuronbridge:SS00346	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130604_33_C3', age: 'Day 1-5'
20x-Brain-1889492050856902754	JRC_SS00346_Brain_20130604_33_C4_20x	P{R22B12-p65.AD}	P{R60B09-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS00346|GMR_SS00346|JRC_SS00346	FlyLightSplit:SS00346|FlyLightSplitSlideCode:20130604_33_C4|jrc_slide_code_api:20130604_33_C4|neuronbridge:SS00346	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130604_33_C4', age: 'Day 1-5'
20x-Brain-2149413265854169186	JRC_SS00298_Brain_20130607_31_A2_20x	P{R13E04-p65.AD}	P{R55D04-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS00298|GMR_SS00298|JRC_SS00298	FlyLightSplit:SS00298|FlyLightSplitSlideCode:20130607_31_A2|jrc_slide_code_api:20130607_31_A2|neuronbridge:SS00298	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130607_31_A2', age: 'Day 1-5'
20x-Brain-2149413375531024482	JRC_SS00298_Brain_20130607_31_A3_20x	P{R13E04-p65.AD}	P{R55D04-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS00298|GMR_SS00298|JRC_SS00298	FlyLightSplit:SS00298|FlyLightSplitSlideCode:20130607_31_A3|jrc_slide_code_api:20130607_31_A3|neuronbridge:SS00298	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130607_31_A3', age: 'Day 1-5'
