filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-1969279852557107298	JRC_SS01010_Brain_20140121_31_J2_20x	P{R32A11-p65.AD}	P{R81E05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01010|GMR_SS01010|JRC_SS01010	FlyLightRaw:SS01010|FlyLightRawSlideCode:20140121_31_J2|jrc_slide_code_api:20140121_31_J2	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140121_31_J2', age: 'Day 1-5'
20x-Brain-1967034644511588450	JRC_SS01010_Brain_20140121_31_J4_20x	P{R32A11-p65.AD}	P{R81E05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01010|GMR_SS01010|JRC_SS01010	FlyLightRaw:SS01010|FlyLightRawSlideCode:20140121_31_J4|jrc_slide_code_api:20140121_31_J4	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140121_31_J4', age: 'Day 1-5'
20x-Brain-1967034654137516130	JRC_SS01010_Brain_20140121_31_J5_20x	P{R32A11-p65.AD}	P{R81E05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01010|GMR_SS01010|JRC_SS01010	FlyLightRaw:SS01010|FlyLightRawSlideCode:20140121_31_J5|jrc_slide_code_api:20140121_31_J5	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140121_31_J5', age: 'Day 1-5'
20x-Brain-1969279868008923234	JRC_SS01010_Brain_20140121_31_J6_20x	P{R32A11-p65.AD}	P{R81E05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01010|GMR_SS01010|JRC_SS01010	FlyLightRaw:SS01010|FlyLightRawSlideCode:20140121_31_J6|jrc_slide_code_api:20140121_31_J6	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140121_31_J6', age: 'Day 1-5'
20x-Brain-3168724269777551519	JRC_SS01010_Brain_20230210_46_A6_20x	P{R32A11-p65.AD}	P{R81E05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01010|GMR_SS01010|JRC_SS01010	FlyLightSplit:SS01010|FlyLightSplitSlideCode:20230210_46_A6|jrc_slide_code_api:20230210_46_A6|neuronbridge:SS01010	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8_M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20230210_46_A6', age: 'Day 1-5'
20x-Brain-3168724271010676895	JRC_SS01010_Brain_20230210_46_C6_20x	P{R32A11-p65.AD}	P{R81E05-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS01010|GMR_SS01010|JRC_SS01010	FlyLightSplit:SS01010|FlyLightSplitSlideCode:20230210_46_C6|jrc_slide_code_api:20230210_46_C6|neuronbridge:SS01010	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8_M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20230210_46_C6', age: 'Day 1-5'
63x-Brain-1969279852557107298	JRC_SS01010_Brain_20140121_31_J2_63x	P{R32A11-p65.AD}	P{R81E05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01010|GMR_SS01010|JRC_SS01010	FlyLightRaw:SS01010|FlyLightRawSlideCode:20140121_31_J2|jrc_slide_code_api:20140121_31_J2	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe, ventral', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140121_31_J2', age: 'Day 1-5'
63x-Brain-1969279868008923234	JRC_SS01010_Brain_20140121_31_J6_63x	P{R32A11-p65.AD}	P{R81E05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01010|GMR_SS01010|JRC_SS01010	FlyLightRaw:SS01010|FlyLightRawSlideCode:20140121_31_J6|jrc_slide_code_api:20140121_31_J6	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe, ventral', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140121_31_J6', age: 'Day 1-5'
20x-VNC-1969279852557107298	JRC_SS01010_VNC_20140121_31_J2_20x	P{R32A11-p65.AD}	P{R81E05-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS01010|GMR_SS01010|JRC_SS01010	FlyLightRaw:SS01010|FlyLightRawSlideCode:20140121_31_J2|jrc_slide_code_api:20140121_31_J2	tile(s): 'ventral_nerve_cord', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140121_31_J2', age: 'Day 1-5'
20x-VNC-1967034644511588450	JRC_SS01010_VNC_20140121_31_J4_20x	P{R32A11-p65.AD}	P{R81E05-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS01010|GMR_SS01010|JRC_SS01010	FlyLightRaw:SS01010|FlyLightRawSlideCode:20140121_31_J4|jrc_slide_code_api:20140121_31_J4	tile(s): 'ventral_nerve_cord', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140121_31_J4', age: 'Day 1-5'
