filename	label	is_a	part_of	dbxrefs	comment
720575941701320154	BANC_626:720575941701320154	adult neuron	female organism	BANC626:720575941701320154	BANC annotations: Flow - intrinsic, Super Class - optic_lobe_intrinsic, Class - transverse_neuron, Primary Cell Type - T4d, Alternative Cell Type(s) - T4d, Community labels - CNS neuron,T4 neuron,T4a?,soma in brain.
720575941701352922	BANC_626:720575941701352922	adult neuron	female organism	BANC626:720575941701352922	BANC annotations: Flow - intrinsic, Super Class - optic_lobe_intrinsic, Class - medulla_intrinsic, Primary Cell Type - Mi9, Alternative Cell Type(s) - Mi9, Community labels - CNS neuron,soma in brain.
720575941701367258	BANC_626:720575941701367258	adult neuron	female organism	BANC626:720575941701367258	BANC annotations: Flow - intrinsic, Super Class - optic_lobe_intrinsic, Class - transverse_neuron, Primary Cell Type - T4a, Alternative Cell Type(s) - T4a, Community labels - CNS neuron,T4 neuron,soma in brain.
720575941701376218	BANC_626:720575941701376218	adult neuron	female organism	BANC626:720575941701376218	BANC annotations: Flow - intrinsic, Super Class - visual_projection, Class - lobula_columnar, Primary Cell Type - LC17, Alternative Cell Type(s) - LC17, Community labels - CNS neuron,soma in brain.
720575941701391578	BANC_626:720575941701391578	adult neuron	female organism	BANC626:720575941701391578	BANC annotations: Flow - intrinsic, Super Class - optic_lobe_intrinsic, Class - distal_medulla, Primary Cell Type - Dm1, Alternative Cell Type(s) - Dm1, Community labels - CNS neuron,soma in brain.
720575941701408986	BANC_626:720575941701408986	adult neuron	female organism	BANC626:720575941701408986	BANC annotations: Flow - intrinsic, Super Class - optic_lobe_intrinsic, Class - transmedullary, Primary Cell Type - Tm1, Alternative Cell Type(s) - Tm1, Community labels - CNS neuron,soma in brain.
720575941701428954	BANC_626:720575941701428954	adult neuron	female organism	BANC626:720575941701428954	BANC annotations: Flow - intrinsic, Super Class - optic_lobe_intrinsic, Class - lobula_intrinsic, Primary Cell Type - Li01, Alternative Cell Type(s) - Li01, Community labels - soma in brain.
720575941701441498	BANC_626:720575941701441498	adult neuron	female organism	BANC626:720575941701441498	BANC annotations: Flow - intrinsic, Super Class - optic_lobe_intrinsic, Class - transverse_neuron, Primary Cell Type - T5b, Alternative Cell Type(s) - T5b, Community labels - CNS neuron,T5 neuron,soma in brain.
720575941701446106	BANC_626:720575941701446106	adult neuron	female organism	BANC626:720575941701446106	BANC annotations: Flow - intrinsic, Super Class - optic_lobe_intrinsic, Class - transverse_neuron, Primary Cell Type - T4c, Alternative Cell Type(s) - T4c, Community labels - CNS neuron,T4 neuron,soma in brain.
720575941701451482	BANC_626:720575941701451482	adult neuron	female organism	BANC626:720575941701451482	BANC annotations: Flow - intrinsic, Super Class - visual_projection, Class - lobula_columnar, Primary Cell Type - LC12, Alternative Cell Type(s) - LC12, Community labels - CNS neuron,soma in brain.
