filename	is_a	part_of	dbxrefs	label
44759	neuron	adult nervous system	male-cns_v0_9:44759	T1_L (MaleCNS:44759)
52050	neuron	adult nervous system	male-cns_v0_9:52050	T1_R (MaleCNS:52050)
54096	neuron	adult nervous system	male-cns_v0_9:54096	T1_L (MaleCNS:54096)
101149	neuron	adult nervous system	male-cns_v0_9:101149	T1_R (MaleCNS:101149)
41983	neuron	adult nervous system	male-cns_v0_9:41983	T1_R (MaleCNS:41983)
38426	neuron	adult nervous system	male-cns_v0_9:38426	T1_L (MaleCNS:38426)
25505	neuron	adult nervous system	male-cns_v0_9:25505	T1_L (MaleCNS:25505)
42324	neuron	adult nervous system	male-cns_v0_9:42324	T1_R (MaleCNS:42324)
55502	neuron	adult nervous system	male-cns_v0_9:55502	T1_L (MaleCNS:55502)
49370	neuron	adult nervous system	male-cns_v0_9:49370	T1_L (MaleCNS:49370)
75365	neuron	adult nervous system	male-cns_v0_9:75365	T1_R (MaleCNS:75365)
49451	neuron	adult nervous system	male-cns_v0_9:49451	T1_L (MaleCNS:49451)
35190	neuron	adult nervous system	male-cns_v0_9:35190	T1_R (MaleCNS:35190)
36709	neuron	adult nervous system	male-cns_v0_9:36709	T1_R (MaleCNS:36709)
29153	neuron	adult nervous system	male-cns_v0_9:29153	T1_L (MaleCNS:29153)
48440	neuron	adult nervous system	male-cns_v0_9:48440	T1_R (MaleCNS:48440)
38359	neuron	adult nervous system	male-cns_v0_9:38359	T1_R (MaleCNS:38359)
151730	neuron	adult nervous system	male-cns_v0_9:151730	T1_L (MaleCNS:151730)
208943	neuron	adult nervous system	male-cns_v0_9:208943	T1_L (MaleCNS:208943)
234532	neuron	adult nervous system	male-cns_v0_9:234532	T1_R (MaleCNS:234532)
69026	neuron	adult nervous system	male-cns_v0_9:69026	T1_R (MaleCNS:69026)
104977	neuron	adult nervous system	male-cns_v0_9:104977	T1_L (MaleCNS:104977)
42564	neuron	adult nervous system	male-cns_v0_9:42564	T1_R (MaleCNS:42564)
51178	neuron	adult nervous system	male-cns_v0_9:51178	T1_R (MaleCNS:51178)
145491	neuron	adult nervous system	male-cns_v0_9:145491	T1_L (MaleCNS:145491)
79117	neuron	adult nervous system	male-cns_v0_9:79117	T1_L (MaleCNS:79117)
68433	neuron	adult nervous system	male-cns_v0_9:68433	T1_L (MaleCNS:68433)
41102	neuron	adult nervous system	male-cns_v0_9:41102	T1_R (MaleCNS:41102)
73578	neuron	adult nervous system	male-cns_v0_9:73578	T1_L (MaleCNS:73578)
49215	neuron	adult nervous system	male-cns_v0_9:49215	T1_R (MaleCNS:49215)
47734	neuron	adult nervous system	male-cns_v0_9:47734	T1_R (MaleCNS:47734)
512131	neuron	adult nervous system	male-cns_v0_9:512131	T1_L (MaleCNS:512131)
44116	neuron	adult nervous system	male-cns_v0_9:44116	T1_L (MaleCNS:44116)
546432	neuron	adult nervous system	male-cns_v0_9:546432	T1_R (MaleCNS:546432)
45037	neuron	adult nervous system	male-cns_v0_9:45037	T1_R (MaleCNS:45037)
92928	neuron	adult nervous system	male-cns_v0_9:92928	T1_L (MaleCNS:92928)
48715	neuron	adult nervous system	male-cns_v0_9:48715	T1_R (MaleCNS:48715)
124432	neuron	adult nervous system	male-cns_v0_9:124432	T1_L (MaleCNS:124432)
54387	neuron	adult nervous system	male-cns_v0_9:54387	T1_R (MaleCNS:54387)
75514	neuron	adult nervous system	male-cns_v0_9:75514	T1_R (MaleCNS:75514)
