filename	label	is_a	part_of	dbxrefs
1591351	GB: right	neuron	embryonic/larval nervous system	catmaid_l1em:1591351
2667061	ASB TODO B1 right 8 Fragment with soma	neuron	embryonic/larval nervous system	catmaid_l1em:2667061
2966602	K ; DPLam med _left	neuron	embryonic/larval nervous system	catmaid_l1em:2966602
3814175	T Neuron_sibling right	neuron	embryonic/larval nervous system	catmaid_l1em:3814175
3945246	AS ; Left DAL neuron L	neuron	embryonic/larval nervous system	catmaid_l1em:3945246
4103336	MBON-F-V8;14+4 cell body close to other relays, right	neuron	embryonic/larval nervous system	catmaid_l1em:4103336
4114133	CP23 d 13_right	neuron	embryonic/larval nervous system	catmaid_l1em:4114133
4144377	DALv23 LAL 2 right	neuron	embryonic/larval nervous system	catmaid_l1em:4144377
4152272	DALv23 sub MB 1_right	neuron	embryonic/larval nervous system	catmaid_l1em:4152272
4180774	HL; DALv23 L LAL_right	neuron	embryonic/larval nervous system	catmaid_l1em:4180774
4190567	SJ: DALv23 L LAL dor pos 2_right	neuron	embryonic/larval nervous system	catmaid_l1em:4190567
4199033	NK_right	neuron	embryonic/larval nervous system	catmaid_l1em:4199033
4201020	DALv23 LAL 11 right	neuron	embryonic/larval nervous system	catmaid_l1em:4201020
4201555	DALv23 LAL 12 right	neuron	embryonic/larval nervous system	catmaid_l1em:4201555
4234016	DPLal A_right	neuron	embryonic/larval nervous system	catmaid_l1em:4234016
4337398	DALv23 sub MB 2_right	neuron	embryonic/larval nervous system	catmaid_l1em:4337398
4408397	NK_left	neuron	embryonic/larval nervous system	catmaid_l1em:4408397
4411688	M_right	neuron	embryonic/larval nervous system	catmaid_l1em:4411688
4473922	B ; DALcm12 m ant lat 5_right	neuron	embryonic/larval nervous system	catmaid_l1em:4473922
4507955	N1_right	neuron	embryonic/larval nervous system	catmaid_l1em:4507955
4514494	BG ; Baso-anterior target neuron #2 MB PN_right	neuron	embryonic/larval nervous system	catmaid_l1em:4514494
4617479	N_right	neuron	embryonic/larval nervous system	catmaid_l1em:4617479
