filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
63x-Brain-2286371789527318602	JRC_SS21914_Brain_20160524_32_A1_63x	female organism|adult brain|P{R52H01-GAL4.DBD} ∩ P{R52G04-p65.AD} expression pattern	JRC2018Unisex_c	SS21914|JRC_SS21914	FlyLightSplit:SS21914|FlyLightSplitSlideCode:20160524_32_A1|jrc_slide_code_api:20160524_32_A1|neuronbridge:SS21914	tile(s): 'left_dorsal, right_dorsal, ventral (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160524_32_A1', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2286371796506640458	JRC_SS21914_Brain_20160524_32_A2_63x	female organism|adult brain|P{R52H01-GAL4.DBD} ∩ P{R52G04-p65.AD} expression pattern	JRC2018Unisex_c	SS21914|JRC_SS21914	FlyLightSplit:SS21914|FlyLightSplitSlideCode:20160524_32_A2|jrc_slide_code_api:20160524_32_A2|neuronbridge:SS21914	tile(s): 'left_dorsal, right_dorsal, ventral (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160524_32_A2', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2286371803909587018	JRC_SS21914_Brain_20160524_32_A3_63x	female organism|adult brain|P{R52H01-GAL4.DBD} ∩ P{R52G04-p65.AD} expression pattern	JRC2018Unisex_c	SS21914|JRC_SS21914	FlyLightSplit:SS21914|FlyLightSplitSlideCode:20160524_32_A3|jrc_slide_code_api:20160524_32_A3|neuronbridge:SS21914	tile(s): 'left_dorsal, right_dorsal, ventral (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160524_32_A3', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2284992608616841314	JRC_SS23281_Brain_20160614_32_E1_63x	female organism|adult brain|P{VT026543-GAL4.DBD} ∩ P{VT062612-p65.AD} expression pattern	JRC2018Unisex_c	SS23281|JRC_SS23281	FlyLightSplit:SS23281|FlyLightSplitSlideCode:20160614_32_E1|jrc_slide_code_api:20160614_32_E1|neuronbridge:SS23281	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160614_32_E1', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2284992610479112290	JRC_SS23281_Brain_20160614_32_E3_63x	female organism|adult brain|P{VT026543-GAL4.DBD} ∩ P{VT062612-p65.AD} expression pattern	JRC2018Unisex_c	SS23281|JRC_SS23281	FlyLightSplit:SS23281|FlyLightSplitSlideCode:20160614_32_E3|jrc_slide_code_api:20160614_32_E3|neuronbridge:SS23281	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160614_32_E3', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2284992611410247778	JRC_SS23281_Brain_20160614_32_E4_63x	female organism|adult brain|P{VT026543-GAL4.DBD} ∩ P{VT062612-p65.AD} expression pattern	JRC2018Unisex_c	SS23281|JRC_SS23281	FlyLightSplit:SS23281|FlyLightSplitSlideCode:20160614_32_E4|jrc_slide_code_api:20160614_32_E4|neuronbridge:SS23281	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160614_32_E4', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2284992625347919970	JRC_SS23627_Brain_20160614_32_I1_63x	female organism|adult brain|P{VT005539-GAL4.DBD} ∩ P{VT003275-p65.AD} expression pattern	JRC2018Unisex_c	SS23627|JRC_SS23627	FlyLightSplit:SS23627|FlyLightSplitSlideCode:20160614_32_I1|jrc_slide_code_api:20160614_32_I1|neuronbridge:SS23627	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160614_32_I1', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2284992626291638370	JRC_SS23627_Brain_20160614_32_I2_63x	female organism|adult brain|P{VT005539-GAL4.DBD} ∩ P{VT003275-p65.AD} expression pattern	JRC2018Unisex_c	SS23627|JRC_SS23627	FlyLightSplit:SS23627|FlyLightSplitSlideCode:20160614_32_I2|jrc_slide_code_api:20160614_32_I2|neuronbridge:SS23627	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160614_32_I2', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2317743994118865041	JRC_SS17963_Brain_20160913_31_C1_63x	female organism|adult brain|P{R72F09-GAL4.DBD} ∩ P{R81C11-p65.AD} expression pattern	JRC2018Unisex_c	SS17963|JRC_SS17963	FlyLightSplit:SS17963|FlyLightSplitSlideCode:20160913_31_C1|jrc_slide_code_api:20160913_31_C1|neuronbridge:SS17963	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160913_31_C1', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2317743994659930257	JRC_SS17963_Brain_20160913_31_C4_63x	female organism|adult brain|P{R72F09-GAL4.DBD} ∩ P{R81C11-p65.AD} expression pattern	JRC2018Unisex_c	SS17963|JRC_SS17963	FlyLightSplit:SS17963|FlyLightSplitSlideCode:20160913_31_C4|jrc_slide_code_api:20160913_31_C4|neuronbridge:SS17963	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160913_31_C4', age: 'Day 1-5'	expression pattern fragment
