filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
20x-Brain-1920233855831244898	JRC_SS00309_Brain_20130725_20_B1_20x	female organism|adult brain|P{R72E04-GAL4.DBD} ∩ P{R28D04-p65.AD} expression pattern	JRC2018Unisex_c	SS00309|GMR_SS00309|JRC_SS00309	FlyLightRaw:SS00309|FlyLightRawSlideCode:20130725_20_B1|jrc_slide_code_api:20130725_20_B1	tile(s): 'brain', effector genotype: 'w, R57C10-FlpL in su(Hw)attp8;; pJFRC210-10XUASFRT >STOP > FRT- myr::smGFP-OLLAS in attP2, pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRT-myr::smGFP- V5-THS10XUAS-FRT>STOP > FRT-myr::smGFPFLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130725_20_B1', age: 'Day 1-5'	expression pattern fragment
20x-Brain-1920233857920008290	JRC_SS00309_Brain_20130725_20_B2_20x	female organism|adult brain|P{R72E04-GAL4.DBD} ∩ P{R28D04-p65.AD} expression pattern	JRC2018Unisex_c	SS00309|GMR_SS00309|JRC_SS00309	FlyLightRaw:SS00309|FlyLightRawSlideCode:20130725_20_B2|jrc_slide_code_api:20130725_20_B2	tile(s): 'brain', effector genotype: 'w, R57C10-FlpL in su(Hw)attp8;; pJFRC210-10XUASFRT >STOP > FRT- myr::smGFP-OLLAS in attP2, pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRT-myr::smGFP- V5-THS10XUAS-FRT>STOP > FRT-myr::smGFPFLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130725_20_B2', age: 'Day 1-5'	expression pattern fragment
20x-Brain-1920233860084269154	JRC_SS00309_Brain_20130725_20_B3_20x	female organism|adult brain|P{R72E04-GAL4.DBD} ∩ P{R28D04-p65.AD} expression pattern	JRC2018Unisex_c	SS00309|GMR_SS00309|JRC_SS00309	FlyLightRaw:SS00309|FlyLightRawSlideCode:20130725_20_B3|jrc_slide_code_api:20130725_20_B3	tile(s): 'brain', effector genotype: 'w, R57C10-FlpL in su(Hw)attp8;; pJFRC210-10XUASFRT >STOP > FRT- myr::smGFP-OLLAS in attP2, pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRT-myr::smGFP- V5-THS10XUAS-FRT>STOP > FRT-myr::smGFPFLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130725_20_B3', age: 'Day 1-5'	expression pattern fragment
20x-Brain-1920233864874164322	JRC_SS00309_Brain_20130725_20_B6_20x	female organism|adult brain|P{R72E04-GAL4.DBD} ∩ P{R28D04-p65.AD} expression pattern	JRC2018Unisex_c	SS00309|GMR_SS00309|JRC_SS00309	FlyLightRaw:SS00309|FlyLightRawSlideCode:20130725_20_B6|jrc_slide_code_api:20130725_20_B6	tile(s): 'brain', effector genotype: 'w, R57C10-FlpL in su(Hw)attp8;; pJFRC210-10XUASFRT >STOP > FRT- myr::smGFP-OLLAS in attP2, pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRT-myr::smGFP- V5-THS10XUAS-FRT>STOP > FRT-myr::smGFPFLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130725_20_B6', age: 'Day 1-5'	expression pattern fragment
20x-Brain-1920233884918743138	JRC_SS00327_Brain_20130725_20_G5_20x	female organism|adult brain|P{R71D01-GAL4.DBD} ∩ P{R65H03-p65.AD} expression pattern	JRC2018Unisex_c	SS00327|GMR_SS00327|JRC_SS00327	FlyLightRaw:SS00327|FlyLightRawSlideCode:20130725_20_G5|jrc_slide_code_api:20130725_20_G5	tile(s): 'brain', effector genotype: 'w, R57C10-FlpL in su(Hw)attp8;; pJFRC210-10XUASFRT >STOP > FRT- myr::smGFP-OLLAS in attP2, pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRT-myr::smGFP- V5-THS10XUAS-FRT>STOP > FRT-myr::smGFPFLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130725_20_G5', age: 'Day 1-5'	expression pattern fragment
20x-Brain-1919993185703034887	JRC_SS00327_Brain_20130725_20_G6_20x	female organism|adult brain|P{R71D01-GAL4.DBD} ∩ P{R65H03-p65.AD} expression pattern	JRC2018Unisex_c	SS00327|GMR_SS00327|JRC_SS00327	FlyLightRaw:SS00327|FlyLightRawSlideCode:20130725_20_G6|jrc_slide_code_api:20130725_20_G6	tile(s): 'brain', effector genotype: 'w, R57C10-FlpL in su(Hw)attp8;; pJFRC210-10XUASFRT >STOP > FRT- myr::smGFP-OLLAS in attP2, pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRT-myr::smGFP- V5-THS10XUAS-FRT>STOP > FRT-myr::smGFPFLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130725_20_G6', age: 'Day 1-5'	expression pattern fragment
20x-Brain-1920234506216800354	JRC_SS00317_Brain_20130823_19_C1_20x	female organism|adult brain|P{R53C05-GAL4.DBD} ∩ P{R52B07-p65.AD} expression pattern	JRC2018Unisex_c	SS00317|GMR_SS00317|JRC_SS00317	FlyLightRaw:SS00317|FlyLightRawSlideCode:20130823_19_C1|jrc_slide_code_api:20130823_19_C1	tile(s): 'brain', effector genotype: 'w, R57C10-FlpL in su(Hw)attp8;; pJFRC210-10XUASFRT >STOP > FRT- myr::smGFP-OLLAS in attP2, pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRT-myr::smGFP- V5-THS10XUAS-FRT>STOP > FRT-myr::smGFPFLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130823_19_C1', age: 'Adult'	expression pattern fragment
20x-Brain-1920234507739332706	JRC_SS00317_Brain_20130823_19_C2_20x	female organism|adult brain|P{R53C05-GAL4.DBD} ∩ P{R52B07-p65.AD} expression pattern	JRC2018Unisex_c	SS00317|GMR_SS00317|JRC_SS00317	FlyLightRaw:SS00317|FlyLightRawSlideCode:20130823_19_C2|jrc_slide_code_api:20130823_19_C2	tile(s): 'brain', effector genotype: 'w, R57C10-FlpL in su(Hw)attp8;; pJFRC210-10XUASFRT >STOP > FRT- myr::smGFP-OLLAS in attP2, pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRT-myr::smGFP- V5-THS10XUAS-FRT>STOP > FRT-myr::smGFPFLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130823_19_C2', age: 'Adult'	expression pattern fragment
20x-Brain-1920234509161201762	JRC_SS00317_Brain_20130823_19_C3_20x	female organism|adult brain|P{R53C05-GAL4.DBD} ∩ P{R52B07-p65.AD} expression pattern	JRC2018Unisex_c	SS00317|GMR_SS00317|JRC_SS00317	FlyLightRaw:SS00317|FlyLightRawSlideCode:20130823_19_C3|jrc_slide_code_api:20130823_19_C3	tile(s): 'brain', effector genotype: 'w, R57C10-FlpL in su(Hw)attp8;; pJFRC210-10XUASFRT >STOP > FRT- myr::smGFP-OLLAS in attP2, pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRT-myr::smGFP- V5-THS10XUAS-FRT>STOP > FRT-myr::smGFPFLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130823_19_C3', age: 'Adult'	expression pattern fragment
20x-Brain-1920234509643546722	JRC_SS00317_Brain_20130823_19_C4_20x	female organism|adult brain|P{R53C05-GAL4.DBD} ∩ P{R52B07-p65.AD} expression pattern	JRC2018Unisex_c	SS00317|GMR_SS00317|JRC_SS00317	FlyLightRaw:SS00317|FlyLightRawSlideCode:20130823_19_C4|jrc_slide_code_api:20130823_19_C4	tile(s): 'brain', effector genotype: 'w, R57C10-FlpL in su(Hw)attp8;; pJFRC210-10XUASFRT >STOP > FRT- myr::smGFP-OLLAS in attP2, pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRT-myr::smGFP- V5-THS10XUAS-FRT>STOP > FRT-myr::smGFPFLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130823_19_C4', age: 'Adult'	expression pattern fragment
